trtid10,ag25up12,hinc12,hincb12,hincw12,hinch12,hs12,col12,clf12,unemp12,hinca12,mrent12,mhmval12,mgrent12,hinc12a17,hincw12a17,hincb12a17,hinch12a17,hinca12a17,mhmval12a17,mgrent12a17,mrent12a17,pcol12,phs12,punemp12,meansp0809,minsp0809,maxsp0809,mediansp0809,stddevsp0809,totsp0809,nums0809,meansp0809a17,minsp0809a17,maxsp0809a17,mediansp0809a17,totsp0809a17,pir0812
37063000101,1792,40098.0,32500,50457,12470,811,536,1405,245,-999,613,113400,827.0,42651.07232510012,53669.63829386944,34569.3014755288,13263.975058456743,-1062.6071438170236,120620.27037922971,879.655763700379,652.0302093692047,29.910714285714285,45.25669642857143,17.437722419928825,99848.0,18000.0,413100.0,106900.0,51553.41570643017,13279867.0,133.0,106205.40349934153,19146.074663369796,439402.4135243368,113706.41008412396,14125406.950090038,2.6659683774751857
37063000102,2851,38400.0,21563,47907,40556,1386,878,2235,170,-999,563,135000,741.0,40844.95928185557,50957.27771655871,22935.933775902384,43138.23355820141,-1062.6071438170236,143595.55997527347,788.1800736420566,598.846668637622,30.796211855489304,48.61452122062434,7.606263982102908,126598.0,11500.0,1100000.0,121750.0,101700.40672976682,13419454.0,106.0,134658.5977907383,12232.214368264036,1170037.896094821,129501.92168140404,14273881.568092026,3.1705729166666665
37063000200,2165,32159.0,21991,65313,14713,956,838,1782,256,23182,495,175800,671.0,34206.5897277394,69471.5319160373,23391.184884564733,15649.788695675545,24658.016824791033,186993.329212245,713.7231166178408,526.5170532426694,38.70669745958429,44.15704387990762,14.365881032547701,150048.0,15000.0,382000.0,144000.0,86118.99561072457,10953550.0,73.0,159601.67839385063,15955.06221947483,406322.25118929235,153168.59730695837,11650971.451608568,4.477751173854909
37063000301,1660,32430.0,32682,42647,30632,635,631,1427,170,17232,617,132500,723.0,34494.844518504586,45362.3692315962,34762.88956379176,32582.364393796866,18329.175477732686,140936.38293869433,769.0339989786868,656.2848926277313,38.01204819277109,38.25301204819277,11.913104414856342,164874.0,36000.0,802000.0,135000.0,144336.06010626728,10551947.0,64.0,175371.66189157954,38292.14932673959,853063.9933345875,143595.55997527347,11223798.061440052,4.162812210915819
37063000302,2470,37066.0,25212,49023,35000,558,1467,2121,100,73026,607,245200,738.0,39426.02241513694,52144.33434568764,26817.268578493295,37228.47851210794,77675.62490929126,260812.0837476819,784.9890611981616,645.6481844814148,59.392712550607285,22.591093117408906,4.714757190004715,239699.0,37500.0,660000.0,230000.0,126348.55062880619,28044851.0,117.0,254960.83059639315,39887.65554868708,702022.7376568925,244644.28736528073,29830489.509393394,6.2051475745966655
37063000401,2082,68309.0,48611,71042,-999,324,1369,1492,60,-999,711,264500,911.0,72658.28967667374,75565.30201306206,51706.1019700594,-1062.6071438170236,-1062.6071438170236,281340.93047007284,969.004112129438,756.269949203107,65.75408261287224,15.561959654178676,4.021447721179625,200360.0,500.0,486000.0,210000.0,84771.42126330076,21238230.0,106.0,213117.08441959845,531.8354073158276,516944.0159109845,223370.87107264763,22590485.405434463,3.0742654701430268
37063000402,1430,40000.0,23958,42368,48906,202,1080,1207,104,27019,860,206800,1009.0,42546.83258526622,45065.60507431397,25483.4253769452,52019.884860375736,28739.321740532698,219967.12446582632,1073.2438519633401,914.7569005832236,75.52447552447552,14.125874125874127,8.616404308202155,168352.0,500.0,408000.0,153000.0,88605.77261668678,8586000.0,51.0,179071.10898486845,531.8354073158276,433977.69236971537,162741.63463864327,9132677.614427393,3.825
37063000500,1646,22453.0,20364,32581,33611,692,449,1362,206,2499,541,124200,643.0,23882.600800924556,34655.45881151396,21660.59246915903,35751.03975058457,2658.113365764507,132107.9151772516,683.9403338081544,575.4459107157255,27.278250303766704,42.04131227217497,15.12481644640235,86302.0,5000.0,700000.0,60000.0,98560.03416699894,7335709.0,85.0,91796.91864434112,5318.354073158277,744569.5702421587,63820.24887789932,7802779.567930765,2.6722486972787602
37063000600,3838,54875.0,30692,78674,26857,1365,1760,3044,160,96250,632,223000,816.0,58368.935952912085,83683.23767033085,32646.184642674765,28567.00706856237,102378.31590829683,237198.59166285914,867.9553847394308,672.2399548472061,45.85721730067744,35.56539864512767,5.256241787122208,230585.0,45000.0,1050000.0,200000.0,150948.36409183108,25595023.0,111.0,245266.53479184024,47865.18665842449,1116854.3553632381,212734.16292633108,27224678.964925956,3.644646924829157
37063000700,2199,47417.0,17736,72443,68750,538,1299,1633,72,135313,451,286200,587.0,50436.0790173892,77055.504824361,18865.26556830704,73127.36850592631,143928.48894025318,304422.58714757976,624.3747681887817,479.71553739887656,59.07230559345157,24.46566621191451,4.409063074096754,270691.0,10000.0,1300000.0,227500.0,182208.4062715,24362203.0,90.0,287926.11648345744,10636.708146316554,1382772.0590211519,241985.1103287016,25913364.31123176,4.797857308560221
37063000900,980,21382.0,18636,30893,25677,642,146,718,113,-999,468,77600,662.0,22743.409358454053,32859.98247641573,19822.56930147553,27311.875507297016,-1062.6071438170236,82540.85521541645,704.1500792861558,497.7979412476147,14.897959183673471,65.51020408163265,15.73816155988858,47988.0,2500.0,413100.0,33302.5,56639.98887711755,3455168.0,72.0,51043.43505254388,2659.1770365791385,439402.4135243368,35422.8973042707,3675161.3612492275,1.5575016368908428
37063001001,2413,22585.0,20110,20982,32536,1701,161,1461,355,-999,557,74600,753.0,24023.005348455936,22317.941032601393,21390.42008224259,34607.59362485554,-1062.6071438170236,79349.8427715215,800.9441234176364,592.464643749832,6.672192291753004,70.49316203895566,24.298425735797398,56769.0,1000.0,493751.0,35000.0,71567.64705507651,8685803.0,153.0,60383.528475824445,1063.6708146316553,525188.5283951944,37228.47851210794,9238835.152740076,1.5497011290679654
37063001002,2924,22074.0,21089,36250,28400,1834,188,2178,407,-999,502,87000,644.0,23479.46956217916,38558.067030397506,22431.75380976698,30208.251135539012,-1062.6071438170236,92539.36087295401,685.004004622786,533.962748945091,6.429548563611491,62.722298221614224,18.68686868686869,63502.0,5000.0,493751.0,51417.0,53439.45809979738,6985329.0,110.0,67545.22407073938,5318.354073158277,525188.5283951944,54690.762275915826,7430090.587900126,2.329301440608861
37063001100,1570,18818.0,18725,15972,25833,1035,111,1146,303,-999,367,81500,431.0,20016.15738973849,16988.9502512968,19917.236003977745,27477.808154379552,-1062.6071438170236,86689.17139247991,458.44212110624346,390.3671889698175,7.070063694267516,65.92356687898089,26.439790575916227,59395.0,5500.0,224400.0,50000.0,45992.78568427879,3860718.0,65.0,63176.72803504717,5850.189480474104,238687.73080334347,53183.54073158277,4106533.0601230953,2.657030502710171
37063001301,565,17685.0,19583,2499,14750,314,76,558,149,-999,437,87200,683.0,18811.018356760826,2658.113365764507,20829.865562931707,15689.144515816917,-1062.6071438170236,92752.09503588035,726.4871663934206,464.8241459940334,13.451327433628318,55.575221238938056,26.70250896057348,47995.0,500.0,158000.0,45000.0,34943.3247845708,2687742.0,56.0,51050.8807482463,531.8354073158276,168059.98871180156,47865.18665842449,2858872.7226597145,2.544529262086514
37063001303,893,25833.0,23125,50556,58750,367,168,1069,140,-999,473,95000,700.0,27477.808154379552,53774.941704517965,24597.38758835703,62490.660359609756,-1062.6071438170236,101048.72739000726,744.5695702421588,503.11629532077296,18.81298992161254,41.097424412094064,13.096351730589337,59361.0,6500.0,245000.0,46000.0,45409.251788594804,1899560.0,32.0,63140.563227349696,6913.86029510576,260599.34958475558,48928.857473056145,2020506.5326417072,1.780668137653389
37063001304,1477,20343.0,22181,12917,11827,895,153,1046,242,-999,486,111900,559.0,21638.255382051764,13739.435912597091,23593.282339344747,12580.034724648587,-1062.6071438170236,119024.76415728223,594.5919853790954,516.9440159109845,10.35883547731889,60.595802301963445,23.135755258126196,70935.0,12000.0,157000.0,66250.0,38913.23700233636,2837401.0,40.0,75451.48923589647,12764.049775579864,166996.31789716988,70468.19146934716,3018060.6331066736,3.256648478592145
37063001400,1447,17355.0,17267,-999,212727,928,162,1077,246,-999,359,79600,455.0,18460.00698793238,-1062.6071438170236,18366.403956244794,226271.50138414814,-1062.6071438170236,84668.19684467977,483.97022065740316,381.85782245276425,11.195577055977886,64.13268832066345,22.841225626740947,47473.0,500.0,125000.0,35457.5,36777.71403989106,1898944.0,40.0,50495.64458300857,531.8354073158276,132958.85182895692,37715.10790980192,2019851.3114198942,2.0430711610486894
37063001501,66,8482.0,-999,-999,-999,26,23,810,104,-999,370,-999,907.0,9022.0558497057,-1062.6071438170236,-1062.6071438170236,-1062.6071438170236,-1062.6071438170236,-1062.6071438170236,964.7494288709114,393.5582014137125,34.84848484848485,39.39393939393939,12.839506172839506,,,,,,,,,,,,,
37063001502,2988,25690.0,14817,21546,38031,1572,775,2956,404,28214,564,111000,673.0,27325.703227887225,22917.851372053647,15760.410460397237,40452.464751256484,30010.408364017523,118067.46042411374,715.850458247104,599.9103394522537,25.937081659973227,52.610441767068274,13.667117726657645,,,,,,,,,,,,,
37063001503,16,-999.0,-999,-999,-999,0,16,432,47,-999,-999,-999,,-1062.6071438170236,-1062.6071438170236,-1062.6071438170236,-1062.6071438170236,-1062.6071438170236,-1062.6071438170236,,-1062.6071438170236,100.0,0.0,10.87962962962963,,,,,,,,,,,,,
37063001601,4123,67854.0,53917,69200,95771,1522,1569,2992,266,39420,1014,167000,1234.0,72174.31945601634,73606.02037251055,57349.939312494964,101868.81758808826,41929.903512779856,177633.02604348643,1312.5697852554626,1078.5622060364985,38.05481445549358,36.91486781469804,8.890374331550802,180756.0,1000.0,642500.0,163000.0,86895.96821487174,30186296.0,167.0,192264.8817695595,1063.6708146316553,683408.4984008386,173378.34278495982,32108282.05703228,2.4022165237126774
37063001603,4318,78833.0,57361,83289,42351,1272,1675,3244,126,138088,850,188100,1085.0,83852.36132985729,88592.07847985595,61013.221598086384,45047.52267046524,146880.175450856,200076.48023221438,1154.082833875346,904.120192436907,38.791106993978694,29.458082445576654,3.884093711467324,201021.0,12500.0,528000.0,184500.0,82185.63400010977,50456440.0,251.0,213820.17082807,13295.885182895692,561618.190125514,196247.26529954042,53669042.63821324,2.340390445625563
37063001604,4669,90441.0,82891,90689,-999,993,2417,3413,191,51645,1300,224100,1600.0,96199.45214610154,96463.24250813019,88168.73749563255,-1062.6071438170236,54933.27922165184,238368.62955895398,1701.8733034106485,1382.772059021152,51.76697365602912,21.26793745984151,5.596249633753296,205013.0,1000.0,364000.0,202000.0,68833.07972915348,39157603.0,191.0,218066.34472007956,1063.6708146316553,387176.17652592255,214861.50455559438,41650799.482032955,2.233500293008702
37063001705,3342,45709.0,58625,45890,42266,1051,1275,2476,211,-999,799,144300,886.0,48619.329265998334,48811.853683446665,62357.701507780796,44957.11065122155,-1062.6071438170236,153487.69855134786,942.4123417636466,849.8729808906926,38.150807899461405,31.448234590065827,8.521809369951534,171212.0,1500.0,1005000.0,130000.0,150274.8010180017,25168180.0,147.0,182113.20751471497,1595.506221947483,1068989.1687048136,138277.2059021152,26770658.523396134,2.84407884661664
37063001706,2967,45921.0,35966,52604,32500,512,1812,2665,173,162701.9844,688,190100,792.0,48844.827478700245,55953.3395328836,38255.98451904212,34569.3014755288,173061.35228893487,202203.82186147769,842.4272851882711,731.8055204665789,61.071789686552066,17.256488035052243,6.49155722326454,252871.0,92500.0,543500.0,222000.0,100924.06439496974,26551501.0,105.0,268971.50256672135,98389.55035342812,578105.0877523047,236134.92084822748,28242056.69836321,4.834389495002286
37063001707,5407,70370.0,57794,71481,55952,1335,2824,3872,81,82279,1191,209600,1243.0,74850.51522562958,76032.25350068536,61473.79106082189,59514.509420270384,87517.77095707797,222945.40274679495,1322.1428225871475,1266.8319402263016,52.22859256519327,24.69021638616608,2.0919421487603307,253917.0,1996.0,1650000.0,208000.0,182059.94390035392,55607894.0,219.0,270084.10223882605,2123.0869460047843,1755056.8441422314,221243.52944338432,59148493.91093074,2.9558050305527925
37063001708,2661,48116.0,53023,19500,47857,882,746,1974,231,70714,594,153000,784.0,51179.584916816726,20741.58088531728,56399.01760421426,50904.09417582713,75216.41798586288,162741.63463864327,833.9179186712178,631.8204638912033,28.03457346862082,33.14543404735062,11.702127659574469,153240.0,20000.0,216500.0,158000.0,37787.1679674463,26510657.0,173.0,162996.91563415487,21273.41629263311,230284.73136775338,168059.98871180156,28198612.127610397,3.2837309834566466
37063001709,3337,26781.0,24315,31250,34485,1619,783,2535,429,-999,625,113200,778.0,28486.168086650363,33239.71295723923,25863.1558577687,36680.688042572634,-1062.6071438170236,120407.53621630339,827.5358937834279,664.7942591447846,23.464189391669162,48.51663170512436,16.923076923076923,85387.0,7000.0,230000.0,74500.0,55543.58319374075,7514064.0,88.0,90823.65984895316,7445.695702421587,244644.28736528073,79243.47569005833,7992490.576074394,2.7818229341697474
37063001710,2524,43202.0,30833,56797,40938,1026,682,2290,153,78990,639,148300,815.0,45952.70653371677,60413.31125863413,32796.16222753783,43544.55580939071,84019.35764775446,157742.3818098745,866.8917139247991,679.6856505496278,27.020602218700475,40.64976228209191,6.681222707423581,162986.0,12500.0,1500000.0,151750.0,127269.65038452805,21188215.0,130.0,173363.45139355498,13295.885182895692,1595506.221947483,161412.0461203537,22537285.90964066,3.5125688625526594
37063001711,2846,32492.0,36051,31623,27267,1569,650,2457,213,56602,617,124300,726.0,34560.792109011745,33636.462171096835,38346.39653828581,29003.112102561347,60205.895449780954,132214.28225871475,772.2250114225818,656.2848926277313,22.839072382290933,55.13000702740689,8.669108669108669,141218.0,40000.0,278713.0,145000.0,43186.101931061115,3106813.0,22.0,150209.46510065312,42546.83258526622,296458.8837584326,154232.26812159002,3304626.3146182173,4.462636956789363
37063001801,4122,52840.0,54577,49792,52994,1911,806,3619,435,-999,800,134500,964.0,56204.36584513667,52962.29720213939,58051.96205015185,56368.171150589944,-1062.6071438170236,143063.72456795766,1025.3786653049158,850.9366517053243,19.5536147501213,46.36098981077147,12.019894998618403,163659.0,3000.0,977500.0,139500.0,150353.63615822533,66281948.0,405.0,174079.3018518021,3191.012443894966,1039738.2213024431,148382.07864111592,70502173.62453301,2.64004542013626
37063001802,4169,41268.0,42375,49871,31956,2082,844,3499,511,-999,614,117600,908.0,43895.56717821916,53046.32719649529,45073.050770016394,33990.66455236918,-1062.6071438170236,125087.68780068267,965.8130996855431,653.0938801838364,20.244662988726315,49.940033581194534,14.604172620748784,93358.0,4500.0,190000.0,100000.0,40017.35047451293,16711192.0,179.0,99302.17991238208,4786.518665842449,202097.45478001452,106367.08146316554,17775207.208106004,2.4231850344092276
37063001806,3528,61884.0,66236,56678,42596,1365,1000,2689,198,-999,1083,159300,1396.0,65824.20469266536,60286.73443169296,70453.30007794233,45308.12202004999,-1062.6071438170236,169442.7607708227,1484.8844572257908,1151.9554922460827,28.34467120181406,38.69047619047619,7.363332093715136,153826.0,1732.0,434000.0,150000.0,73181.57171720214,36303100.0,236.0,163620.22673152902,1842.277850942027,461633.13355013845,159550.6221947483,38614547.95065445,2.423889858444832
37063001807,5986,57205.0,56542,67563,45104,2417,1670,5302,561,75509,828,138500,1016.0,60847.288951003844,71864.79124895853,60142.075200903055,47975.80842314618,80316.71954202166,147318.40782648427,1080.689547665762,880.7194345150107,27.898429669228197,40.37754761109255,10.58091286307054,152217.0,2500.0,348000.0,145000.0,54883.89443179119,56320477.0,370.0,161908.78039078668,2659.1770365791385,370157.44349181606,154232.26812159002,59906447.65103341,2.5347434664802027
37063001808,3387,84528.0,83903,71316,135034,691,1628,2707,148,-999,727,219900,915.0,89909.96661918456,75856.74781627113,89245.17236003978,143631.72478297094,-1062.6071438170236,233901.21213750102,973.2587953879647,773.2886822372135,48.066135222911136,20.401535281960438,5.467306981898782,298342.0,16577.0,1400000.0,235000.0,238191.72238136237,121425271.0,407.0,317337.67817883735,17632.47109414895,1489139.1404843174,249962.64143843902,129156516.92143951,2.7801438576566344
37063001809,3873,52917.0,36923,58839,44259,1434,1648,3625,246,250001,681,196600,801.0,56286.268497863304,62585.32706211197,39273.91748864461,47077.00658478244,265918.76732872846,209117.68215658344,852.000322519956,724.3598247641573,42.55099406145107,37.02556158017041,6.786206896551724,183422.0,33000.0,1247000.0,190000.0,120761.4293928322,20726767.0,113.0,195100.6281613675,35101.13688284463,1326397.5058456743,202097.45478001452,22046457.139570512,3.5905285635995994
37063001900,1796,74375.0,82542,73239,34583,556,776,1427,74,-999,719,194300,1011.0,79110.51683822936,77902.18679280781,87797.5163813261,36784.927782406536,-1062.6071438170236,206671.23928293065,1075.3711935926035,764.7793157201602,43.207126948775056,30.957683741648108,5.185704274702172,198006.0,2559.0,650000.0,170000.0,93312.02014746009,16830559.0,85.0,210613.20332195555,2721.933614642406,691386.0295105759,180824.03848738142,17902174.402236138,2.2857142857142856
37063002007,3921,70746.0,75609,76771,47315,669,2424,2951,64,95217,840,232100,931.0,75250.45545193109,81659.07211008681,80423.08662348484,50327.58459429677,101279.54395678233,246877.9960760072,990.2775284220711,893.4834842905905,61.820964039785764,17.061973986228,2.1687563537783805,233836.0,25000.0,1275000.0,197500.0,178169.00326656149,37179952.0,159.0,248724.52861020775,26591.770365791384,1356180.2886553607,210074.98588975193,39547229.83180585,2.7916772679727475
37063002008,2148,133594.0,115909,143869,41786,178,1782,1506,58,67159,1088,411700,1310.0,142100.03880990137,153029.25643024163,123289.02045314055,44446.54866019835,71435.06823984734,437913.2743838525,1393.4087671674686,1157.273846319241,82.9608938547486,8.286778398510242,3.851261620185923,466944.0,55000.0,2150000.0,332000.0,377472.8110433916,46227460.0,99.0,496674.7048673637,58501.894804741045,2286892.251458059,353138.71045770956,49170800.036552265,2.485141548273126
37063002009,3375,43865.0,44095,-999,27895,1853,653,2468,339,-999,709,113300,897.0,46657.92028381756,-1062.6071438170236,46902.56457118284,29671.097374150027,-1062.6071438170236,120513.90329776655,954.1127207245949,754.1426075738436,19.348148148148148,54.9037037037037,13.73581847649919,83655.0,3500.0,493751.0,77000.0,59559.42554289791,8532824.0,102.0,88981.38199801113,3722.8478512107936,525188.5283951944,81902.65272663746,9076115.85518854,1.755385842927163
37063002013,3321,71325.0,66875,74699,40962,580,1804,2672,188,22060,839,171700,1096.0,75866.32085360283,79455.14618217002,71132.98572849196,43570.083908941866,23464.57817077432,182632.27887225524,1165.7832128362943,892.4198134759588,54.32098765432099,17.46461909063535,7.0359281437125745,165090.0,500.0,365000.0,154000.0,55956.2555573548,26084228.0,158.0,175601.41478753998,531.8354073158276,388239.84734055423,163805.30545327492,27745032.045797836,2.15913073957238
