trtid10,pop00,nhwht00,nhblk00,ntv00,asian00,hisp00,haw00,hu00,vac00,ohu00,own00,rent00,pnhwht00,pnhblk00,pntv00,pasian00,phisp00,phaw00,pvac00,pohu00,pown00,prent00
37063000101,3151.041386,1056.013813,1704.020773,28.00015938,52.00046486,303.0059901,0,1281.01902,69.00184618,1212.017173,749.0068003,463.0103731,33.51316862075642,54.07801943100217,0.8886001784808041,1.6502628334567992,9.616058724149045,0.0,5.38648100478633,94.61351893120214,58.46960807030016,36.14391089212711
37063000102,4462,2107,1417,26,55,852,0,2000,130,1870,774,1096,47.22097714029584,31.757059614522635,0.5826983415508741,1.232631107126849,19.094576423128643,0.0,6.5,93.5,38.7,54.800000000000004
37063000200,3115.958583,1039.986206,1563.979248,11.99984074,34.99953461,450.9940186,0,1431.980957,138.9981537,1292.982788,511.9931946,780.989624,33.376124178092134,50.19255572050073,0.3851091219719206,1.1232349107895698,14.47368463305406,0.0,9.706704060590381,90.29329487095966,35.754190172516374,54.53910683534321
37063000301,2432,669,1299,9,41,399,0,1205,119,1086,258,828,27.508223684210524,53.41282894736842,0.3700657894736842,1.6858552631578947,16.40625,0.0,9.87551867219917,90.12448132780084,21.410788381742737,68.71369294605809
37063000302,3449,2067,878,13,86,387,0,1707,78,1629,659,970,59.93041461293128,25.45665410263845,0.37692084662220937,2.493476369962308,11.220643664830385,0.0,4.569420035149385,95.43057996485061,38.60574106619801,56.82483889865261
37063000401,2665,2124.200409,386.9406953,15.06952965,51.09815951,76.6421268,0,1277.357873,87.24539876,1190.112474,827.9325153,362.1799591,79.70733242026267,14.519350667917449,0.565460774859287,1.9173793437148219,2.8758771782363977,0.0,6.830145302592111,93.16985467861912,64.81601850196606,28.353836207967696
37063000402,1461.000041,1022.799622,229.0593109,16.93047142,23.90184021,156.3578796,0,817.6421509,59.75460434,757.8875732,227.0674896,530.8200684,70.00681678967865,15.678254926209137,1.1588275800739694,1.635991754910567,10.702113293096067,0.0,7.308160944763739,92.69184231338531,27.771010747190672,64.92082970719066
37063000500,4212.901734,1008.865845,2385.287411,17.74879606,224.9587356,562.2170111,0.000425883,1947.354214,196.2138972,1751.140378,252.4313312,1498.709016,23.947053805171905,56.61863393939773,0.4212962271766104,5.339757483173236,13.345125203435376,1.0109018127884015e-05,10.07592228416232,89.92408085856331,12.962784550710401,76.96129472621975
37063000600,5162.706967,2379.741037,1840.771137,24.263556,100.3875158,782.342577,0,2376.985693,161.9389942,2215.046547,945.605747,1269.440922,46.094830719839294,35.65515433601405,0.4699774005205514,1.944474409291028,15.1537281120298,0.0,6.8127879219843495,93.18720569177611,39.78171807195643,53.405492752370556
37063000700,2854,1638,1087,18,21,83,0,1430,85,1345,760,585,57.39313244569026,38.08689558514366,0.6306937631394535,0.7358093903293622,2.908199018920813,0.0,5.944055944055944,94.05594405594405,53.14685314685315,40.909090909090914
37063000900,2198,62,1732,4,0,397,0,906,141,765,190,575,2.820746132848044,78.79890809827116,0.18198362147406735,0.0,18.061874431301185,0.0,15.562913907284766,84.43708609271523,20.97130242825607,63.46578366445917
37063001001,4908.362046,453.7605706,3680.339294,28.01190505,5.190480858,732.052761,0,1803.723773,187.0749477,1616.648825,448.2004919,1168.448334,9.244643454322725,74.98100709582415,0.5706976133276049,0.10574771806472402,14.91440024471251,0.0,10.371596277674607,89.62840370569313,24.848621424695278,64.77978233089463
37063001002,6050,614,3884,13,12,1517,0,2232,162,2070,628,1442,10.148760330578513,64.19834710743801,0.21487603305785125,0.19834710743801653,25.074380165289256,0.0,7.258064516129033,92.74193548387096,28.136200716845877,64.6057347670251
37063001100,3727,202,2591,17,2,910,0,1378,124,1254,173,1081,5.419908773812717,69.51972095519184,0.45613093640998126,0.053662463107056614,24.41642071371076,0.0,8.99854862119013,91.00145137880988,12.5544267053701,78.44702467343977
