trtid10,ag25up90,hs90,col90,clf90,unemp90,hinc90,hincw90,hincb90,hinch90,hinca90,hinc90a17,hincw90a17,hincb90a17,hinch90a17,hinca90a17,pcol90,phs90,punemp90
37063000101,1918.025524,1143.011356,304.0089254,1393.021611,71.00082347,24375.00533,24257.22838,25194.08931,17500,20000,45254.036478815324,45035.37468492009,46774.72768721938,32490.07036747459,37131.508991399525,15.850098009436083,59.593125414529155,5.096893178780699
37063000102,2714.000057,1270,687,2190.000046,60,27674.00058,27512.75568,32987.80557,20000.00042,42500.00089,51378.87006821329,51079.50674550492,61244.34995644972,37131.50977116122,78904.45825907616,25.313190330563064,46.79439842767844,2.7397259698505048
37063000200,1922.974439,854.9886475,671.9910889,1627.97836,61.99917603,24744.00006,30413.5328,20035.97064,17499.99907,19999.99982,45939.10303555402,56465.018331171224,37198.291198528845,32490.068640859423,37131.50865721595,34.945398923214704,44.461779114683274,3.8083538180446084
37063000301,1504.000025,830,377,1321.000022,87,16049.00026,20616.88345,12609.64933,20000.00033,12500.0002,29796.17987285817,38276.79965991556,23410.7653737645,37131.509604069426,23207.193490939797,25.06648894503841,55.18616929544267,6.585919648077039
37063000302,2412.000009,805,1173,1938.000007,65,26733.0001,30731.70744,19696.96977,15000.00006,7500.000029,49631.831679011724,57055.73355647099,36568.91050590399,27848.631854944175,13924.31592561551,48.63184061455782,33.374792578618106,3.3539731561001997
37063000401,1920.044972,654.3844581,799.1820041,1314.546,15.26993865,31793.03138,33045.62127,29660.34114,29999.99973,2682.555754,59026.16152751587,61351.689165669435,55066.66118639437,55697.26298582392,4980.367154979077,41.6230877794252,34.081725565957214,1.1616131082518224
37063000402,984.9550142,580.6155396,287.8179932,863.4539912,65.73006439,18576.00073,19166.66578,17916.66695,,24999.99983,34487.74690651196,35584.36113726098,33263.64399749179,,46414.385923631584,29.221435400658525,58.948432286685446,7.612457068922747
37063000500,2291.429489,1141.386679,706.3520765,2058.477939,120.2696604,14359.29489,14344.05071,14833.96352,9803.749573,8379.232902,26659.114365909612,26630.81239557279,27540.37249104863,18201.400770963937,15556.678092082188,30.825826406216766,49.81111941166957,5.842649956133439
37063000600,3192.013781,801.1358032,1864.270111,2793.577357,186.7810088,29146.75637,39772.31906,19997.61953,34469.23466,26830.93279,54113.152311139325,73840.31113926004,37127.089469239094,63994.734835222516,49813.65110697607,58.404199947280866,25.098131091057468,6.686086867506064
37063000700,1828.999992,492,1007,1256.999995,34,35508.99985,43295.45436,20084.74568,2499.999989,,65925.13736029397,80381.2776427534,37288.845740344645,4641.438603502611,,55.05740866072131,26.899945442974065,2.7048528349437264
37063000900,1297.000003,989,76,837.000002,95,13009.00003,16363.6364,12480.91606,,,24152.190079153086,30380.32560592963,23171.76234513964,,,5.859676162236678,76.25289111121151,11.3500597100357
37063001001,2581.609893,1983.276786,209.1785717,2016.537372,195.0094697,15420.95711,14394.13735,15881.3711,31666.66551,29705.8825,28630.170379297575,26723.80202174824,29484.96368977013,58791.553755610315,55151.212157310394,8.102640614570964,76.82325634781722,9.670511065539529
37063001002,3021.99997,2090,249,2463.999976,187,17362.99983,17053.57126,18959.53739,,12499.99988,32235.719215265675,31661.24172880813,35199.81165347803,,23207.19289683565,8.239576521240005,69.15949770840004,7.589285788207328
37063001100,1802.000021,1569,21,1073.000013,160,8091.000096,6865.079446,9047.619154,4750.000056,,15021.552140701922,12745.537958791054,16797.58759837548,8818.733489425613,,1.1653717955200844,87.06992129385775,14.911463006664475
37063001301,1077.35991,601.5231168,211.4734867,805.0829646,93.7875174,15327.80838,12506.45956,15425.04043,,7499.999842,28457.232734020952,23219.18578013573,28637.751370962313,,13924.315578435902,19.628861695809714,55.83307038035229,11.649422671189882
37063001303,1341.000019,663,350,1468.000021,187,21563.0003,12500.00018,22341.04078,,,40033.336976050035,23207.193453808286,41477.82782998968,,,26.099925058986894,49.4407151831666,12.738419436303264
37063001304,1711.000001,928,291,1365.000001,94,17382.00001,30000.00002,17838.82785,20000.00001,,32270.994482991086,55697.2635242308,33119.129835415166,37131.50900996528,,17.007597886027117,54.237288103894045,6.88644688140187
37063001400,1746.853842,1136.593408,167.5602033,1270.132454,106.248392,14577.24523,12499.99982,14788.03583,2499.999966,,27063.755616379047,23207.192785441126,27455.104269339172,4641.438560801375,,9.592113505509868,65.06516920148835,8.365142679835815
37063001501,34.00000062,2,32,1783.000032,76,6056.00011,6200.000112,7500.000136,,,11243.421126819077,11510.767995270304,13924.316124269084,,,94.11764534256058,5.882352833910036,4.262478891531506
37063001502,3387.556692,1226.477417,1460.377808,2476.944669,118.9493179,14993.99971,17753.84632,12433.86249,19999.99941,16093.75007,27837.491752445345,32961.35521315027,23084.403842263015,37131.50789602001,29879.26127147709,43.110062525265036,36.205369489355846,4.802259791617493
37063001503,0,0,0,0,0,,,,,,,,,,,,,
37063001601,2933.766389,1327.884155,772.8739624,2527.613246,57.17689896,46651.99905,47049.63472,44878.05063,62499.9992,42500.00093,86612.95610959186,87351.19673238718,83319.48702421642,116035.96411286316,78904.45833333916,26.344086744529132,45.26209584985466,2.2620904938872126
37063001603,3123.764527,1325.777954,855.56604,2871.187849,82.86112213,47554.00033,47631.57729,33888.88929,64880.95404,40357.1422,88287.58954152056,88431.61702090883,62917.27986900891,120456.38641534197,74926.07942332447,27.38894153528494,42.44167390149764,2.885952660981744
37063001604,3466.119559,1044.049223,1435.043116,2969.102077,49.00305385,54141.13971,57141.60597,40709.03698,42500.0002,69999.00209,100517.11079732416,106087.70279290319,75579.3986327043,78904.45697803909,129958.42877469146,41.402008545083774,30.12155827946153,1.6504334502205127
37063001705,3089.076327,1320.89065,811.2553267,2204.918526,57.34749189,36178.23923,35986.92064,49563.38978,30000.00024,31999.42228,67167.6307630874,66812.43336584706,92018.17266301547,55697.2639326774,59409.34180547052,26.26206803662446,42.76005220249127,2.6008893849713157
37063001706,2266.000045,471,1334,2058.000041,53,32528.00065,33841.91244,21574.0745,32142.85778,15937.50032,60390.68743038624,62830.06380260078,40053.89706389366,59675.640633367315,29589.17182162564,58.87025478854305,20.78552474168199,2.5753157893158662
37063001707,2974.880498,1224.950806,1072.956909,2539.897971,75.99694824,49123.00105,49241.07173,50735.29124,42500.00137,36875.00046,91200.55775863017,91419.76488443221,94193.89614296668,78904.45915023236,68461.2205569176,36.0672272288364,41.17647101534094,2.9921260266245553
37063001708,1816.232471,673.1152973,616.1257563,1590.385772,37.82307893,35611.14138,13436.53923,41822.6347,50088.0692,42500.0006,66114.7708172735,24945.948861601875,77646.8768203534,92992.27959308209,78904.45772066926,33.923287141803335,37.06107604878296,2.3782329794384003
37063001709,1758.000003,1221,166,1486.000003,92,22298.00004,20084.7458,21956.52178,,42500.00008,41397.91944877435,37288.845963133695,40763.93929469648,,78904.45675525004,9.442548334284616,69.45392479615371,6.1911170803678655
