trtid10,ag25up12,hinc12,hincb12,hincw12,hinch12,hs12,col12,clf12,unemp12,hinca12,mrent12,mhmval12,hinc12a17,hincw12a17,hincb12a17,hinch12a17,hinca12a17,mhmval12a17,mrent12a17,pcol12,phs12,punemp12,meansp0709,minsp0709,maxsp0709,mediansp0709,stddevsp0709,totsp0709,nums0709,meansp0709a17,minsp0709a17,maxsp0709a17,mediansp0709a17,totsp0709a17,pir0712
37063000101,1792,40098.0,32500,50457,12470,811,536,1405,245,-999,613,113400,42651.07232510012,53669.63829386944,34569.3014755288,13263.975058456743,-1062.6071438170236,120620.27037922971,652.0302093692047,29.910714285714285,45.25669642857143,17.437722419928825,112880.65,19500.0,413100.0,123500.0,62920.86,6434197.0,57.0,120067.85294165077,20741.58088531728,439402.4135243368,131363.34560700943,6843867.564490553,3.0799541124245597
37063000102,2851,38400.0,21563,47907,40556,1386,878,2235,170,-999,563,135000,40844.95928185557,50957.27771655871,22935.933775902384,43138.23355820141,-1062.6071438170236,143595.55997527347,598.846668637622,30.796211855489304,48.61452122062434,7.606263982102908,119244.14,11500.0,214000.0,123000.0,37521.18,7750869.0,65.0,126836.51153385115,12232.214368264036,227625.55433117424,130831.51019969361,8244373.143333244,3.203125
37063000200,2165,32159.0,21991,65313,14713,956,838,1782,256,23182,495,175800,34206.5897277394,69471.5319160373,23391.184884564733,15649.788695675545,24658.016824791033,186993.329212245,526.5170532426694,38.70669745958429,44.15704387990762,14.365881032547701,156661.4,15000.0,370000.0,144500.0,92629.92,6266456.0,40.0,166636.15895933562,15955.06221947483,393558.20141371246,153700.4327142742,6665446.358373425,4.493298920986349
37063000301,1660,32430.0,32682,42647,30632,635,631,1427,170,17232,617,132500,34494.844518504586,45362.3692315962,34762.88956379176,32582.364393796866,18329.175477732686,140936.38293869433,656.2848926277313,38.01204819277109,38.25301204819277,11.913104414856342,172359.38,45000.0,530000.0,136750.0,122938.7,5515500.0,32.0,183333.64213400704,47865.18665842449,563745.5317547773,145456.98390087887,5866676.378100895,4.216774591427691
37063000302,2470,37066.0,25212,49023,35000,558,1467,2121,100,73026,607,245200,39426.02241513694,52144.33434568764,26817.268578493295,37228.47851210794,77675.62490929126,260812.0837476819,645.6481844814148,59.392712550607285,22.591093117408906,4.714757190004715,244583.86,37500.0,510000.0,225250.0,125287.27,16142535.0,66.0,260156.71361195474,39887.65554868708,542472.1154621443,239591.85099578038,17170343.35367001,6.076997787729995
37063000401,2082,68309.0,48611,71042,-999,324,1369,1492,60,-999,711,264500,72658.28967667374,75565.30201306206,51706.1019700594,-1062.6071438170236,-1062.6071438170236,281340.93047007284,756.269949203107,65.75408261287224,15.561959654178676,4.021447721179625,207923.08,500.0,412000.0,219000.0,78303.17,10812000.0,52.0,221161.71188432284,531.8354073158276,438232.37562824204,232943.90840433253,11500408.847797457,3.2060197045777277
37063000402,1430,40000.0,23958,42368,48906,202,1080,1207,104,27019,860,206800,42546.83258526622,45065.60507431397,25483.4253769452,52019.884860375736,28739.321740532698,219967.12446582632,914.7569005832236,75.52447552447552,14.125874125874127,8.616404308202155,158633.33,50000.0,340000.0,140250.0,68829.24,4759000.0,30.0,168733.6433488322,53183.54073158277,361648.07697476284,149179.83175208967,5062009.406832048,3.50625
37063000500,1646,22453.0,20364,32581,33611,692,449,1362,206,2499,541,124200,23882.600800924556,34655.45881151396,21660.59246915903,35751.03975058457,2658.113365764507,132107.9151772516,575.4459107157255,27.278250303766704,42.04131227217497,15.12481644640235,90038.83,10000.0,426500.0,74000.0,85440.04,4141786.0,46.0,95771.67565458114,10636.708146316554,453655.60244040104,78711.64028274249,4405496.888649985,3.295773393310471
37063000600,3838,54875.0,30692,78674,26857,1365,1760,3044,160,96250,632,223000,58368.935952912085,83683.23767033085,32646.184642674765,28567.00706856237,102378.31590829683,237198.59166285914,672.2399548472061,45.85721730067744,35.56539864512767,5.256241787122208,239234.38,45000.0,1050000.0,202500.0,158135.26,15311000.0,64.0,254466.627862499,47865.18665842449,1116854.3553632381,215393.33996291022,16285863.842825275,3.6902050113895215
37063000700,2199,47417.0,17736,72443,68750,538,1299,1633,72,135313,451,286200,50436.0790173892,77055.504824361,18865.26556830704,73127.36850592631,143928.48894025318,304422.58714757976,479.71553739887656,59.07230559345157,24.46566621191451,4.409063074096754,242717.66,10000.0,740000.0,210000.0,146364.33,12864036.0,53.0,258171.69113768917,10636.708146316554,787116.4028274249,223370.87107264763,13683099.65157094,4.428791361747896
