trtid10,ag25up00,hs00,col00,clf00,unemp00,hinc00,hincw00,hincb00,hinch00,hinca00,mhmval00,mrent00,hinc00a17,hincw00a17,hincb00a17,hinch00a17,hinca00a17,mhmval00a17,mrent00a17,pcol00,phs00,punemp00,meansp9800,minsp9800,maxsp9800,mediansp9800,stddevsp9800,totsp9800,nums9800,meansp9800a17,minsp9800a17,maxsp9800a17,mediansp9800a17,totsp9800a17,pir9800
37063000101,1969.028516,1114.011847,451.0101075,1533.022207,89.00151413,33265.02059,36591.16342,26790.03759,41730.64312,38002.94476,82700.30143,488.0002912,47242.69574891771,51966.45514987751,38046.980657721535,59265.49995635598,53971.45485006316,117450.25583948614,693.0538106889187,22.90520954039855,56.576724915242416,5.8056245841453755,80225.72,19000.0,326000.0,81500.0,32983.5,15082435.0,188.0,113935.8766047847,26983.636363636364,462982.3923444976,115745.5980861244,21419944.290430624,2.4500210297329623
37063000102,3066,1630,705,2369,89,33942.0,33162,31506,53214,69375,91000,505,48204.13607655503,47096.386794258375,44744.54985645933,75574.06449760766,98525.77751196173,129237.4162679426,717.1966507177034,22.99412915851272,53.16373124592303,3.7568594343604897,93169.35,22000.0,270000.0,92750.0,26828.02,17329500.0,186.0,132318.30845454548,31244.21052631579,383451.67464114836,131722.75119617226,24611206.650717705,2.7326026751517296
37063000200,2146.971436,891.9881592,760.9898682,1671.977783,113.9984818,34706.00004,48610.99862,29703.99944,30417.0005,156249.9994,115900,500.9999968,49289.16235345837,69036.92158080575,42185.36418076938,43197.962145502395,221904.90345410528,164600.18181818182,711.5158806228517,35.44480636490406,41.54634496963098,6.818181614557972,101019.72,7500.0,240000.0,101250.0,43487.3,13132564.0,130.0,143467.33631770336,10651.435406698565,340845.9330143541,143794.37799043063,18650754.28937799,2.9173629886274846
37063000301,1592,926,304,1341,49,29256.0,31750,25481,32083,,80800,433,41549.11923444976,45091.07655502392,36187.89674641148,45564.00028708134,,114751.46411483255,614.9428708133971,19.09547738693467,58.165829145728644,3.6539895600298284,83019.04,10000.0,410500.0,75000.0,55700.86,8467942.0,102.0,117902.92561148325,14201.913875598088,582988.5645933015,106514.35406698564,12026098.298755981,2.56357670221493
37063000302,2320,568,1239,2178,92,35467.0,41417,24948,23542,40000,150000,493,50369.92794258374,58820.066698564595,35430.93473684211,33434.145645933015,56807.65550239235,213028.7081339713,700.1543540669857,53.4051724137931,24.482758620689655,4.224058769513315,153071.07,2000.0,525000.0,137500.0,79535.5,24338300.0,159.0,217390.2152985646,2840.3827751196172,745600.4784688995,195276.31578947368,34565044.04784689,3.87684326275129
37063000401,2032.094069,662.3783231,995.7382413,1560.783231,81.08588957,48406.99566,50391.86844,40110.25685,2825.15208,45357.14286,133651.1178,575.2837397,68747.19833397704,71566.09756153493,56964.241331181816,4012.2566525626794,64415.823654091866,189810.16643730146,817.0130125251387,49.00059778187365,32.5958494345667,5.19520507136971,133068.42,15500.0,368000.0,130000.0,49127.04,25283000.0,190.0,188982.6240401914,22012.966507177036,522630.4306220096,184624.88038277513,35906698.851674646,2.685562246273063
37063000402,996.9059448,335.6216736,423.2617798,921.2167969,20.91411018,26780.99899,26591.00066,32135.00013,19791.99945,,90300.00057,456.9999892,38034.144115845935,37764.310123929194,45637.85042385933,28108.42716147847,,128243.28310615983,649.0274487767656,42.457543964683154,33.66633285222636,2.2702701742280835,95491.38,25000.0,157000.0,93750.0,32668.66,5538500.0,58.0,135616.03546220096,35504.78468899522,222970.04784688997,133142.94258373207,7865730.0,3.5006162404548897
37063000500,2237.328185,1200.679842,627.4370852,2040.090891,149.8246658,21152.09503,19279.40994,21518.11058,37547.84031,14466.31272,75866.10828,449.0646238,30040.023190452634,27380.45195402297,30559.8353222756,53325.119429733015,20544.93273469091,107744.39358693588,637.7577111785455,28.044034371291843,53.66578984924379,7.344019154291689,50923.28,1000.0,200000.0,48000.0,36308.87,4226632.0,83.0,72320.80368229665,1420.1913875598086,284038.27751196176,68169.18660287082,6002626.36478469,2.2692787608944474
37063000600,3416.137646,994.9875374,1710.109807,2909.265574,97.25114179,45582.13449,63723.32722,26024.11133,40550.82198,51173.1564,152388.5808,510.8715981,64735.3548292909,90499.32050449953,36959.218779763636,57589.92813446699,72675.6759935311,216420.950014622,725.535443770536,50.059745367766126,29.1260962088294,3.3428072933296256,136254.32,10000.0,322000.0,122000.0,66037.63,33654816.0,247.0,193507.2117818182,14201.913875598088,457301.62679425837,173263.34928229667,47796279.83311005,2.6764872107243
37063000700,2075,543,1158,1594,80,40595.0,56579,20850,101178,,160200,394,57652.66937799043,80353.00851674641,29610.990430622012,143692.12421052632,,227514.66028708135,559.5554066985646,55.807228915662655,26.16867469879518,5.018820577164367,165485.71,15000.0,550000.0,148000.0,97047.85,28960000.0,175.0,235021.38010622008,21302.87081339713,781105.2631578947,210188.3253588517,41128742.58373206,3.64576918339697
37063000900,1300,1068,69,945,120,18611.0,22708,17250,30114,,52600,381,26431.1819138756,32249.706028708137,24498.301435406698,42767.64344497608,,74702.06698564594,541.0929186602871,5.3076923076923075,82.15384615384616,12.698412698412698,38458.73,4065.0,138000.0,36000.0,27107.76,2269065.0,59.0,54618.757122488045,5773.077990430622,195986.41148325359,51126.88995215311,3222506.5708133974,1.9343399065069045
37063001001,2588.999754,1785.267593,112.4956832,1970.873398,264.0240807,17572.31545,25108.41525,16371.89605,32207.25049,64807.68978,67926.61592,365.1469571,24956.051061574162,35658.75509332536,23251.22576823445,45740.45976287943,92039.32287320383,96468.79491566698,518.578563667091,4.34514074503848,68.95588113678902,13.396298360306957,57926.71,3000.0,410500.0,54900.0,51207.23,8457300.0,146.0,82267.01465167465,4260.574162679426,582988.5645933015,77968.50717703349,12010984.62200957,3.124232555249286
37063001002,3315,2354,275,2945,269,25819.0,23165,26830,30182,,75700,411,36667.9214354067,32898.73349282297,38103.73492822966,42864.21645933014,,107508.48803827752,583.6986602870813,8.295625942684765,71.0105580693816,9.134125636672326,64147.19,15000.0,180000.0,65000.0,25491.78,9301342.0,145.0,91101.28677416268,21302.87081339713,255634.44976076556,92312.44019138756,13209685.801148325,2.5175258530539524
37063001100,2155,1650,109,1625,301,16633.0,7063,13024,39432,47500,68100,352,23622.043349282296,10030.811770334929,18496.572631578947,56000.98679425837,67459.09090909091,96715.03349282297,499.90736842105264,5.058004640371229,76.5661252900232,18.52307692307692,45562.07,300.0,192000.0,39000.0,30367.22,3963900.0,87.0,64706.859413397135,426.0574162679426,272676.74641148327,55387.46411483254,5629496.641148326,2.3447363674622737
37063001301,921.7588798,508.778849,147.6293569,467.9435337,34.95612603,19373.97414,38718.38827,18263.32631,21249.99929,,69600.8962,411.8954789,27514.751216434448,54987.52156125072,25937.41873365646,30179.06597731005,,98846.59334968422,584.9704117086029,16.01604933082197,55.196522664407965,7.470159006922078,55616.78,500.0,135000.0,60000.0,32215.01,2280288.0,41.0,78986.47195980861,710.0956937799043,191725.83732057418,85211.48325358852,3238445.378755981,3.0969381690317466
37063001303,1260,580,357,1997,900,27130.0,,26736,,,83200,401,38529.79234449761,,37970.23693779905,,,118159.92344497608,569.4967464114833,28.333333333333332,46.03174603174603,45.06760140210315,64661.54,2900.0,191000.0,61000.0,39400.33,3362400.0,52.0,91831.76221435406,4118.555023923445,271256.55502392346,86631.67464114833,4775251.5215311,2.248433468485072
37063001304,1728,1081,202,1200,84,21567.0,,20357,32917,,82200,350,30629.267655502394,,28910.836076555024,46748.43990430622,,116739.73205741627,497.066985645933,11.689814814814815,62.557870370370374,7.000000000000001,65139.13,1000.0,120000.0,74500.0,22081.69,3973487.0,61.0,92510.03141913876,1420.1913875598086,170422.96650717704,105804.25837320574,5643112.015980861,3.4543515556173783
37063001400,1668.441641,1021.347659,231.3910853,1331.239318,198.0924864,18439.19385,13815.8876,18270.991,63294.54184,,64908.88533,265.1616732,26187.18429931579,19621.204581014354,25948.30406038278,89890.36320071196,,92183.0399217732,376.58032458958854,13.868695171220555,61.2156657986457,14.880306171966595,59011.36,7000.0,190500.0,56500.0,33999.57,2596500.0,44.0,83807.4252401914,9941.339712918661,270546.4593301435,80240.81339712918,3687526.937799043,3.0641252789909794
37063001501,43,0,43,1156,240,4545.0,7125,2499,,5645.16129,0,440,6454.76985645933,10118.863636363636,3549.058277511962,,8017.209445444019,0.0,624.8842105263158,100.0,0.0,20.761245674740483,,,,,,,,,,,,,
37063001502,3440.53418,1566.332642,1283.453125,3183.643555,177.9241943,22264.99974,22422.9994,16048.00023,27250.0009,28520.40825,61999.998,517.0000075,31620.560874769377,31844.95063113876,22791.231714203826,38700.216589177035,40504.438166339714,88051.86318832535,734.2389580198566,37.30389113588169,45.525856162254435,5.588697076987942,67944.44,45000.0,81500.0,72000.0,12729.01,611500.0,9.0,96494.10852057417,63908.61244019139,115745.5980861244,102253.77990430623,868447.033492823,3.233775020919897
37063001503,8,0,8,560,45,8750.0,8750,,,,,475,12426.674641148325,12426.674641148325,,,,,674.5909090909091,100.0,0.0,8.035714285714286,,,,,,,,,,,,,
37063001601,3906,1353,1345,2846,52,59072.0,58405,61098,63750,62727.27273,134500,708,83893.54564593302,82946.27799043062,86770.85339712919,90537.2009569378,89084.73249626125,191015.74162679428,1005.4955023923445,34.4342037890425,34.63901689708141,1.8271257905832747,145506.61,18500.0,332500.0,140000.0,41573.19,66060000.0,454.0,206647.23435502392,26273.540669856462,472213.6363636364,198826.7942583732,93817843.06220096,2.3699891657638137
