id,ag25up16,batm16,masm16,prom16,phdm16,batf16,masf16,prof16,phdf16,col16,pcol16
37063000101,2068,161,18,3,12,156,170,19,40,579,27.99806576402321
37063000102,3149,344,193,26,24,313,156,24,20,1100,34.93172435693871
37063000200,2266,249,69,38,90,217,277,8,29,977,43.11562224183583
37063000301,1908,108,81,45,44,196,115,6,50,645,33.80503144654088
37063000302,2607,338,189,48,168,460,387,85,116,1791,68.69965477560415
37063000401,2350,333,333,78,74,347,351,128,125,1769,75.27659574468085
37063000402,1450,274,128,39,15,382,307,21,29,1195,82.41379310344827
37063000500,2121,227,104,37,34,222,122,7,52,805,37.95379537953795
37063000600,4378,536,266,56,160,402,328,115,195,2058,47.00776610324349
37063000700,2636,316,176,77,121,344,309,167,84,1594,60.47040971168437
37063000900,1247,53,21,0,0,17,16,0,0,107,8.580593424218124
37063001001,2594,91,20,0,0,165,24,0,0,300,11.56515034695451
37063001002,3522,53,33,26,0,111,13,13,0,249,7.0698466780238505
37063001100,2145,80,7,0,0,103,67,0,9,266,12.400932400932401
37063001301,874,44,6,0,2,29,25,0,0,106,12.128146453089245
37063001303,1271,76,15,0,0,99,76,5,12,283,22.265932336742722
37063001304,1724,57,5,0,0,111,46,5,0,224,12.993039443155451
37063001400,1261,57,26,0,7,127,37,0,0,254,20.14274385408406
37063001501,60,11,7,0,0,19,7,0,0,44,73.33333333333333
37063001502,3671,482,228,85,138,371,42,57,217,1620,44.12966494143285
37063001503,27,7,0,0,0,16,4,0,0,27,100.0
37063001601,4398,527,162,21,44,583,263,50,20,1670,37.971805366075486
37063001603,4560,396,171,66,38,660,260,31,52,1674,36.71052631578947
37063001604,4774,512,388,192,166,931,516,66,69,2840,59.48889819857561
37063001705,3811,307,104,39,177,618,286,78,143,1752,45.972185778011024
37063001706,3662,384,290,119,252,588,319,186,65,2203,60.1583833970508
37063001707,5601,640,255,212,239,993,526,179,154,3198,57.09694697375469
37063001708,3187,247,159,24,21,630,239,17,0,1337,41.95167869469721
37063001709,3815,181,4,25,45,404,215,20,0,894,23.43381389252949
37063001710,2776,305,54,15,0,372,84,24,22,876,31.556195965417867
37063001711,3003,231,30,12,8,284,99,9,0,673,22.41092241092241
37063001801,5213,464,118,0,11,603,127,44,0,1367,26.22290427776712
37063001802,4392,213,19,0,0,144,79,0,0,455,10.359744990892532
37063001806,4018,400,103,0,68,450,310,0,28,1359,33.822797411647585
37063001807,6065,553,215,14,71,872,252,125,27,2129,35.10305028854081
37063001808,5583,815,319,56,75,897,475,97,119,2853,51.101558301988184
37063001809,3883,436,182,133,16,787,474,9,82,2119,54.571207828998205
37063001900,2467,416,104,7,22,343,249,31,23,1195,48.439400081070126
37063002007,3833,766,314,106,114,580,402,92,124,2498,65.17088442473259
37063002008,2284,480,192,179,135,424,317,186,58,1971,86.29597197898424
37063002009,3150,124,59,0,9,271,132,20,16,631,20.03174603174603
37063002013,3433,444,198,63,89,510,491,50,17,1862,54.23827556073405
37063002015,3901,274,138,98,94,446,308,109,80,1547,39.656498333760574
37063002016,3694,238,281,56,42,382,200,59,72,1330,36.004331348132105
37063002017,5748,892,551,365,381,904,1015,219,185,4512,78.49686847599166
37063002018,6151,796,442,320,266,1165,646,156,248,4039,65.66411965534058
37063002019,3619,481,349,294,190,775,466,171,182,2908,80.35368886432717
37063002020,4719,862,478,162,311,897,652,82,269,3713,78.68192413646959
37063002021,3171,588,210,31,124,538,482,79,44,2096,66.09902239041313
37063002022,3606,559,296,119,122,792,564,85,100,2637,73.12811980033278
37063002023,2550,360,165,31,126,411,242,40,93,1468,57.568627450980394
37063002024,4778,540,466,147,294,874,772,220,250,3563,74.57095018836333
37063002025,4744,617,258,92,115,1064,285,106,191,2728,57.50421585160203
37063002026,3640,419,74,17,52,595,390,48,126,1721,47.28021978021978
37063002027,5689,806,159,89,60,940,288,108,179,2629,46.211988047108456
37063002028,5705,1353,355,45,122,1075,556,15,42,3563,62.45398773006134
37063002100,7804,682,270,279,119,597,260,88,41,2336,29.93336750384418
37063002200,1382,205,115,71,62,231,162,55,42,943,68.23444283646889
37063002300,851,39,9,0,16,27,5,0,4,100,11.750881316098708
37063980100,0,0,0,0,0,0,0,0,0,0,
