trtid10,hinc16,hincw16,hincb16,hincn16,hinca16,hincp16,hinco16,hincm16,hinch16,hinc16a17,hincw16a17,hincb16a17,hincn16a17,hinca16a17,hincp16a17,hinco16a17,hincm16a17,hinch16a17,meansp1517,minsp1517,maxsp1517,mediansp1517,stddevsp1517,totsp1517,nums1517,meansp1517a17,minsp1517a17,maxsp1517a17,mediansp1517a17,totsp1517a17,pir1517
37063000101,43790.0,52386,37127,NaN,NaN,NaN,26343,NaN,26500,44686.530864834196,53458.520344489705,37887.11649734413,,,,26882.33118457016,,27042.54551080398,141775.0,17000.0,631000.0,125750.0,79457.92213492624,27788036.0,196.0,144677.61848280128,17348.04806353463,643918.7251817853,128324.53199938114,28356952.00701356,2.87166019639187
37063000102,45600.0,56250,15184,NaN,NaN,NaN,34539,NaN,34704,46533.58774689289,57401.62962198958,15494.86834098293,,,,35246.131298024855,,35414.509411582694,161267.0,20000.0,451000.0,154250.0,73502.00397948344,27093000.0,168.0,164568.68629776698,20409.46831004074,460233.51039141865,157408.02434118922,27647686.246196687,3.3826754385964914
37063000200,37708.0,52120,22589,NaN,NaN,NaN,NaN,NaN,36895,38480.01155175081,53187.07441596617,23051.473982775515,,,,,,37650.36666494765,271253.0,27000.0,650000.0,264500.0,138951.12088068956,38518000.0,142.0,276806.475375174,27552.782218555,663307.7200763241,269915.2184002888,39306595.01830746,7.014426646865386
37063000301,33417.0,40050,25076,NaN,NaN,NaN,NaN,NaN,31413,34101.16012583157,40869.96029085658,25589.39136712908,,,,,,32056.131401165487,243626.0,28000.0,1070000.0,200000.0,186808.4230568847,19977400.0,82.0,248613.85632509924,28573.255634057034,1091906.5545871796,204094.6831004074,20386405.610850394,5.984977705958046
37063000302,53550.0,55857,32664,NaN,NaN,NaN,NaN,NaN,31630,54646.35140013408,57000.58356969728,33332.743643958536,,,,,,32277.574132329428,342390.0,5000.0,1425000.0,305000.0,216954.0320643984,39032500.0,114.0,349399.8927337424,5102.367077510185,1454174.6170904026,311244.39172812126,39831628.59058326,5.695611577964519
37063000401,73657.0,74306,NaN,NaN,NaN,NaN,NaN,86111,56806,75165.01036563354,75827.29761229437,,,,,,87873.98628229591,57969.01284100871,319584.0,46000.0,880000.0,290000.0,153348.7600504158,56566500.0,177.0,326126.97601980297,46941.7771130937,898016.6056417925,295937.2904955907,57724609.45799597,3.9371682256947746
37063000402,44100.0,47313,NaN,NaN,28897,NaN,NaN,NaN,49250,45002.87762363983,48281.658707647875,,,29488.620287762362,,,,50258.31571347532,268955.0,65000.0,656000.0,257000.0,123141.93392991682,15868382.0,59.0,274461.4274663504,66330.7720076324,669430.5605693363,262261.6677840235,16193261.978031045,5.827664399092971
37063000500,26568.0,30493,24167,NaN,NaN,NaN,NaN,NaN,30313,27111.937703058116,31117.295858903613,24661.781032437728,,,,,,30933.610644113247,192930.0,4000.0,585000.0,158000.0,143107.23213031547,19100100.0,99.0,196879.93605280799,4081.8936620081477,596976.9480686917,161234.79964932185,19491144.283430457,5.947003914483589
37063000600,41162.0,56026,30429,NaN,NaN,NaN,NaN,NaN,35787,42004.72672889484,57173.04357691712,31051.98556031148,,,,,,36519.68212057139,306850.0,27000.0,1095000.0,269500.0,182054.49565720698,54619301.0,178.0,313132.2675468,27552.782218555,1117418.3899747306,275017.58547779894,55737544.64380382,6.547300908605024
37063000700,45350.0,74432,20608,NaN,NaN,NaN,NaN,NaN,NaN,46278.469393017374,75955.87726264761,21029.91614666598,,,,,,,346124.0,5000.0,1100000.0,296000.0,199818.1128101254,47419090.0,137.0,353210.34046722704,5102.367077510185,1122520.7570522407,302060.13098860293,48389920.732298486,6.527012127894157
37063000900,25986.0,31892,24420,NaN,NaN,NaN,25729,NaN,32708,26518.022175235932,32544.93816719096,24919.960806559742,,,,26255.76050745191,,33377.644474240624,128375.0,20000.0,1095000.0,85750.0,126516.06924418733,17202278.0,134.0,131003.27471507399,20409.46831004074,1117418.3899747306,87505.59537929967,17554467.38507555,3.2998537674132224
37063001001,30938.0,30926,26274,NaN,NaN,NaN,66136,NaN,47625,31571.40652880202,31559.160847815994,26811.91851890052,,,,67490.02980764271,,48600.04641328451,102685.0,5000.0,800000.0,70000.0,107369.1004479408,25466093.0,248.0,104787.31267082666,5102.367077510185,816378.7324016296,71433.13908514258,25987470.903202515,2.2625896955200724
37063001002,28810.0,31622,20225,NaN,NaN,NaN,47893,NaN,33545,29399.839100613684,32269.410345005414,20639.074828528697,,,,48873.53328863905,,34231.78072301583,87303.0,5000.0,675000.0,74500.0,68785.29749881147,14841634.0,170.0,89090.39059357434,5102.367077510185,688819.555463875,76025.26945490175,15145492.93961116,2.5859076709475874
37063001100,20519.0,37159,18396,NaN,NaN,NaN,NaN,NaN,35682,20939.094012686295,37919.77164664019,18772.628951575472,,,,,,36412.532411943685,190899.0,12000.0,1250000.0,130000.0,167592.75035633254,18517286.0,97.0,194807.35454592336,12245.680986024443,1275591.7693775462,132661.5440152648,18896398.090248052,6.335591403089819
37063001301,23587.0,21563,24185,NaN,NaN,NaN,NaN,NaN,NaN,24069.906451446546,22004.468258470424,24680.149553916763,,,,,,,118455.0,10000.0,1095000.0,67750.0,186622.5417118736,11845550.0,100.0,120880.17843329378,10204.73415502037,1117418.3899747306,69137.073900263,12088068.867000153,2.8723449357697035
37063001303,26603.0,54063,22364,NaN,NaN,NaN,NaN,NaN,NaN,27147.65427260069,55169.85426228662,22821.867464287556,,,,,,,106326.0,500.0,838000.0,72250.0,146314.1324411282,9569420.0,90.0,108502.85637666959,510.23670775101846,855156.722190707,73729.20427002216,9765338.711773502,2.7158591136338006
37063001304,21229.0,18516,21194,NaN,NaN,NaN,NaN,NaN,77375,21663.630137692744,18895.085761435716,21627.913568150172,,,,,,78959.1305244701,123554.0,11000.0,838000.0,84000.0,181794.54016278926,6548400.0,53.0,126083.57237893867,11225.207570522407,855156.722190707,85719.7669021711,6682468.114073539,3.9568514767534975
37063001400,21267.0,NaN,19962,NaN,NaN,NaN,NaN,NaN,NaN,21702.40812748182,,20370.690320251662,,,,,,,58666.0,1000.0,139500.0,53000.0,32692.347529658986,4282650.0,73.0,59867.0933938425,1020.4734155020369,142356.04146253417,54085.09102160796,4370330.472899798,2.4921239479005033
37063001501,10536.0,10000,NaN,NaN,NaN,NaN,NaN,NaN,11250,10751.707905729461,10204.73415502037,,,,,,,11480.325924397916,,,,,,,,,,,,,
37063001502,24884.0,27000,20426,NaN,26771,NaN,16181,NaN,27361,25393.460471352686,27552.782218555,20844.189985044606,,27319.09380640503,,16512.28033623846,,27921.173121551234,117574.0,49000.0,225000.0,122250.0,57986.42156574244,1881193.0,16.0,119981.14135423649,50003.19735959981,229606.51848795832,124752.87504512402,1919707.4459285233,4.912795370519209
37063001503,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,
37063001601,78134.0,79170,76477,NaN,NaN,NaN,77188,NaN,82071,79733.66984683616,80790.88030529626,78042.74539734928,,,,78768.30199577122,,83751.27368366768,194065.0,13000.0,800000.0,177000.0,107134.61448103502,63265374.0,326.0,198038.1733794028,13266.15440152648,816378.7324016296,180623.79454386054,64560632.288793765,2.265339032943405
37063001603,71458.0,79432,57952,NaN,NaN,NaN,NaN,NaN,NaN,72920.98932494456,81058.2443401578,59138.47537517404,,,,,,,205621.0,2000.0,519000.0,193000.0,82030.44559186546,63125767.0,307.0,209830.76416894436,2040.9468310040738,529625.7026455572,196951.36919189314,64418167.05667578,2.700887234459403
37063001604,92465.0,86949,130982,NaN,NaN,NaN,NaN,NaN,NaN,94358.07436439584,88729.14300448661,133663.64890928782,,,,,,,223109.0,500.0,490000.0,230000.0,78869.06022008884,61355157.0,275.0,227676.80325924396,510.23670775101846,500031.97359599813,234708.8855654685,62611306.62245371,2.487427675336614
37063001705,57883.0,52313,58983,NaN,121165,NaN,NaN,NaN,41639,59068.062709504404,53384.02578515806,60190.58346655664,,123645.66138930431,,,,42491.492548089314,208687.0,1500.0,1200000.0,160000.0,184466.25026546183,46119930.0,221.0,212959.53566087357,1530.7101232530554,1224568.0986024444,163275.7464803259,47064162.48981486,2.7641967417030906
37063001706,45283.0,54346,39895,NaN,27208,NaN,NaN,NaN,35694,46210.09767417874,55458.6482388737,40711.78691145377,,27765.04068897942,,,,36424.77809292971,277091.0,72000.0,500000.0,262750.0,100543.37335697463,22721500.0,82.0,282763.9991748749,73474.08591614667,510236.70775101846,268129.3899231602,23186686.710329533,5.802398250999271
