id,pop16,hisp16,phisp16,nhwht16,pnhwht16,nhblk16,pnhblk16,ntv16,pntv16,asian16,pasian16,haw16,phaw16,oth16,poth16,twomr16,ptwomr16
37063000101,3026,543,17.9,905,29.9,1482,49.0,0,0.0,0,0.0,0,0.0,0,0.0,96,3.2
37063000102,4506,1151,25.5,1823,40.5,1398,31.0,0,0.0,53,1.2,0,0.0,0,0.0,81,1.8
37063000200,3239,880,27.2,1400,43.2,917,28.3,13,0.4,17,0.5,0,0.0,0,0.0,12,0.4
37063000301,2578,577,22.4,1061,41.2,806,31.3,0,0.0,118,4.6,0,0.0,0,0.0,16,0.6
37063000302,3593,652,18.1,2237,62.3,445,12.4,0,0.0,146,4.1,0,0.0,0,0.0,113,3.1
37063000401,3035,228,7.5,2631,86.7,51,1.7,0,0.0,101,3.3,0,0.0,0,0.0,24,0.8
37063000402,2054,165,8.0,1541,75.0,82,4.0,0,0.0,190,9.3,0,0.0,22,1.1,54,2.6
37063000500,3770,303,8.0,1226,32.5,1821,48.3,4,0.1,326,8.6,0,0.0,0,0.0,90,2.4
37063000600,6017,647,10.8,2659,44.2,2106,35.0,0,0.0,338,5.6,0,0.0,0,0.0,267,4.4
37063000700,3731,196,5.3,1988,53.3,1340,35.9,0,0.0,109,2.9,0,0.0,23,0.6,75,2.0
37063000900,1999,564,28.2,94,4.7,1319,66.0,0,0.0,0,0.0,0,0.0,0,0.0,22,1.1
37063001001,4377,1128,25.8,405,9.3,2437,55.7,324,7.4,0,0.0,0,0.0,0,0.0,83,1.9
37063001002,5776,2898,50.2,266,4.6,2496,43.2,29,0.5,0,0.0,0,0.0,0,0.0,87,1.5
37063001100,3617,857,23.7,368,10.2,2363,65.3,16,0.4,0,0.0,0,0.0,0,0.0,13,0.4
37063001301,1408,177,12.6,58,4.1,1123,79.8,0,0.0,5,0.4,0,0.0,0,0.0,45,3.2
37063001303,3591,330,9.2,264,7.4,2808,78.2,6,0.2,94,2.6,0,0.0,0,0.0,89,2.5
37063001304,3006,243,8.1,93,3.1,2499,83.1,0,0.0,0,0.0,0,0.0,0,0.0,171,5.7
37063001400,2542,316,12.4,33,1.3,1982,78.0,0,0.0,0,0.0,0,0.0,0,0.0,211,8.3
37063001501,2911,213,7.3,1307,44.9,666,22.9,0,0.0,644,22.1,10,0.3,0,0.0,71,2.4
37063001502,6292,1348,21.4,1440,22.9,1900,30.2,63,1.0,1338,21.3,20,0.3,11,0.2,172,2.7
37063001503,1642,143,8.7,655,39.9,471,28.7,8,0.5,328,20.0,0,0.0,5,0.3,32,1.9
37063001601,6114,890,14.6,3291,53.8,1665,27.2,0,0.0,147,2.4,0,0.0,0,0.0,121,2.0
37063001603,6277,377,6.0,4417,70.4,1111,17.7,0,0.0,204,3.2,0,0.0,45,0.7,123,2.0
37063001604,6599,139,2.1,5206,78.9,965,14.6,10,0.2,90,1.4,0,0.0,40,0.6,149,2.3
37063001705,5202,787,15.1,2753,52.9,1528,29.4,0,0.0,126,2.4,0,0.0,0,0.0,8,0.2
37063001706,5033,301,6.0,2490,49.5,1574,31.3,0,0.0,583,11.6,0,0.0,0,0.0,85,1.7
37063001707,7042,529,7.5,5503,78.1,394,5.6,0,0.0,379,5.4,0,0.0,0,0.0,237,3.4
37063001708,5260,865,16.4,455,8.7,3773,71.7,0,0.0,69,1.3,0,0.0,13,0.2,85,1.6
37063001709,6477,677,10.5,830,12.8,4566,70.5,0,0.0,174,2.7,0,0.0,0,0.0,230,3.6
37063001710,4348,735,16.9,1260,29.0,1973,45.4,12,0.3,319,7.3,0,0.0,0,0.0,49,1.1
37063001711,4620,1062,23.0,1152,24.9,2190,47.4,0,0.0,60,1.3,0,0.0,0,0.0,156,3.4
37063001801,7852,1548,19.7,2026,25.8,4099,52.2,0,0.0,20,0.3,0,0.0,0,0.0,159,2.0
37063001802,7452,2600,34.9,655,8.8,3896,52.3,0,0.0,18,0.2,0,0.0,0,0.0,283,3.8
37063001806,6004,548,9.1,2356,39.2,3013,50.2,0,0.0,48,0.8,0,0.0,0,0.0,39,0.6
37063001807,9153,1593,17.4,2103,23.0,5140,56.2,6,0.1,111,1.2,0,0.0,0,0.0,200,2.2
37063001808,7954,577,7.3,3653,45.9,2967,37.3,11,0.1,571,7.2,0,0.0,0,0.0,175,2.2
37063001809,5448,201,3.7,2585,47.4,2403,44.1,12,0.2,110,2.0,0,0.0,30,0.6,107,2.0
37063001900,3102,64,2.1,2462,79.4,326,10.5,0,0.0,123,4.0,0,0.0,0,0.0,127,4.1
37063002007,5081,452,8.9,2954,58.1,1452,28.6,14,0.3,88,1.7,32,0.6,0,0.0,89,1.8
37063002008,3101,50,1.6,2630,84.8,301,9.7,26,0.8,34,1.1,0,0.0,0,0.0,60,1.9
37063002009,4559,740,16.2,39,0.9,3605,79.1,18,0.4,85,1.9,0,0.0,0,0.0,72,1.6
37063002013,4550,421,9.3,2601,57.2,1160,25.5,0,0.0,159,3.5,0,0.0,33,0.7,176,3.9
37063002015,5505,1272,23.1,2425,44.1,1401,25.4,0,0.0,283,5.1,0,0.0,0,0.0,124,2.3
37063002016,5731,2007,35.0,1436,25.1,1880,32.8,0,0.0,265,4.6,0,0.0,0,0.0,143,2.5
37063002017,7615,268,3.5,5630,73.9,626,8.2,0,0.0,748,9.8,0,0.0,25,0.3,318,4.2
37063002018,8674,659,7.6,5596,64.5,1631,18.8,46,0.5,555,6.4,0,0.0,0,0.0,187,2.2
37063002019,4844,191,3.9,3800,78.4,543,11.2,0,0.0,310,6.4,0,0.0,0,0.0,0,0.0
37063002020,6971,152,2.2,4373,62.7,1493,21.4,37,0.5,658,9.4,0,0.0,58,0.8,200,2.9
37063002021,4518,471,10.4,2225,49.2,1343,29.7,0,0.0,402,8.9,0,0.0,0,0.0,77,1.7
37063002022,4688,158,3.4,2504,53.4,1650,35.2,26,0.6,164,3.5,8,0.2,38,0.8,140,3.0
37063002023,3308,316,9.6,2022,61.1,670,20.3,0,0.0,300,9.1,0,0.0,0,0.0,0,0.0
37063002024,6188,407,6.6,3978,64.3,1229,19.9,0,0.0,533,8.6,0,0.0,0,0.0,41,0.7
37063002025,6898,745,10.8,2587,37.5,2940,42.6,0,0.0,379,5.5,0,0.0,45,0.7,202,2.9
37063002026,6434,793,12.3,758,11.8,4607,71.6,0,0.0,60,0.9,0,0.0,0,0.0,216,3.4
37063002027,9099,1863,20.5,2300,25.3,4187,46.0,21,0.2,537,5.9,55,0.6,18,0.2,118,1.3
37063002028,7604,397,5.2,3162,41.6,2566,33.7,89,1.2,1160,15.3,0,0.0,57,0.7,173,2.3
37063002100,9284,553,6.0,5833,62.8,2588,27.9,94,1.0,18,0.2,0,0.0,0,0.0,198,2.1
37063002200,1835,51,2.8,1184,64.5,495,27.0,5,0.3,54,2.9,0,0.0,0,0.0,46,2.5
37063002300,1484,239,16.1,145,9.8,1096,73.9,0,0.0,0,0.0,0,0.0,0,0.0,4,0.3
37063980100,0,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-
