trtid10,hinc16,hincw16,hincb16,hincn16,hinca16,hincp16,hinco16,hincm16,hinch16,hinc16a17,hincw16a17,hincb16a17,hincn16a17,hinca16a17,hincp16a17,hinco16a17,hincm16a17,hinch16a17,meansp1517,minsp1517,maxsp1517,mediansp1517,stddevsp1517,totsp1517,nums1517,meansp1517a17,minsp1517a17,maxsp1517a17,mediansp1517a17,totsp1517a17,pir1517
37063000101,43790.0,52386,37127,NaN,NaN,NaN,26343,NaN,26500,44686.530864834196,53458.520344489705,37887.11649734413,,,,26882.33118457016,,27042.54551080398,151314.47,30000.0,451000.0,142000.0,72723.24,24059000.0,159.0,154412.3940157805,30614.20246506111,460233.51039141865,144907.22500128925,24551569.903563507,3.2427494861840604
37063000102,45600.0,56250,15184,NaN,NaN,NaN,34539,NaN,34704,46533.58774689289,57401.62962198958,15494.86834098293,,,,35246.131298024855,,35414.509411582694,175640.74,35000.0,451000.0,170000.0,71697.71,23711500.0,135.0,179236.70584910523,35716.56954257129,460233.51039141865,173480.4806353463,24196955.39167655,3.7280701754385963
37063000200,37708.0,52120,22589,NaN,NaN,NaN,NaN,NaN,36895,38480.01155175081,53187.07441596617,23051.473982775515,,,,,,37650.36666494765,297403.51,67500.0,650000.0,285750.0,127329.55,33904000.0,114.0,303492.3756319942,68881.9555463875,663307.7200763241,291600.2784797071,34598130.67918106,7.577967540044553
37063000301,33417.0,40050,25076,NaN,NaN,NaN,NaN,NaN,31413,34101.16012583157,40869.96029085658,25589.39136712908,,,,,,32056.131401165487,265969.23,28000.0,1070000.0,224000.0,200333.65,17288000.0,65.0,271414.52855654684,28573.255634057034,1091906.5545871796,228586.04507245627,17641944.407199215,6.703175030673011
37063000302,53550.0,55857,32664,NaN,NaN,NaN,NaN,NaN,31630,54646.35140013408,57000.58356969728,33332.743643958536,,,,,,32277.574132329428,356068.63,5000.0,1425000.0,318000.0,221070.83,36319000.0,102.0,363358.5710092311,5102.367077510185,1454174.6170904026,324510.54612964776,37062573.97761848,5.938375350140056
37063000401,73657.0,74306,NaN,NaN,NaN,NaN,NaN,86111,56806,75165.01036563354,75827.29761229437,,,,,,87873.98628229591,57969.01284100871,331993.55,46000.0,880000.0,300000.0,152163.13,51459000.0,155.0,338790.5918931463,46941.7771130937,898016.6056417925,306142.0246506111,52512541.48831932,4.072932647270457
37063000402,44100.0,47313,NaN,NaN,28897,NaN,NaN,NaN,49250,45002.87762363983,48281.658707647875,,,29488.620287762362,,,,50258.31571347532,305391.3,145000.0,656000.0,278500.0,111041.33,14048000.0,46.0,311643.7029756072,147968.64524779536,669430.5605693363,284201.8462173173,14335610.540972615,6.315192743764173
37063000500,26568.0,30493,24167,NaN,NaN,NaN,NaN,NaN,30313,27111.937703058116,31117.295858903613,24661.781032437728,,,,,,30933.610644113247,228575.68,4000.0,585000.0,223250.0,138180.49,16914600.0,74.0,233255.40487030064,4081.8936620081477,596976.9480686917,227820.69001082974,17260899.633850753,8.402965974104186
37063000600,41162.0,56026,30429,NaN,NaN,NaN,NaN,NaN,35787,42004.72672889484,57173.04357691712,31051.98556031148,,,,,,36519.68212057139,319996.86,27000.0,1095000.0,278000.0,176455.96,50879500.0,159.0,326548.28867412714,27552.782218555,1117418.3899747306,283691.6095095663,51921177.14403589,6.753802050434867
37063000700,45350.0,74432,20608,NaN,NaN,NaN,NaN,NaN,NaN,46278.469393017374,75955.87726264761,21029.91614666598,,,,,,,387845.13,5000.0,1100000.0,325000.0,189684.62,43826500.0,113.0,395785.6444969315,5102.367077510185,1122520.7570522407,331653.86003816203,44723778.144500025,7.166482910694597
37063000900,25986.0,31892,24420,NaN,NaN,NaN,25729,NaN,32708,26518.022175235932,32544.93816719096,24919.960806559742,,,,26255.76050745191,,33377.644474240624,158606.38,25000.0,1095000.0,105500.0,138858.94,14909000.0,94.0,161853.59431901397,25511.835387550924,1117418.3899747306,107659.9453354649,15214238.151719868,4.059878396059417
37063001001,30938.0,30926,26274,NaN,NaN,NaN,66136,NaN,47625,31571.40652880202,31559.160847815994,26811.91851890052,,,,67490.02980764271,,48600.04641328451,124292.13,10500.0,800000.0,92500.0,117709.34,22124000.0,178.0,126836.8144211232,10714.970862771388,816378.7324016296,94393.79093393842,22576953.844567064,2.989850669080096
37063001002,28810.0,31622,20225,NaN,NaN,NaN,47893,NaN,33545,29399.839100613684,32269.410345005414,20639.074828528697,,,,48873.53328863905,,34231.78072301583,102616.0,26000.0,675000.0,87000.0,73215.38,12827000.0,125.0,104716.90000515702,26532.30880305296,688819.555463875,88781.18714867721,13089612.500644628,3.019784796945505
37063001100,20519.0,37159,18396,NaN,NaN,NaN,NaN,NaN,35682,20939.094012686295,37919.77164664019,18772.628951575472,,,,,,36412.532411943685,222465.28,32500.0,1250000.0,140750.0,179992.69,16017500.0,72.0,227019.904112217,33165.3860038162,1275591.7693775462,143631.6332319117,16345432.932803877,6.859496076806862
37063001301,23587.0,21563,24185,NaN,NaN,NaN,NaN,NaN,NaN,24069.906451446546,22004.468258470424,24680.149553916763,,,,,,,151559.7,10000.0,1095000.0,85000.0,220371.91,10154500.0,67.0,154662.6447114641,10204.73415502037,1117418.3899747306,86740.24031767315,10362397.297715435,3.6036799932166024
37063001303,26603.0,54063,22364,NaN,NaN,NaN,NaN,NaN,NaN,27147.65427260069,55169.85426228662,22821.867464287556,,,,,,,131968.25,500.0,838000.0,87500.0,168072.71,8314000.0,63.0,134670.0908153267,510.23670775101846,855156.722190707,89291.42385642823,8484215.976483935,3.289102732774499
37063001304,21229.0,18516,21194,NaN,NaN,NaN,NaN,NaN,77375,21663.630137692744,18895.085761435716,21627.913568150172,,,,,,78959.1305244701,143134.15,11000.0,838000.0,85000.0,202370.36,5868500.0,41.0,146064.59492548087,11225.207570522407,855156.722190707,86740.24031767315,5988648.238873704,4.003956851476754
37063001400,21267.0,NaN,19962,NaN,NaN,NaN,NaN,NaN,NaN,21702.40812748182,,20370.690320251662,,,,,,,63681.03,1000.0,136000.0,58500.0,31309.67,3693500.0,58.0,64984.79818678768,1020.4734155020369,138784.38450827703,59697.69480686916,3769118.5601567733,2.7507405840033856
37063001501,10536.0,10000,NaN,NaN,NaN,NaN,NaN,NaN,11250,10751.707905729461,10204.73415502037,,,,,,,11480.325924397916,,,,,,,,,,,,,
37063001502,24884.0,27000,20426,NaN,26771,NaN,16181,NaN,27361,25393.460471352686,27552.782218555,20844.189985044606,,27319.09380640503,,16512.28033623846,,27921.173121551234,130600.0,56000.0,225000.0,135000.0,52468.4,1306000.0,10.0,133273.82806456604,57146.51126811407,229606.51848795832,137763.911092775,1332738.2806456604,5.425172801800354
37063001503,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,
37063001601,78134.0,79170,76477,NaN,NaN,NaN,77188,NaN,82071,79733.66984683616,80790.88030529626,78042.74539734928,,,,78768.30199577122,,83751.27368366768,205545.0,18000.0,800000.0,182000.0,108321.27,57758145.0,281.0,209753.20818936618,18368.521479036666,816378.7324016296,185726.16162137073,58940651.5012119,2.3293316609926538
37063001603,71458.0,79432,57952,NaN,NaN,NaN,NaN,NaN,NaN,72920.98932494456,81058.2443401578,59138.47537517404,,,,,,,214350.0,15500.0,519000.0,201500.0,79992.27,55731000.0,260.0,218738.47661286162,15817.337940281574,529625.7026455572,205625.39322366045,56872003.91934402,2.81983822665062
37063001604,92465.0,86949,130982,NaN,NaN,NaN,NaN,NaN,NaN,94358.07436439584,88729.14300448661,133663.64890928782,,,,,,,232635.8,500.0,490000.0,232500.0,72938.13,56530500.0,243.0,237398.64939404876,510.23670775101846,500031.97359599813,237260.0691042236,57687872.4150379,2.514464932677229
37063001705,57883.0,52313,58983,NaN,121165,NaN,NaN,NaN,41639,59068.062709504404,53384.02578515806,60190.58346655664,,123645.66138930431,,,,42491.492548089314,203866.93,1500.0,780000.0,163000.0,150196.36,38530850.0,189.0,208040.7823650147,1530.7101232530554,795969.2640915888,166337.16672683202,39319708.10169666,2.816025430610024
37063001706,45283.0,54346,39895,NaN,27208,NaN,NaN,NaN,35694,46210.09767417874,55458.6482388737,40711.78691145377,,27765.04068897942,,,,36424.77809292971,277525.97,72000.0,500000.0,263000.0,97763.74,21369500.0,77.0,283207.87449641584,73474.08591614667,510236.70775101846,268384.5082770357,21807006.65257078,5.807919086632952
37063001707,66915.0,68803,76384,NaN,105568,NaN,NaN,50740,NaN,68284.9785983188,70211.63240678665,77947.84136970759,,107729.33752771904,,,51778.821102573354,,339115.25,34500.0,2375000.0,258000.0,290401.97,100039000.0,295.0,346058.09741632716,35206.33283482028,2423624.3618173376,263282.14119952556,102087140.01340827,3.855637749383546
37063001708,55563.0,NaN,59476,NaN,78125,NaN,76655,NaN,63125,56700.56438553968,,60693.67686039915,,79724.48558609663,,78224.38966530864,,64417.384353566085,156735.71,5000.0,232000.0,165250.0,45207.21,21943000.0,140.0,159944.62531483677,5102.367077510185,236749.83239647257,168633.2319117116,22392248.156361196,2.974101470402966
37063001709,26636.0,22358,28015,NaN,NaN,NaN,45292,NaN,NaN,27181.329895312258,22815.744623794544,28588.562735289564,,,,46219.28193491826,,,104017.22,1600.0,675000.0,86500.0,80069.95,11233860.0,108.0,106146.80776442679,1632.7574648032592,688819.555463875,88270.9504409262,11463855.483471712,3.247484607298393
37063001710,45106.0,51292,37500,NaN,84932,NaN,31548,48750,40088,46029.473879634876,52342.12242793048,38267.75308132639,,86670.848125419,,32193.89531225826,49748.0790057243,40908.73828064566,167601.56,25000.0,631000.0,170000.0,58068.39,21453000.0,128.0,171032.9363766696,25511.835387550924,643918.7251817853,173480.4806353463,21892216.1827652,3.7688999246220014
37063001711,36565.0,40781,36027,NaN,NaN,NaN,27083,35893,31766,37313.61043783198,41615.92635758857,36764.59574029189,,,,27637.481512041668,36627.852302614614,32416.358516837707,171777.14,90000.0,800000.0,146000.0,128234.26,4809760.0,28.0,175294.00476097158,91842.60739518332,816378.7324016296,148989.11866329738,4908232.214945077,3.9928893750854644
37063001801,59271.0,54331,61920,NaN,NaN,NaN,78649,NaN,60408,60484.47981022123,55443.34113764117,63187.71388788613,,,,80259.21365581971,,61644.75808364705,142903.58,2000.0,350000.0,142000.0,51835.19,43871400.0,307.0,145829.30437006857,2040.9468310040738,357165.6954257129,144907.22500128925,44769597.40085606,2.395775337011355
37063001802,41784.0,40347,47667,NaN,NaN,NaN,70476,NaN,40962,42639.46119333711,41173.04089526069,48642.90629673559,,,,71918.88443092156,,41800.63204579444,127500.6,10000.0,1053000.0,112000.0,132325.34,22057604.0,173.0,130110.97276055902,10204.73415502037,1074558.506523645,114293.02253622813,22509198.49167139,2.6804518475971664
37063001806,59272.0,50294,68587,NaN,NaN,NaN,NaN,NaN,58804,60485.500283636735,51323.68995925945,69991.2101490382,,,,,,60007.91872518178,189142.23,5000.0,816000.0,185000.0,77525.01,64497500.0,341.0,193014.61746377187,5102.367077510185,832706.3070496621,188787.58186787684,65817984.11634263,3.121203941152652
37063001807,58116.0,51992,63299,NaN,47171,NaN,NaN,78144,31789,59305.83301531638,53056.453818781905,64594.94672786344,,48136.751482646585,,,79743.87458099118,32439.82940539425,163091.78,500.0,355000.0,162500.0,44231.8,59691590.0,366.0,166430.8257769068,510.23670775101846,362268.06250322313,165826.93001908102,60913680.724047236,2.7961318741826693
37063001808,90238.0,87805,104815,NaN,66538,NaN,60446,NaN,61955,92085.48006807281,89602.66824815636,106960.921045846,,67900.26012067453,,61683.536073436124,,63223.4304574287,295359.75,5500.0,2075000.0,275500.0,147224.11,307469500.0,1041.0,301406.77288432774,5612.6037852612035,2117482.3371667266,281140.42597081116,313764450.82770354,3.0530375229947473
37063001809,61075.0,65805,53173,NaN,50781,NaN,NaN,NaN,47463,62325.41385178691,67152.25310711154,54261.632922489815,,51820.66051260894,,,,48434.729719973184,227921.21,40000.0,1300000.0,215000.0,159121.73,37607000.0,165.0,232587.535634057,40818.93662008148,1326615.4401526481,219401.78433293794,38376943.73678511,3.520261972984036
37063001900,71172.0,76094,54750,NaN,NaN,NaN,NaN,NaN,77344,72629.13392811097,77651.904079212,55870.919498736526,,,,,,78927.49584858955,359770.93,62000.0,665000.0,359000.0,101057.41,245004000.0,681.0,367136.66973544424,63269.351761126294,678614.8213088546,366349.95616523124,250020068.69166106,5.044118473557017
37063002007,80773.0,90564,71316,NaN,NaN,NaN,NaN,67000,55417,82426.69919034603,92418.15440152648,72776.08209994326,,,,,68371.71883863647,56551.57526687638,269384.94,1000.0,1100000.0,245000.0,150829.57,48489290.0,180.0,274900.1698066113,1020.4734155020369,1122520.7570522407,250015.98679799907,49482031.38156877,3.0331917843833955
37063002008,141875.0,159141,104375,NaN,NaN,NaN,NaN,NaN,NaN,144779.66582435148,162399.15981640966,106511.91274302511,,,,,,,532262.77,110000.0,1650000.0,453000.0,285725.42,72920000.0,137.0,543160.0068464752,112252.07570522407,1683781.1355783609,462274.45722242276,74412921.45840853,3.19295154185022
37063002009,35553.0,54938,35389,NaN,NaN,NaN,63646,NaN,61250,36280.89134134392,56062.76850085091,36113.53370120159,,,,64949.051003042645,,62503.99669949977,105328.1,10000.0,800000.0,98750.0,73227.0,13692653.0,130.0,107484.52595534011,10204.73415502037,816378.7324016296,100771.74978082615,13972988.374194212,2.777543385930864
