id,grprchi12,grprchi16
37063000101,37.9,30.8
37063000102,37.4,36.1
37063000200,37.8,28.0
37063000301,28.1,30.1
37063000302,35.7,27.4
37063000401,38.6,29.9
37063000402,30.4,33.8
37063000500,35.8,43.2
37063000600,34.3,33.0
37063000700,33.4,26.8
37063000900,39.0,43.0
37063001001,40.2,30.6
37063001002,35.9,34.5
37063001100,30.5,28.8
37063001301,46.4,33.7
37063001303,29.8,33.4
37063001304,31.6,32.4
37063001400,29.9,29.5
37063001501,47.9,50.0
37063001502,28.6,32.5
37063001503,NaN,NaN
37063001601,43.3,26.8
37063001603,43.4,20.9
37063001604,46.7,25.8
37063001705,29.8,30.1
37063001706,27.0,24.4
37063001707,29.4,28.2
37063001708,29.6,27.7
37063001709,35.3,38.9
37063001710,40.7,34.0
37063001711,27.2,30.6
37063001801,35.1,28.6
37063001802,37.9,34.1
37063001806,34.8,50.0
37063001807,28.3,29.8
37063001808,19.4,23.3
37063001809,29.4,26.3
37063001900,14.7,23.7
37063002007,25.8,19.5
37063002008,22.8,40.0
37063002009,35.4,34.7
37063002013,33.5,26.6
37063002015,31.8,29.8
37063002016,27.5,30.3
37063002017,39.1,37.6
37063002018,31.9,28.1
37063002019,28.6,22.3
37063002020,50.0,29.4
37063002021,34.7,23.9
37063002022,31.0,23.3
37063002023,22.3,22.4
37063002024,23.5,24.3
37063002025,37.6,27.3
37063002026,33.8,34.1
37063002027,27.4,29.2
37063002028,20.7,22.3
37063002100,30.9,37.8
37063002200,25.9,23.1
37063002300,38.8,33.8
37063980100,NaN,NaN
