id,pop_16,ptwhnl_16,ptblknl_16,ptnanl_16,ptasnl_16,ptpanl_16,ptothnl_16,pt2mnl_16,ptlat_16
370630001011,1165,57.43,27.30,0.00,0.00,0.00,0.00,7.30,7.98
370630001012,1861,12.68,62.55,0.00,0.00,0.00,0.00,0.59,24.18
370630001021,2918,33.38,36.60,0.00,0.51,0.00,0.00,0.00,29.51
370630001022,1588,53.46,20.78,0.00,2.39,0.00,0.00,5.10,18.26
370630002001,1219,27.40,31.50,1.07,0.00,0.00,0.00,0.90,39.13
370630002002,903,43.08,43.08,0.00,0.00,0.00,0.00,0.11,13.73
370630002003,1117,60.61,12.89,0.00,1.52,0.00,0.00,0.00,24.98
370630003011,995,29.75,33.47,0.00,7.24,0.00,0.00,1.21,28.34
370630003012,714,28.43,52.24,0.00,2.52,0.00,0.00,0.56,16.25
370630003013,869,64.67,11.51,0.00,3.22,0.00,0.00,0.00,20.60
370630003021,849,75.38,13.07,0.00,6.83,0.00,0.00,0.00,4.71
370630003022,1206,58.21,18.08,0.00,0.00,0.00,0.00,5.64,18.08
370630003023,1538,58.19,7.54,0.00,5.72,0.00,0.00,2.93,25.62
370630004011,789,87.71,1.01,0.00,0.00,0.00,0.00,1.14,10.14
370630004012,1189,86.38,0.76,0.00,3.45,0.00,0.00,1.26,8.16
370630004013,1057,86.28,3.22,0.00,5.68,0.00,0.00,0.00,4.82
370630004021,2054,75.02,3.99,0.00,9.25,0.00,1.07,2.63,8.03
370630005001,924,58.66,26.41,0.43,9.63,0.00,0.00,3.79,1.08
370630005002,616,54.06,23.38,0.00,17.21,0.00,0.00,3.57,1.79
370630005003,1039,18.09,63.52,0.00,12.61,0.00,0.00,3.18,2.60
370630005004,1191,13.69,64.90,0.00,0.00,0.00,0.00,0.00,21.41
370630006001,2989,39.55,38.11,0.00,5.29,0.00,0.00,7.83,9.23
370630006002,2406,38.03,39.11,0.00,6.86,0.00,0.00,0.58,15.42
370630006003,622,90.35,4.18,0.00,2.41,0.00,0.00,3.06,0.00
370630007001,909,66.12,26.62,0.00,2.75,0.00,0.00,0.99,3.52
370630007002,1475,52.41,39.59,0.00,0.95,0.00,1.56,3.25,2.24
370630007003,1347,45.58,38.16,0.00,5.20,0.00,0.00,1.34,9.73
370630009001,845,6.51,46.15,0.00,0.00,0.00,0.00,0.00,47.34
370630009002,1154,3.38,80.50,0.00,0.00,0.00,0.00,1.91,14.21
370630010011,1296,10.57,53.70,9.26,0.00,0.00,0.00,2.16,24.31
370630010012,1175,6.21,66.98,1.02,0.00,0.00,0.00,4.60,21.19
370630010013,1906,10.23,50.05,10.07,0.00,0.00,0.00,0.05,29.59
370630010021,2654,2.60,33.87,0.00,0.00,0.00,0.00,1.96,61.57
370630010022,898,3.01,83.63,0.00,0.00,0.00,0.00,0.00,13.36
370630010023,641,0.47,61.78,0.00,0.00,0.00,0.00,0.00,37.75
370630010024,1583,10.55,28.43,1.83,0.00,0.00,0.00,2.21,56.98
370630011001,2321,12.80,59.11,0.69,0.00,0.00,0.00,0.39,27.01
370630011002,1296,5.48,76.47,0.00,0.00,0.00,0.00,0.31,17.75
370630013011,1408,4.12,79.76,0.00,0.36,0.00,0.00,3.20,12.57
370630013031,3122,7.14,76.23,0.19,3.01,0.00,0.00,2.85,10.57
370630013032,469,8.74,91.26,0.00,0.00,0.00,0.00,0.00,0.00
370630013041,3006,3.09,83.13,0.00,0.00,0.00,0.00,5.69,8.08
370630014001,626,0.00,66.29,0.00,0.00,0.00,0.00,4.47,29.23
370630014002,1916,1.72,81.78,0.00,0.00,0.00,0.00,9.55,6.94
370630015011,2911,44.90,22.88,0.00,22.12,0.34,0.00,2.44,7.32
370630015021,2827,16.24,33.00,0.00,8.74,0.00,0.00,1.88,40.15
370630015022,947,57.97,0.00,0.00,26.29,0.00,1.16,1.69,12.88
370630015023,2129,15.45,33.11,1.83,39.55,0.94,0.00,4.84,4.27
370630015024,389,26.48,67.35,6.17,0.00,0.00,0.00,0.00,0.00
370630015031,1642,39.89,28.68,0.49,19.98,0.00,0.30,1.95,8.71
370630016011,1407,63.90,20.90,0.00,8.81,0.00,0.00,2.77,3.62
370630016012,3190,46.74,33.13,0.00,0.72,0.00,0.00,2.57,16.83
370630016013,1517,59.39,20.70,0.00,0.00,0.00,0.00,0.00,19.91
370630016031,751,79.89,12.78,0.00,0.00,0.00,0.00,0.00,7.32
370630016032,2885,52.76,26.48,0.00,7.07,0.00,1.56,2.08,10.05
370630016033,1210,78.93,15.87,0.00,0.00,0.00,0.00,5.21,0.00
370630016034,1431,93.64,4.12,0.00,0.00,0.00,0.00,0.00,2.24
370630016041,1882,83.79,9.09,0.53,0.69,0.00,2.12,2.44,1.33
370630016042,2647,87.87,7.93,0.00,0.53,0.00,0.00,0.83,2.83
370630016043,2070,62.95,28.21,0.00,3.04,0.00,0.00,3.91,1.88
370630017051,1747,41.90,38.87,0.00,0.00,0.00,0.00,0.40,18.83
370630017052,2084,66.03,21.21,0.00,6.05,0.00,0.00,0.00,6.72
370630017053,1371,47.05,29.69,0.00,0.00,0.00,0.00,0.07,23.19
370630017061,3313,47.66,32.30,0.00,10.20,0.00,0.00,1.39,8.45
370630017062,1720,52.96,29.30,0.00,14.24,0.00,0.00,2.27,1.22
370630017071,1159,71.27,4.92,0.00,2.93,0.00,0.00,1.12,19.76
370630017072,1862,67.19,9.45,0.00,10.79,0.00,0.00,8.75,3.81
370630017073,438,96.80,0.00,0.00,3.20,0.00,0.00,0.00,0.00
370630017074,1994,82.60,2.36,0.00,2.66,0.00,0.00,3.06,9.33
370630017075,1589,85.27,7.17,0.00,4.85,0.00,0.00,0.00,2.71
370630017081,5260,8.65,71.73,0.00,1.31,0.00,0.25,1.62,16.44
