id,pop_13,pop_14,ptwhnl_13,ptwhnl_14,ptblknl_13,ptblknl_14,ptasnl_13,ptasnl_14,ptothnl_13,ptothnl_14,ptlat_13,ptlat_14
370630001011,1261,1261,43.3,43.3,30.1,30.1,1.4,1.4,1.9,1.9,23.3,23.3
370630001012,1891,1891,15.5,15.5,65.6,65.6,1,1,2.6,2.6,15.2,15.2
370630001021,2585,2585,25,25,34.7,34.7,0.8,0.8,2.4,2.4,37,37
370630001022,1950,1950,45.1,45.1,33.3,33.3,2.3,2.3,2.1,2.1,17.2,17.2
370630002001,861,861,34,34,49.1,49.1,0.2,0.2,3.1,3.1,13.5,13.5
370630002002,1111,1111,23,23,46.5,46.5,1,1,2.5,2.5,27,27
370630002003,974,974,61.6,61.6,17.8,17.8,1,1,2.3,2.3,17.4,17.4
370630003011,1019,1019,26.5,26.5,48.2,48.2,1.7,1.7,3.4,3.4,20.2,20.2
370630003012,728,728,25.5,25.5,46.3,46.3,1.9,1.9,1.9,1.9,24.3,24.3
370630003013,757,757,58,58,16.6,16.6,3,3,4.4,4.4,18,18
370630003021,779,779,77.7,77.7,10,10,2.3,2.3,3,3,7.1,7.1
370630003022,1114,1114,50.4,50.4,15.6,15.6,2.4,2.4,2.3,2.3,29.2,29.2
370630003023,1533,1533,58.1,58.1,15.9,15.9,2.6,2.6,3.1,3.1,20.4,20.4
370630004011,898,898,70,70,13.6,13.6,1.8,1.8,3.3,3.3,11.2,11.2
370630004012,931,931,84.7,84.7,4.2,4.2,4.2,4.2,2.3,2.3,4.6,4.6
370630004013,694,694,80,80,6.5,6.5,4,4,2.6,2.6,6.9,6.9
370630004021,1963,1963,69.4,69.4,7.6,7.6,5.2,5.2,2.5,2.5,15.2,15.2
370630005001,1155,1155,48.4,48.4,22.9,22.9,20,20,1.8,1.8,6.9,6.9
370630005002,584,584,50.9,50.9,31.2,31.2,2.2,2.2,3.8,3.8,12,12
370630005003,1289,1289,7.8,7.8,49.7,49.7,2.4,2.4,1.7,1.7,38.4,38.4
370630005004,1065,1065,6.4,6.4,71,71,0.2,0.2,3.2,3.2,19.2,19.2
370630006001,2431,2431,41.8,41.8,35.3,35.3,1.9,1.9,3.4,3.4,17.7,17.7
370630006002,2228,2228,34.4,34.4,17.5,17.5,3.4,3.4,1.3,1.3,43.3,43.3
370630006003,518,518,84.9,84.9,7.5,7.5,3.5,3.5,1.2,1.2,2.9,2.9
370630007001,718,718,51.8,51.8,38.3,38.3,1.5,1.5,2.4,2.4,6,6
370630007002,1030,1030,72.6,72.6,18.3,18.3,1.8,1.8,2.8,2.8,4.4,4.4
370630007003,1082,1082,47.6,47.6,43.9,43.9,1.6,1.6,2.7,2.7,4.3,4.3
370630009001,801,801,4.5,4.5,52.3,52.3,0,0,1.7,1.7,41.4,41.4
370630009002,867,867,3,3,79.6,79.6,1,1,2.1,2.1,14.3,14.3
370630010011,878,878,9.3,9.3,67.5,67.5,0,0,1.8,1.8,21.3,21.3
370630010012,1299,1299,8.7,8.7,61,61,0.2,0.2,1.5,1.5,28.7,28.7
370630010013,1289,1289,7.4,7.4,68.8,68.8,0,0,1.8,1.8,22,22
370630010021,3045,3045,4.4,4.4,52.5,52.5,0.6,0.6,1.7,1.7,40.8,40.8
370630010022,787,787,9.8,9.8,61.2,61.2,0,0,1.4,1.4,27.6,27.6
370630010023,846,846,9,9,50.6,50.6,0,0,1.5,1.5,38.9,38.9
370630010024,1296,1296,6.7,6.7,37.4,37.4,0.2,0.2,1.2,1.2,54.5,54.5
370630011001,1947,1947,7.1,7.1,61.6,61.6,0.2,0.2,1.7,1.7,29.4,29.4
370630011002,1278,1278,6.7,6.7,71.6,71.6,0,0,2,2,19.6,19.6
370630013011,1128,1128,2.3,2.3,88.3,88.3,0.3,0.3,2,2,7.1,7.1
370630013031,3121,3121,2.1,2.1,92.8,92.8,0,0,2.1,2.1,3,3
370630013032,555,555,0.2,0.2,93.5,93.5,0.2,0.2,4,4,2.2,2.2
370630013041,2557,2557,1.5,1.5,84.4,84.4,0.1,0.1,2.2,2.2,11.8,11.8
370630014001,984,984,0.5,0.5,94.9,94.9,0,0,1.2,1.2,3.4,3.4
370630014002,1625,1625,1.7,1.7,85.2,85.2,0.1,0.1,2.3,2.3,10.7,10.7
370630015011,3070,3070,49.7,49.7,11.6,11.6,31.3,31.3,1.3,1.3,6.1,6.1
370630015021,2391,2391,9.7,9.7,39.7,39.7,1.9,1.9,1.2,1.2,47.5,47.5
370630015022,1024,1024,63.6,63.6,2.3,2.3,23.3,23.3,2.9,2.9,7.8,7.8
370630015023,2117,2117,20.5,20.5,32.3,32.3,26.8,26.8,2.4,2.4,18,18
370630015024,454,454,7.3,7.3,71.8,71.8,4.4,4.4,2.2,2.2,14.3,14.3
370630015031,1941,1941,53.8,53.8,12.4,12.4,22.8,22.8,2,2,9,9
370630016011,1124,1124,72.4,72.4,17.2,17.2,2.6,2.6,2.4,2.4,5.4,5.4
370630016012,2984,2984,55.1,55.1,35.3,35.3,3,3,2.2,2.2,4.4,4.4
370630016013,1698,1698,67.9,67.9,21.2,21.2,1.6,1.6,2.2,2.2,7.1,7.1
