geoid00,gr,mgr,agr,agr_mir,agr_us,b_gr,gr_phi99,mgr_phi99,ah_gr_phi99,ui_gr_phi99,hi_gr_phi99,igr,crgr00
370630001011,167,712,110100,110100,110100,167,167,25.5,167,167,167,167,167
370630001012,281,561,139000,139000,139000,281,281,21.8,281,281,281,281,281
370630001021,1098,650,737000,737000,737000,1098,1098,23.7,1098,1098,1098,1098,1098
370630002001,240,579,145600,145600,145600,240,240,27.2,240,240,240,240,240
370630002002,336,550,206900,206900,206900,336,336,25.3,336,336,336,336,336
370630002003,193,614,125600,125600,125600,193,193,28.2,193,193,193,193,193
370630003011,372,537,203900,203900,203900,372,372,25.4,372,372,372,372,372
370630003012,210,559,113300,113300,113300,210,210,22.1,210,210,210,210,210
370630003013,227,517,140500,140500,140500,227,227,25.0,227,227,227,227,227
370630003021,62,857,51600,51600,51600,62,62,27.9,62,62,62,62,62
370630003022,354,633,233200,233200,233200,354,354,31.4,354,354,354,354,354
370630003023,578,553,346600,346600,346600,578,578,30.7,578,578,578,578,578
370630004011,108,879,83500,83500,83500,108,108,41.3,108,108,108,108,108
370630004012,133,758,84500,84500,84500,133,133,27.2,133,133,133,133,133
370630004013,142,557,84200,84200,84200,142,142,21.8,142,142,142,142,142
370630004021,507,545,311600,311600,311600,507,507,29.6,507,507,507,507,507
370630005001,455,624,240200,240200,240200,455,455,50.0+,455,455,455,455,455
370630005002,272,524,152800,152800,152800,272,272,27.0,272,272,272,272,272
370630005003,435,476,203400,203400,203400,435,435,25.8,435,435,435,435,435
370630005004,358,557,184800,184800,184800,358,358,26.8,358,358,358,358,358
370630006001,610,665,416800,416800,416800,610,610,25.7,610,610,610,610,610
370630006002,640,587,388500,388500,388500,640,640,24.8,640,640,640,640,640
370630007001,350,256,117200,117200,117200,350,350,28.7,350,350,350,350,350
370630007002,122,728,84900,84900,84900,122,122,32.5,122,122,122,122,122
370630007003,147,607,94400,94400,94400,147,147,24.6,147,147,147,147,147
370630008011,21,1375,28900,28900,28900,21,21,22.5,21,21,21,21,21
370630008021,275,507,155100,155100,155100,275,275,23.5,275,275,275,275,275
370630009001,246,485,120300,120300,120300,246,246,25.4,246,246,246,246,246
370630009002,312,486,146100,146100,146100,312,312,29.9,312,312,312,312,312
370630010011,267,536,149400,149400,149400,267,267,33.1,267,267,267,267,267
370630010012,616,372,262100,262100,262100,616,616,34.0,616,616,616,616,616
370630010013,287,458,125400,125400,125400,287,287,27.5,287,287,287,287,287
370630010021,712,549,362400,362400,362400,712,712,27.1,712,712,712,712,712
370630010022,177,475,92000,92000,92000,177,177,23.5,177,177,177,177,177
370630010023,214,497,105200,105200,105200,214,214,17.9,214,214,214,214,214
370630010024,351,519,188000,188000,188000,351,351,24.6,351,351,351,351,351
370630011001,663,430,286600,286600,286600,663,663,27.9,663,663,663,663,663
370630011002,420,463,179700,179700,179700,420,420,30.0,420,420,420,420,420
370630012011,330,557,172200,172200,172200,330,330,33.2,330,330,330,330,330
370630012021,269,149,72200,72200,72200,269,269,18.5,269,269,269,269,269
370630013011,252,521,138500,138500,138500,252,252,37.3,252,252,252,252,252
370630013012,142,496,70600,70600,70600,142,142,47.2,142,142,142,142,142
370630013031,222,519,113600,113600,113600,222,222,27.8,222,222,222,222,222
370630013032,117,613,76000,76000,76000,117,117,21.6,117,117,117,117,117
370630013041,806,452,336400,336400,336400,806,806,27.1,806,806,806,806,806
370630014001,400,317,141800,141800,141800,400,400,23.3,400,400,400,400,400
370630014002,574,324,195400,195400,195400,574,574,25.3,574,574,574,574,574
370630015011,152,440,65400,65400,65400,152,152,50.0+,152,152,152,152,152
