id,meansp9800,meansp9800a17,minsp9800,minsp9800a17,maxsp9800,maxsp9800a17,mediansp9800,mediansp9800a17,totsp9800,totsp9800a17,nums9800,mhi99,mhi99a17,pir9800,mgr_phi99,mmoc_phi99,pop00,ptwhnl00,ptblknl00,ptnanl00,ptasnl00,ptpanl00,ptothnl00,pt2mnl00,ptlat00,mean_sfno2001,tot_sfno2001,num_sfno2001,mean_sfoo2001,tot_sfoo2001,num_sfoo2001,prc_sfno2001
370630015021,63800.00,93516.62,45000.00,65960.00,81000.00,118728.00,65000.00,95275.56,319000.00,467583.11,5.00,23582.00,34565.97,2.76,28.60,32.50,3366,23.41,42.25,0.30,6.95,0.00,0.27,2.53,24.30,57271.00,458168.00,8.00,67991.38,3807517.00,56.00,12.50
370630003012,72178.57,105797.74,10000.00,14657.78,235000.00,344457.78,74500.00,109200.44,3031500.00,4443505.33,42.00,30592.00,44841.07,2.44,22.10,16.60,735,12.79,62.18,0.00,0.00,0.00,0.00,0.00,25.03,61152.13,1895716.00,31.00,87447.70,6383682.00,73.00,29.81
370630013011,57728.00,84616.42,500.00,732.89,112000.00,164167.11,65000.00,95275.56,1212288.00,1776944.81,21.00,21419.00,31395.49,3.03,37.30,16.70,862,1.51,98.49,0.00,0.00,0.00,0.00,0.00,0.00,55766.56,1394164.00,25.00,69002.64,8142311.00,118.00,17.48
370630002003,118702.65,173991.71,45000.00,65960.00,240000.00,351786.67,113250.00,165999.33,7359564.00,10787485.37,62.00,40208.00,58935.99,2.82,28.20,15.00,939,52.18,26.41,0.00,5.00,0.00,0.00,0.00,16.40,88912.33,533474.00,6.00,121290.93,28018204.00,231.00,2.53
370630011001,41103.51,60248.61,300.00,439.73,192000.00,281429.33,35000.00,51302.22,2342900.00,3434170.76,57.00,16328.00,23933.22,2.14,27.90,10.00,2133,5.81,66.81,0.00,2.67,0.00,0.00,0.00,24.71,44186.56,1900022.00,43.00,55505.27,3441327.00,62.00,40.95
370630017053,108757.81,159414.78,36500.00,53500.89,200000.00,293155.56,102000.00,149509.33,6960500.00,10202546.22,64.00,38854.00,56951.33,2.63,21.60,20.70,887,54.00,39.57,0.00,0.45,0.00,0.00,0.00,5.97,91712.25,1834245.00,20.00,105574.04,27554824.00,261.00,7.12
370630005003,40907.41,59961.17,1000.00,1465.78,138000.00,202277.33,35000.00,51302.22,1104500.00,1618951.56,27.00,23343.00,34215.65,1.50,25.80,20.60,1080,2.41,75.83,0.83,0.00,0.00,0.74,1.94,18.24,47073.36,517807.00,11.00,63041.37,3215110.00,51.00,17.74
370630010022,72701.45,106564.17,25000.00,36644.44,150000.00,219866.67,80000.00,117262.22,2108342.00,3090360.85,29.00,29327.00,42986.86,2.73,23.50,13.00,825,21.94,72.00,0.00,0.00,0.00,0.00,0.00,6.06,60142.00,120284.00,2.00,77772.26,8866038.00,114.00,1.72
370630021001,295191.73,432685.48,27000.00,39576.00,1575000.00,2308600.00,224000.00,328334.22,39260500.00,57547168.44,133.00,77387.00,113432.14,2.89,13.80,21.50,1682,87.57,8.98,0.00,2.14,0.00,0.00,1.31,0.00,369184.00,4799392.00,13.00,371611.76,144928585.00,390.00,3.23
370630021003,170267.24,249573.94,22500.00,32980.00,395000.00,578982.22,191000.00,279963.56,9875500.00,14475288.44,58.00,60357.00,88469.95,3.16,13.60,14.50,1928,83.77,11.93,0.00,0.00,0.00,0.00,0.78,3.53,228794.60,4575892.00,20.00,215998.25,48599606.00,225.00,8.16
370630021002,156818.97,229861.76,18500.00,27116.89,380000.00,556995.56,147250.00,215835.78,9095500.00,13331981.78,58.00,57917.00,84893.45,2.54,19.10,20.00,2211,77.61,19.13,0.00,0.81,0.00,0.00,0.32,2.13,185747.54,2414718.00,13.00,239284.30,56710379.00,237.00,5.20
370630016034,208811.11,306070.68,27000.00,39576.00,466000.00,683052.44,228000.00,334197.33,28189500.00,41319542.67,135.00,62202.00,91174.31,3.67,23.60,18.50,1752,92.92,5.14,0.00,1.54,0.00,0.00,0.40,0.00,202007.77,2626101.00,13.00,221952.46,105649371.00,476.00,2.66
370630016011,172037.50,252168.74,65000.00,95275.56,332500.00,487371.11,133500.00,195681.33,6881500.00,10086749.78,40.00,52344.00,76724.67,2.55,36.40,19.70,878,78.25,15.60,0.00,0.00,0.00,0.00,0.23,5.92,128324.65,2951467.00,23.00,140167.09,31117093.00,222.00,9.39
370630016033,113375.00,166182.56,6000.00,8794.67,163000.00,238921.78,125500.00,183955.11,4988500.00,7312032.44,44.00,56083.00,82205.22,2.24,24.50,20.70,1243,87.53,7.72,0.00,3.30,0.00,0.00,0.00,1.45,117996.25,2359925.00,20.00,131839.04,50626192.00,384.00,4.95
370630015011,,,,,,,,,,,,,,,,,2981,72.63,8.02,0.30,13.82,0.00,0.00,1.95,3.29,,,,,,,
370630016043,161005.75,235998.65,20000.00,29315.56,408000.00,598037.33,140500.00,205941.78,14007500.00,20531882.22,87.00,66591.00,97607.61,2.11,24.00,16.30,1339,73.86,22.70,0.00,1.34,0.00,0.00,0.00,2.09,188529.93,2827949.00,15.00,173417.30,53759362.00,310.00,4.62
370630002002,73629.03,107923.80,7500.00,10993.33,142000.00,208140.44,76000.00,111399.11,2282500.00,3345637.78,31.00,32760.00,48018.88,2.32,25.30,17.50,1405,19.00,62.13,0.29,0.50,0.00,0.00,1.92,16.16,71936.59,1222922.00,17.00,78920.30,7418508.00,94.00,15.32
