id,meansp1314,meansp1314a17,minsp1314,minsp1314a17,maxsp1314,maxsp1314a17,mediansp1314,mediansp1314a17,totsp1314,totsp1314a17,nums1314,mhi1314,mhi1314a17,pir1314,mean_sfno100517,tot_sfno100517,num_sfno100517,mean_sfoo100517,tot_sfoo100517,num_sfoo100517,prc_sfno100517,pop13,pop14,ptwhnl13,ptwhnl14,ptblknl13,ptblknl14,ptasnl13,ptasnl14,ptothnl13,ptothnl14,ptlat13,ptlat14,meansp1517,meansp1517a17,minsp1517,minsp1517a17,maxsp1517,maxsp1517a17,mediansp1517,mediansp1517a17,totsp1517,totsp1517a17,nums1517,mhi16,mhi16a17,pir1517,mgr_phi16,mmoc_phi16,mean_sfno011818,tot_sfno011818,num_sfno011818,mean_sfoo011818,tot_sfoo011818,num_sfoo011818,prc_sfno011818,pop16,ptwhnl16,ptblknl16,ptnanl16,ptasnl16,ptpanl16,ptothnl16,pt2mnl16,ptlat16
370630001011,,,,,,,,,,,,,,,,,,,,,,1261,1261,43.30,43.30,30.10,30.10,1.40,1.40,1.90,1.90,23.30,23.30,,,,,,,,,,,,,,,,,,,,,,,,1165,57.43,27.30,0.00,0.00,0.00,0.00,7.30,7.98
370630001012,90948.72,93672.23,18000.00,18539.02,185000.00,190539.92,88500.00,91150.18,3547000.00,3653216.77,39.00,37666.00,38793.93,2.35,94385.38,2265249.00,24.00,111086.86,46989742.00,423.00,5.37,1891,1891,15.50,15.50,65.60,65.60,1.00,1.00,2.60,2.60,15.20,15.20,127050.51,129651.67,30000.00,30614.20,435000.00,443905.94,117000.00,119395.39,12578000.00,12835514.62,99.00,48458.00,49450.10,2.41,22.20,19.20,94182.83,2166205.00,23.00,111159.80,47242914.00,425.00,5.13,1861,12.68,62.55,0.00,0.00,0.00,0.00,0.59,24.18
370630001021,129565.79,133445.71,31000.00,31928.31,251000.00,258516.33,139500.00,143677.40,4923500.00,5070936.78,38.00,33448.50,34450.13,4.17,126377.45,1390152.00,11.00,145864.80,48135384.00,330.00,3.23,2585,2585,25.00,25.00,34.70,34.70,0.80,0.80,2.40,2.40,37.00,37.00,168465.91,171914.98,41000.00,41839.41,435000.00,443905.94,160000.00,163275.75,14825000.00,15128518.38,88.00,35387.00,36111.49,4.52,41.70,14.10,126377.45,1390152.00,11.00,145848.46,48129993.00,330.00,3.23,2918,33.38,36.60,0.00,0.51,0.00,0.00,0.00,29.51
370630001022,144633.44,148964.56,40000.00,41197.82,600000.00,617967.31,129000.00,132862.97,8967273.00,9235802.67,62.00,39839.50,41032.51,3.24,127027.20,3175680.00,25.00,145069.79,57302566.00,395.00,5.95,1950,1950,45.10,45.10,33.30,33.30,2.30,2.30,2.10,2.10,17.20,17.20,166182.80,169585.13,35000.00,35716.57,451000.00,460233.51,166500.00,169908.82,15455000.00,15771416.64,93.00,51956.00,53019.72,3.20,21.00,16.50,124799.79,2995195.00,24.00,144828.32,57352016.00,396.00,5.71,1588,53.46,20.78,0.00,2.39,0.00,0.00,5.10,18.26
370630002001,151568.18,156106.97,40000.00,41197.82,355000.00,365630.66,130500.00,134407.89,3334500.00,3434353.34,22.00,28024.00,28863.19,4.66,147285.20,1472852.00,10.00,196170.88,33349049.00,170.00,5.56,861,861,34.00,34.00,49.10,49.10,0.20,0.20,3.10,3.10,13.50,13.50,217621.62,222077.08,50000.00,51023.67,451000.00,460233.51,215000.00,219401.78,8052000.00,8216851.94,37.00,28375.00,28955.93,7.58,35.70,30.60,147285.20,1472852.00,10.00,194729.51,33493476.00,172.00,5.49,1219,27.40,31.50,1.07,0.00,0.00,0.00,0.90,39.13
370630002002,171088.24,176211.57,40000.00,41197.82,390000.00,401678.75,139000.00,143162.43,2908500.00,2995596.55,17.00,33571.50,34576.82,4.14,149806.00,1947478.00,13.00,208266.22,29782070.00,143.00,8.33,1111,1111,23.00,23.00,46.50,46.50,1.00,1.00,2.50,2.50,27.00,27.00,294358.49,300385.01,25000.00,25511.84,650000.00,663307.72,310000.00,316346.76,15601000.00,15920405.76,53.00,38824.00,39618.86,7.98,27.40,17.70,149806.00,1947478.00,13.00,206901.24,30000680.00,145.00,8.23,903,43.08,43.08,0.00,0.00,0.00,0.00,0.11,13.73
370630002003,285500.00,294049.45,150000.00,154491.83,474500.00,488709.15,286000.00,294564.42,8279500.00,8527433.95,29.00,47400.50,48819.93,6.03,181789.73,2726846.00,15.00,288738.00,73916927.00,256.00,5.54,974,974,61.60,61.60,17.80,17.80,1.00,1.00,2.30,2.30,17.40,17.40,346656.25,353753.49,70000.00,71433.14,600000.00,612284.05,347500.00,354614.51,16639500.00,16980167.40,48.00,56359.00,57512.86,6.17,23.80,15.90,181789.73,2726846.00,15.00,288464.95,73847026.00,256.00,5.54,1117,60.61,12.89,0.00,1.52,0.00,0.00,0.00,24.98
370630003011,84750.00,87287.88,38000.00,39137.93,150000.00,154491.83,72750.00,74928.54,847500.00,872878.83,10.00,32741.50,33721.96,2.22,105497.35,2426439.00,23.00,151766.58,17301390.00,114.00,16.79,1019,1019,26.50,26.50,48.20,48.20,1.70,1.70,3.40,3.40,20.20,20.20,177288.89,180918.60,28000.00,28573.26,633000.00,645959.67,134000.00,136743.44,7978000.00,8141336.91,45.00,26250.00,26787.43,5.10,32.20,21.80,105497.35,2426439.00,23.00,151314.75,16947252.00,112.00,17.04,995,29.75,33.47,0.00,7.24,0.00,0.00,1.21,28.34
370630003012,157117.65,161822.62,37000.00,38107.98,281000.00,289414.69,157500.00,162216.42,2671000.00,2750984.49,17.00,49137.00,50608.43,3.21,117893.20,1768398.00,15.00,174181.07,20553366.00,118.00,11.28,728,728,25.50,25.50,46.30,46.30,1.90,1.90,1.90,1.90,24.30,24.30,226229.17,230860.85,50000.00,51023.67,520000.00,530646.18,229500.00,234198.65,5429500.00,5540660.41,24.00,34250.00,34951.21,6.70,31.00,12.10,117893.20,1768398.00,15.00,174232.82,20907938.00,120.00,11.11,714,28.43,52.24,0.00,2.52,0.00,0.00,0.56,16.25
370630003013,357571.43,368279.09,155000.00,159641.56,817500.00,841980.46,205000.00,211138.83,2503000.00,2577953.64,7.00,43823.00,45135.30,4.68,212958.31,2768458.00,13.00,373561.15,38476798.00,103.00,11.21,757,757,58.00,58.00,16.60,16.60,3.00,3.00,4.40,4.40,18.00,18.00,444666.67,453770.52,200000.00,204094.68,1070000.00,1091906.55,387500.00,395433.45,8004000.00,8167869.22,18.00,52031.00,53096.25,7.45,27.00,13.30,212958.31,2768458.00,13.00,371764.95,38663555.00,104.00,11.11,869,64.67,11.51,0.00,3.22,0.00,0.00,0.00,20.60
370630003021,292134.15,300882.26,13000.00,13389.29,645000.00,664314.86,272000.00,280145.18,11977500.00,12336172.49,41.00,75859.50,78131.15,3.59,255246.57,1786726.00,7.00,321495.32,97091588.00,302.00,2.27,779,779,77.70,77.70,10.00,10.00,2.30,2.30,3.00,3.00,7.10,7.10,304233.33,310462.03,5000.00,5102.37,680000.00,693921.92,293000.00,298998.71,22817500.00,23284652.16,75.00,74554.00,76080.38,3.93,21.70,22.10,253532.25,2028258.00,8.00,321017.25,96947209.00,302.00,2.58,849,75.38,13.07,0.00,6.83,0.00,0.00,0.00,4.71
