id,meansp1314,meansp1314a17,minsp1314,minsp1314a17,maxsp1314,maxsp1314a17,mediansp1314,mediansp1314a17,stddevsp1314,stddevsp1314a17,totsp1314,totsp1314a17,nums1314,mhi1314,mhi1314a17,pir1314,mean_sfno100517,tot_sfno100517,num_sfno100517,mean_sfoo100517,tot_sfoo100517,num_sfoo100517,prc_sfno100517,pop13,pop14,ptwhnl13,ptwhnl14,ptblknl13,ptblknl14,ptasnl13,ptasnl14,ptothnl13,ptothnl14,ptlat13,ptlat14,meansp1517,meansp1517a17,minsp1517,minsp1517a17,maxsp1517,maxsp1517a17,mediansp1517,mediansp1517a17,stddevsp1517,stddevsp1517a17,totsp1517,totsp1517a17,nums1517,mhi16,mhi16a17,pir1517,mgr_phi16,mmoc_phi16,mean_sfno011818,tot_sfno011818,num_sfno011818,mean_sfoo011818,tot_sfoo011818,num_sfoo011818,prc_sfno011818,pop16,ptwhnl16,ptblknl16,ptnanl16,ptasnl16,ptpanl16,ptothnl16,pt2mnl16,ptlat16
370630001011,118040.00,121574.77,30000.00,30898.37,380000.00,391379.30,123250.00,126940.79,57635.54,59361.47,6610246.00,6808193.27,56.00,42604.00,43879.80,2.89,113320.41,2493049.00,22.00,131811.19,44156750.00,335.00,6.16,1261,1261,43.30,43.30,30.10,30.10,1.40,1.40,1.90,1.90,23.30,23.30,158945.00,162199.15,30000.00,30614.20,451000.00,460233.51,148000.00,151030.07,76303.09,77865.28,14623000.00,14922382.75,92.00,36809.00,37562.61,4.02,37.80,17.90,114821.52,2411252.00,21.00,131321.37,44255303.00,337.00,5.87,1165,57.43,27.30,0.00,0.00,0.00,0.00,7.30,7.98
370630001012,86265.00,88848.25,18000.00,18539.02,185000.00,190539.92,83000.00,85485.48,45418.04,46778.11,4054498.00,4175912.06,47.00,37666.00,38793.93,2.20,94385.38,2265249.00,24.00,111086.86,46989742.00,423.00,5.37,1891,1891,15.50,15.50,65.60,65.60,1.00,1.00,2.60,2.60,15.20,15.20,126586.00,129177.65,17000.00,17348.05,631000.00,643918.73,115000.00,117354.44,79452.78,81079.45,13165036.00,13434569.25,104.00,48458.00,49450.10,2.37,22.20,19.20,94182.83,2166205.00,23.00,111159.80,47242914.00,425.00,5.13,1861,12.68,62.55,0.00,0.00,0.00,0.00,0.59,24.18
370630001021,129565.00,133444.89,31000.00,31928.31,251000.00,258516.33,139500.00,143677.40,47521.71,48944.77,4923500.00,5070936.78,38.00,33448.50,34450.13,4.17,126377.45,1390152.00,11.00,145806.21,48261856.00,331.00,3.22,2585,2585,25.00,25.00,34.70,34.70,0.80,0.80,2.40,2.40,37.00,37.00,156743.00,159952.06,20000.00,20409.47,435000.00,443905.94,150500.00,153581.25,74020.94,75536.41,12853000.00,13116144.81,82.00,35387.00,36111.49,4.25,41.70,14.10,126377.45,1390152.00,11.00,145789.92,48256465.00,331.00,3.22,2918,33.38,36.60,0.00,0.51,0.00,0.00,0.00,29.51
370630001022,141091.00,145316.04,20000.00,20598.91,600000.00,617967.31,129000.00,132862.97,77132.48,79442.25,9312056.00,9590910.38,66.00,39839.50,41032.51,3.24,127027.20,3175680.00,25.00,145069.79,57302566.00,395.00,5.95,1950,1950,45.10,45.10,33.30,33.30,2.30,2.30,2.10,2.10,17.20,17.20,165581.00,168971.01,35000.00,35716.57,451000.00,460233.51,163500.00,166847.40,73175.01,74673.15,14240000.00,14531541.44,86.00,51956.00,53019.72,3.15,21.00,16.50,124799.79,2995195.00,24.00,144828.32,57352016.00,396.00,5.71,1588,53.46,20.78,0.00,2.39,0.00,0.00,5.10,18.26
370630002001,145413.00,149767.47,10000.00,10299.46,355000.00,365630.66,125000.00,128743.19,90705.15,93421.36,3344500.00,3444652.80,23.00,28024.00,28863.19,4.46,147285.20,1472852.00,10.00,196170.88,33349049.00,170.00,5.56,861,861,34.00,34.00,49.10,49.10,0.20,0.20,3.10,3.10,13.50,13.50,210000.00,214299.42,27000.00,27552.78,451000.00,460233.51,215000.00,219401.78,100605.04,102664.77,6930000.00,7071880.77,33.00,28375.00,28955.93,7.58,35.70,30.60,147285.20,1472852.00,10.00,194729.51,33493476.00,172.00,5.49,1219,27.40,31.50,1.07,0.00,0.00,0.00,0.90,39.13
370630002002,142874.00,147152.44,33602.00,34608.23,390000.00,401678.75,123000.00,126683.30,100400.29,103406.83,3286102.00,3384506.04,23.00,33571.50,34576.82,3.66,149806.00,1947478.00,13.00,208266.22,29782070.00,143.00,8.33,1111,1111,23.00,23.00,46.50,46.50,1.00,1.00,2.50,2.50,27.00,27.00,265333.00,270765.27,45000.00,45921.30,650000.00,663307.72,258000.00,263282.14,151649.01,154753.78,15124000.00,15433639.94,57.00,38824.00,39618.86,6.65,27.40,17.70,149806.00,1947478.00,13.00,206901.24,30000680.00,145.00,8.23,903,43.08,43.08,0.00,0.00,0.00,0.00,0.11,13.73
370630002003,264720.00,272647.18,120000.00,123593.46,474500.00,488709.15,260000.00,267785.84,96779.68,99677.80,9000500.00,9270024.67,34.00,47400.50,48819.93,5.49,181789.73,2726846.00,15.00,288738.00,73916927.00,256.00,5.54,974,974,61.60,61.60,17.80,17.80,1.00,1.00,2.30,2.30,17.40,17.40,316615.00,323097.19,60000.00,61228.40,620000.00,632693.52,312500.00,318897.94,131193.00,133878.97,16464000.00,16801074.31,52.00,56359.00,57512.86,5.54,23.80,15.90,181789.73,2726846.00,15.00,288464.95,73847026.00,256.00,5.54,1117,60.61,12.89,0.00,1.52,0.00,0.00,0.00,24.98
370630003011,79318.00,81693.22,25000.00,25748.64,150000.00,154491.83,66500.00,68491.38,41110.38,42341.46,872500.00,898627.47,11.00,32741.50,33721.96,2.03,105497.35,2426439.00,23.00,151766.58,17301390.00,114.00,16.79,1019,1019,26.50,26.50,48.20,48.20,1.70,1.70,3.40,3.40,20.20,20.20,178858.00,182519.83,28000.00,28573.26,633000.00,645959.67,124500.00,127048.94,140627.26,143506.38,6975500.00,7118312.31,39.00,26250.00,26787.43,4.74,32.20,21.80,105497.35,2426439.00,23.00,151314.75,16947252.00,112.00,17.04,995,29.75,33.47,0.00,7.24,0.00,0.00,1.21,28.34
370630003012,143000.00,147282.21,34000.00,35018.15,281000.00,289414.69,135000.00,139042.65,72279.06,74443.49,3146000.00,3240208.61,22.00,49137.00,50608.43,2.75,117893.20,1768398.00,15.00,174181.07,20553366.00,118.00,11.28,728,728,25.50,25.50,46.30,46.30,1.90,1.90,1.90,1.90,24.30,24.30,220812.00,225332.78,65500.00,66841.01,520000.00,530646.18,220750.00,225269.51,107040.61,109232.09,5299500.00,5407998.87,24.00,34250.00,34951.21,6.45,31.00,12.10,117893.20,1768398.00,15.00,174232.82,20907938.00,120.00,11.11,714,28.43,52.24,0.00,2.52,0.00,0.00,0.56,16.25
370630003013,357571.00,368278.65,155000.00,159641.56,817500.00,841980.46,205000.00,211138.83,261210.71,269032.80,2503000.00,2577953.64,7.00,43823.00,45135.30,4.68,212958.31,2768458.00,13.00,373561.15,38476798.00,103.00,11.21,757,757,58.00,58.00,16.60,16.60,3.00,3.00,4.40,4.40,18.00,18.00,405389.00,413688.70,155000.00,158173.38,1070000.00,1091906.55,323000.00,329612.91,251484.99,256633.74,7702400.00,7860094.44,19.00,52031.00,53096.25,6.21,27.00,13.30,212958.31,2768458.00,13.00,371764.95,38663555.00,104.00,11.11,869,64.67,11.51,0.00,3.22,0.00,0.00,0.00,20.60
