id,meansp9800,meansp9800a17,minsp9800,minsp9800a17,maxsp9800,maxsp9800a17,mediansp9800,mediansp9800a17,stddevsp9800,stddevsp9800a17,totsp9800,totsp9800a17,nums9800,mhi99,mhi99a17,pir9800,mgr_phi99,mmoc_phi99,pop00,ptwhnl00,ptblknl00,ptnanl00,ptasnl00,ptpanl00,ptothnl00,pt2mnl00,ptlat00,mean_sfno2001,tot_sfno2001,num_sfno2001,mean_sfoo2001,tot_sfoo2001,num_sfoo2001,prc_sfno2001
370630015021,55928.00,81978.02,33000.00,48370.67,81000.00,118728.00,53000.00,77686.22,18249.27,26749.37,391500.00,573852.00,7.00,23582.00,34565.97,2.25,28.60,32.50,3366,23.41,42.25,0.30,6.95,0.00,0.27,2.53,24.30,57271.00,458168.00,8.00,67991.38,3807517.00,56.00,12.50
370630003012,54951.00,80545.95,6500.00,9527.56,235000.00,344457.78,56000.00,82083.56,42183.80,61832.08,3407000.00,4993904.89,62.00,30592.00,44841.07,1.83,22.10,16.60,735,12.79,62.18,0.00,0.00,0.00,0.00,0.00,25.03,61152.13,1895716.00,31.00,87447.70,6383682.00,73.00,29.81
370630013011,54818.00,80351.01,500.00,732.89,112000.00,164167.11,65000.00,95275.56,28238.05,41390.71,1260832.00,1848099.53,23.00,21419.00,31395.49,3.03,37.30,16.70,862,1.51,98.49,0.00,0.00,0.00,0.00,0.00,0.00,55766.56,1394164.00,25.00,69002.64,8142311.00,118.00,17.48
370630002003,115095.00,168703.69,12000.00,17589.33,240000.00,351786.67,113000.00,165632.89,44646.05,65441.19,7941564.00,11640568.03,69.00,40208.00,58935.99,2.81,28.20,15.00,939,52.18,26.41,0.00,5.00,0.00,0.00,0.00,16.40,88912.33,533474.00,6.00,121290.93,28018204.00,231.00,2.53
370630011001,43179.00,63290.82,300.00,439.73,192000.00,281429.33,35000.00,51302.22,33820.45,49573.27,3108959.00,4557043.01,72.00,16328.00,23933.22,2.14,27.90,10.00,2133,5.81,66.81,0.00,2.67,0.00,0.00,0.00,24.71,44186.56,1900022.00,43.00,55505.27,3441327.00,62.00,40.95
370630017053,106507.00,156115.59,24000.00,35178.67,200000.00,293155.56,101000.00,148043.56,42629.26,62485.02,7349000.00,10772000.89,69.00,38854.00,56951.33,2.60,21.60,20.70,887,54.00,39.57,0.00,0.45,0.00,0.00,0.00,5.97,91712.25,1834245.00,20.00,105574.04,27554824.00,261.00,7.12
370630005003,40895.00,59942.98,1000.00,1465.78,138000.00,202277.33,37000.00,54233.78,31594.92,46311.12,981500.00,1438660.89,24.00,23343.00,34215.65,1.59,25.80,20.60,1080,2.41,75.83,0.83,0.00,0.00,0.74,1.94,18.24,47073.36,517807.00,11.00,63041.37,3215110.00,51.00,17.74
370630010022,71657.00,105033.24,25000.00,36644.44,150000.00,219866.67,77500.00,113597.78,25609.49,37537.83,2293025.00,3361065.09,32.00,29327.00,42986.86,2.64,23.50,13.00,825,21.94,72.00,0.00,0.00,0.00,0.00,0.00,6.06,60142.00,120284.00,2.00,77772.26,8866038.00,114.00,1.72
370630021001,307327.00,450473.09,12000.00,17589.33,1575000.00,2308600.00,200750.00,294254.89,331949.04,486563.53,49787000.00,72976678.22,162.00,77387.00,113432.14,2.59,13.80,21.50,1682,87.57,8.98,0.00,2.14,0.00,0.00,1.31,0.00,369184.00,4799392.00,13.00,371611.76,144928585.00,390.00,3.23
370630021003,157774.00,231261.62,18000.00,26384.00,395000.00,578982.22,176250.00,258343.33,94701.37,138811.17,9782000.00,14338238.22,62.00,60357.00,88469.95,2.92,13.60,14.50,1928,83.77,11.93,0.00,0.00,0.00,0.00,0.78,3.53,228794.60,4575892.00,20.00,215998.25,48599606.00,225.00,8.16
