id,pop70,nhwht70,pnhwht70,nhblk70,pnhblk70,asian70,pasian70,haw70,phaw70,hu70,vac70,pvac70,ohu70,pohu70,own70,pown70,rent70,prent70,mhmval70a17,mhmval70,mrent70,mrent70a17,hinc70,hinc70a17,ag25up70,hs70,phs70,col70,pcol70,clf70,unemp70,punemp70,pop80,nhwht80,pnhwht80,nhblk80,pnhblk80,ntv80,pntv80,asian80,pasian80,hisp80,phisp80,haw80,phaw80,hu80,vac80,pvac80,ohu80,pohu80,own80,pown80,rent80,prent80,mhmval80,mhmval80a17,mrent80,mrent80a17,hinc80,hinc80a17,hincw80,hincw80a17,hincb80,hincb80a17,hinch80,hinch80a17,hinca80,hinca80a17,ag25up80,hs80,phs80,col80,pcol80,clf80,unemp80,punemp80,pop90,nhwht90,pnhwht90,nhblk90,pnhblk90,ntv90,pntv90,asian90,pasian90,hisp90,phisp90,haw90,phaw90,hu90,vac90,pvac90,ohu90,pohu90,own90,pown90,rent90,prent90,mhmval90,mhmval90a17,mrent90,mrent90a17,hinc90,hinc90a17,hincw90,hincw90a17,hincb90,hincb90a17,hinch90,hinch90a17,hinca90,hinca90a17,ag25up90,hs90,phs90,col90,pcol90,clf90,unemp90,punemp90,pop00,nhwht00,pnhwht00,nhblk00,pnhblk00,ntv00,pntv00,asian00,pasian00,hisp00,phisp00,haw00,phaw00,hu00,vac00,pvac00,ohu00,pohu00,own00,pown00,rent00,prent00,mhmval00,mhmval00a17,mrent00,mrent00a17,hinc00,hinc00a17,hincw00,hincw00a17,hincb00,hincb00a17,hinch00,hinch00a17,hinca00,hinca00a17,meansp9800,minsp9800,maxsp9800,mediansp9800,totsp9800,nums9800,meansp9800a17,minsp9800a17,maxsp9800a17,mediansp9800a17,totsp9800a17,pir9800,ag25up00,hs00,phs00,col00,pcol00,clf00,unemp00,punemp00,pop10,nhwht10,pnhwht10,nhblk10,pnhblk10,ntv10,pntv10,asian10,pasian10,hisp10,phisp10,haw10,phaw10,hu10,vac10,pvac10,ohu10,pohu10,own10,pown10,rent10,prent10,mhmval12,mhmval12a17,mrent12,mrent12a17,hinc12,hinc12a17,hincw12,hincw12a17,hincb12,hincb12a17,hinch12,hinch12a17,hinca12,hinca12a17,meansp0709,minsp0709,maxsp0709,mediansp0709,totsp0709,nums0709,meansp0709a17,minsp0709a17,maxsp0709a17,mediansp0709a17,totsp0709a17,pir0712,ag25up12,hs12,phs12,col12,pcol12,clf12,unemp12,punemp12,pop16,nhwht16,pnhwht16,nhblk16,pnhblk16,ntv16,pntv16,asian16,pasian16,haw16,phaw16,oth16,poth16,twomr16,ptwomr16,hisp16,phisp16,pcnhwht0016,pcnhblk0016,pcasian0016,pchisp0016,hu16,ohu16,pohu16,vac16,pvac16,own16,pown16,rent16,prent16,mhmval16,mrent16,mhmval16a17,mrent16a17,hinc16,hinc16a17,hincw16,hincw16a17,hincb16,hincb16a17,hincn16,hincn16a17,hinca16,hinca16a17,hincp16,hincp16a17,hinco16,hinco16a17,hincm16,hincm16a17,hinch16,hinch16a17,meansp1517,minsp1517,maxsp1517,mediansp1517,totsp1517,nums1517,meansp1517a17,minsp1517a17,maxsp1517a17,mediansp1517a17,totsp1517a17,pir1517,ag25up16,colm16,colf16,col16,pcol16
37063000101,3406.13,3224.73,94.67,169.50,4.98,11.44,0.34,0.00,0.00,1220.31,26.55,2.18,1193.75,97.82,669.87,54.89,523.88,42.93,85885.38,13708.04,101.08,633.30,8885.25,55669.02,1945.07,1474.26,75.79,248.00,12.75,1709.85,52.16,3.05,3070.77,2441.78,79.52,589.17,19.19,3.20,0.10,9.61,0.31,23.80,0.78,0.00,0.00,1302.29,36.16,2.78,1266.13,97.22,711.53,54.64,554.61,42.59,31388.85,91006.97,197.00,571.16,15541.40,45059.82,19399.56,56245.92,14303.48,41470.65,,,,,2013.88,1378.68,68.46,313.06,15.54,1679.87,73.68,4.39,2881.04,1485.02,51.54,1349.02,46.82,8.00,0.28,14.00,0.49,25.00,0.87,0.00,0.00,1231.02,62.00,5.04,1169.02,94.96,695.01,56.46,474.01,38.51,57800.15,107310.34,335.00,621.95,24375.01,45254.04,24257.23,45035.37,25194.09,46774.73,17500.00,32490.07,20000.00,37131.51,1918.03,1143.01,59.59,304.01,15.85,1393.02,71.00,5.10,3151.04,1056.01,33.51,1704.02,54.08,28.00,0.89,52.00,1.65,303.01,9.62,0.00,0.00,1281.02,69.00,5.39,1212.02,94.61,749.01,58.47,463.01,36.14,82700.30,117450.26,488.00,693.05,33265.02,47242.70,36591.16,51966.46,26790.04,38046.98,41730.64,59265.50,38002.94,53971.45,,,,,,,,,,,,,1969.03,1114.01,56.58,451.01,22.91,1533.02,89.00,5.81,3152,840,26.65,1664,52.79,7,0.22,50,1.59,582,18.46,0,0.00,1309,127,9.70,1182,90.30,726,55.46,456,34.84,113400,120620.27,613,652.03,40098.00,42651.07,50457,53669.64,32500,34569.30,12470,13263.98,-999.00,-1062.61,,,,,,,,,,,,,1792,811,45.26,536,29.91,1405,245,17.44,3026,905,29.9,1482,49.0,0,0.0,0,0.0,0,0.0,0,0.0,96,3.2,543,17.9,-3.61,-5.08,-1.65,8.28,1398,1206,86.30,192,13.70,696,57.70,510,42.30,132700.00,695.00,135416.82,709.23,43790.00,44686.53,52386.00,53458.52,37127.00,37887.12,,,,,,,26343.00,26882.33,,,26500.00,27042.55,,,,,,,,,,,,,2068,161,156,317,15.33
37063000102,4038.61,3823.77,94.68,200.74,4.97,13.56,0.34,0.00,0.00,1446.93,31.47,2.17,1415.47,97.83,794.27,54.89,621.20,42.93,85883.21,13707.69,101.08,633.32,8885.13,55668.30,2306.30,1748.04,75.79,294.05,12.75,2027.44,61.85,3.05,3640.39,2895.49,79.54,697.70,19.17,3.80,0.10,11.39,0.31,28.21,0.77,0.00,0.00,1544.05,42.86,2.78,1501.19,97.22,843.64,54.64,657.55,42.59,31387.00,91001.60,197.00,571.17,15541.00,45058.65,19399.67,56246.26,14296.88,41451.51,,,,,2387.68,1634.65,68.46,371.09,15.54,1991.64,87.35,4.39,3637.00,2845.00,78.22,692.00,19.03,11.00,0.30,32.00,0.88,52.00,1.43,0.00,0.00,1957.00,90.00,4.60,1867.00,95.40,786.00,40.16,1081.00,55.24,66500.00,123462.27,359.00,666.51,27674.00,51378.87,27512.76,51079.51,32987.81,61244.35,20000.00,37131.51,42500.00,78904.46,2714.00,1270.00,46.79,687.00,25.31,2190.00,60.00,2.74,4462.00,2107.00,47.22,1417.00,31.76,26.00,0.58,55.00,1.23,852.00,19.09,0.00,0.00,2000.00,130.00,6.50,1870.00,93.50,774.00,38.70,1096.00,54.80,91000.00,129237.42,505.00,717.20,33942.00,48204.14,33162.00,47096.39,31506.00,44744.55,53214.00,75574.06,69375.00,98525.78,93169.35,22000.00,270000.00,92750.00,17329500.00,186.00,132318.31,31244.21,383451.67,131722.75,24611206.65,2.73,3066.00,1630.00,53.16,705.00,22.99,2369.00,89.00,3.76,4535,1525,33.63,1606,35.41,17,0.37,72,1.59,1293,28.51,2,0.04,1952,179,9.17,1773,90.83,672,34.43,1101,56.40,135000,143595.56,563,598.85,38400.00,40844.96,47907,50957.28,21563,22935.93,40556,43138.23,-999.00,-1062.61,119244.14,11500.00,214000.00,123000.00,7750869.00,65.00,126836.51,12232.21,227625.55,130831.51,8244373.14,3.20,2851,1386,48.61,878,30.80,2235,170,7.61,4506,1823,40.5,1398,31.0,0,0.0,53,1.2,0,0.0,0,0.0,81,1.8,1151,25.5,-6.72,-0.76,-0.03,6.41,2125,1874,88.20,251,11.80,705,37.60,1169,62.40,153900.00,735.00,157050.86,750.05,45600.00,46533.59,56250.00,57401.63,15184.00,15494.87,,,,,,,34539.00,35246.13,,,34704.00,35414.51,175640.74,35000.00,451000.00,170000.00,23711500.00,135.00,179236.71,35716.57,460233.51,173480.48,24196955.39,3.73,3149,344,313,657,20.86
37063000200,2710.96,2282.97,84.21,415.99,15.34,9.00,0.33,0.00,0.00,1099.99,71.00,6.45,1028.99,93.55,517.99,47.09,510.99,46.45,89239.73,14243.42,80.54,504.61,6974.14,43695.27,1630.98,1097.99,67.32,323.00,19.80,1319.98,47.00,3.56,2604.97,1721.98,66.10,836.99,32.13,3.00,0.12,14.00,0.54,28.00,1.07,0.00,0.00,1168.98,44.00,3.76,1124.98,96.24,539.99,46.19,584.99,50.04,31915.00,92532.46,158.00,458.10,12356.00,35824.25,15076.53,43712.00,11875.00,34429.67,,,,,1711.98,1113.99,65.07,296.00,17.29,1391.98,48.00,3.45,2801.96,1535.98,54.82,1217.98,43.47,5.00,0.18,23.00,0.82,20.00,0.71,0.00,0.00,1417.98,109.00,7.69,1308.98,92.31,532.99,37.59,775.99,54.72,72800.00,135158.69,337.00,625.67,24744.00,45939.10,30413.53,56465.02,20035.97,37198.29,17500.00,32490.07,20000.00,37131.51,1922.97,854.99,44.46,671.99,34.95,1627.98,62.00,3.81,3115.96,1039.99,33.38,1563.98,50.19,12.00,0.39,35.00,1.12,450.99,14.47,0.00,0.00,1431.98,139.00,9.71,1292.98,90.29,511.99,35.75,780.99,54.54,115900.00,164600.18,501.00,711.52,34706.00,49289.16,48611.00,69036.92,29704.00,42185.36,30417.00,43197.96,156250.00,221904.90,101019.72,7500.00,240000.00,101250.00,13132564.00,130.00,143467.34,10651.44,340845.93,143794.38,18650754.29,2.92,2146.97,891.99,41.55,760.99,35.44,1671.98,114.00,6.82,2946,1148,38.97,1151,39.07,14,0.48,32,1.09,585,19.86,6,0.20,1399,200,14.30,1199,85.70,537,38.38,662,47.32,175800,186993.33,495,526.52,32159.00,34206.59,65313,69471.53,21991,23391.18,14713,15649.79,23182.00,24658.02,156661.40,15000.00,370000.00,144500.00,6266456.00,40.00,166636.16,15955.06,393558.20,153700.43,6665446.36,4.49,2165,956,44.16,838,38.71,1782,256,14.37,3239,1400,43.2,917,28.3,13,0.4,17,0.5,0,0.0,0,0.0,12,0.4,880,27.2,9.82,-21.89,-0.62,12.73,1394,1287,92.30,107,7.70,523,40.60,764,59.40,206700.00,702.00,210931.85,716.37,37708.00,38480.01,52120.00,53187.07,22589.00,23051.47,,,,,,,,,,,36895.00,37650.37,297403.51,67500.00,650000.00,285750.00,33904000.00,114.00,303492.38,68881.96,663307.72,291600.28,34598130.68,7.58,2266,249,217,466,20.56
37063000301,2981.00,1600.00,53.67,1370.00,45.96,4.00,0.13,0.00,0.00,1179.00,61.00,5.17,1118.00,94.83,303.00,25.70,815.00,69.13,67579.67,10786.29,65.82,412.36,5559.63,34832.93,1598.00,1251.00,78.29,169.00,10.58,1392.00,28.00,2.01,2409.00,1142.00,47.41,1226.00,50.89,2.00,0.08,19.00,0.79,14.00,0.58,2.00,0.08,1144.00,41.00,3.58,1103.00,96.42,289.00,25.26,814.00,71.15,22195.00,64350.87,127.00,368.22,8404.00,24366.06,13833.33,40107.54,9189.19,26642.59,,,,,1414.00,989.00,69.94,239.00,16.90,1254.00,65.00,5.18,2337.00,910.00,38.94,1364.00,58.37,7.00,0.30,22.00,0.94,31.00,1.33,0.00,0.00,1245.00,94.00,7.55,1151.00,92.45,248.00,19.92,903.00,72.53,54000.00,100255.08,269.00,499.42,16049.00,29796.18,20616.88,38276.80,12609.65,23410.77,20000.00,37131.51,12500.00,23207.19,1504.00,830.00,55.19,377.00,25.07,1321.00,87.00,6.59,2432.00,669.00,27.51,1299.00,53.41,9.00,0.37,41.00,1.69,399.00,16.41,0.00,0.00,1205.00,119.00,9.88,1086.00,90.12,258.00,21.41,828.00,68.71,80800.00,114751.46,433.00,614.94,29256.00,41549.12,31750.00,45091.08,25481.00,36187.90,32083.00,45564.00,,,83019.04,10000.00,410500.00,75000.00,8467942.00,102.00,117902.93,14201.91,582988.56,106514.35,12026098.30,2.56,1592.00,926.00,58.17,304.00,19.10,1341.00,49.00,3.65,2504,895,35.74,989,39.50,7,0.28,75,3.00,519,20.73,0,0.00,1235,130,10.53,1105,89.47,346,28.02,759,61.46,132500,140936.38,617,656.28,32430.00,34494.84,42647,45362.37,32682,34762.89,30632,32582.36,17232.00,18329.18,172359.38,45000.00,530000.00,136750.00,5515500.00,32.00,183333.64,47865.19,563745.53,145456.98,5866676.38,4.22,1660,635,38.25,631,38.01,1427,170,11.91,2578,1061,41.2,806,31.3,0,0.0,118,4.6,0,0.0,0,0.0,16,0.6,577,22.4,13.69,-22.11,2.91,5.99,1236,1186,96.00,50,4.00,323,27.20,863,72.80,164400.00,755.00,167765.83,770.46,33417.00,34101.16,40050.00,40869.96,25076.00,25589.39,,,,,,,,,,,31413.00,32056.13,265969.23,28000.00,1070000.00,224000.00,17288000.00,65.00,271414.53,28573.26,1091906.55,228586.05,17641944.41,6.70,1908,108,196,304,15.93
37063000302,3695.00,3550.00,96.08,120.00,3.25,16.00,0.43,0.00,0.00,1580.00,68.00,4.30,1512.00,95.70,677.00,42.85,835.00,52.85,112466.32,17950.58,95.83,600.43,6618.56,41467.44,2236.00,1151.00,51.48,720.00,32.20,1731.00,18.00,1.04,3246.00,2727.00,84.01,453.00,13.96,9.00,0.28,27.00,0.83,24.00,0.74,0.00,0.00,1761.00,141.00,8.01,1620.00,91.99,668.00,37.93,952.00,54.06,45714.00,132540.46,179.00,518.98,12690.00,36792.63,21594.20,62608.95,12948.72,37542.75,,,,,2325.00,959.00,41.25,930.00,40.00,1839.00,50.00,2.72,3352.00,2420.00,72.20,827.00,24.67,2.00,0.06,32.00,0.95,68.00,2.03,1.00,0.03,1721.00,85.00,4.94,1636.00,95.06,652.00,37.88,984.00,57.18,92800.00,172290.20,327.00,607.10,26733.00,49631.83,30731.71,57055.73,19696.97,36568.91,15000.00,27848.63,7500.00,13924.32,2412.00,805.00,33.37,1173.00,48.63,1938.00,65.00,3.35,3449.00,2067.00,59.93,878.00,25.46,13.00,0.38,86.00,2.49,387.00,11.22,0.00,0.00,1707.00,78.00,4.57,1629.00,95.43,659.00,38.61,970.00,56.82,150000.00,213028.71,493.00,700.15,35467.00,50369.93,41417.00,58820.07,24948.00,35430.93,23542.00,33434.15,40000.00,56807.66,153071.07,2000.00,525000.00,137500.00,24338300.00,159.00,217390.22,2840.38,745600.48,195276.32,34565044.05,3.88,2320.00,568.00,24.48,1239.00,53.41,2178.00,92.00,4.22,3426,2058,60.07,523,15.27,16,0.47,118,3.44,692,20.20,1,0.03,1691,124,7.33,1567,92.67,686,40.57,881,52.10,245200,260812.08,607,645.65,37066.00,39426.02,49023,52144.33,25212,26817.27,35000,37228.48,73026.00,77675.62,244583.86,37500.00,510000.00,225250.00,16142535.00,66.00,260156.71,39887.66,542472.12,239591.85,17170343.35,6.08,2470,558,22.59,1467,59.39,2121,100,4.71,3593,2237,62.3,445,12.4,0,0.0,146,4.1,0,0.0,0,0.0,113,3.1,652,18.1,2.37,-13.06,1.61,6.88,1780,1675,94.10,105,5.90,771,46.00,904,54.00,297000.00,828.00,303080.60,844.95,53550.00,54646.35,55857.00,57000.58,32664.00,33332.74,,,,,,,,,,,31630.00,32277.57,356068.63,5000.00,1425000.00,318000.00,36319000.00,102.00,363358.57,5102.37,1454174.62,324510.55,37062573.98,5.94,2607,338,460,798,30.61
37063000401,3162.52,3147.32,99.52,3.52,0.11,4.89,0.15,0.00,0.00,1173.21,35.95,3.06,1137.26,96.94,818.77,69.79,318.48,27.15,98903.95,15785.91,79.12,495.71,8777.29,54992.59,1987.32,1342.02,67.53,345.86,17.40,1507.57,32.02,2.12,2525.05,2420.34,95.85,72.59,2.87,2.92,0.12,11.70,0.46,18.45,0.73,0.00,0.00,1180.86,23.59,2.00,1157.27,98.00,835.14,70.72,322.13,27.28,38093.15,110445.01,168.14,487.49,16644.13,48257.01,19037.99,55197.62,11500.00,33342.42,,,,,1874.96,980.96,52.32,633.04,33.76,1335.55,39.88,2.99,2476.91,2292.87,92.57,149.83,6.05,5.02,0.20,8.07,0.33,21.12,0.85,0.00,0.00,1211.39,41.22,3.40,1170.17,96.60,825.10,68.11,345.07,28.49,81070.00,150512.57,365.55,678.67,31793.03,59026.16,33045.62,61351.69,29660.34,55066.66,30000.00,55697.26,2682.56,4980.37,1920.04,654.38,34.08,799.18,41.62,1314.55,15.27,1.16,2665.00,2124.20,79.71,386.94,14.52,15.07,0.57,51.10,1.92,76.64,2.88,0.00,0.00,1277.36,87.25,6.83,1190.11,93.17,827.93,64.82,362.18,28.35,133651.12,189810.17,575.28,817.01,48407.00,68747.20,50391.87,71566.10,40110.26,56964.24,2825.15,4012.26,45357.14,64415.82,133068.42,15500.00,368000.00,130000.00,25283000.00,190.00,188982.62,22012.97,522630.43,184624.88,35906698.85,2.69,2032.09,662.38,32.60,995.74,49.00,1560.78,81.09,5.20,2523,1973,78.20,230,9.12,7,0.28,112,4.44,192,7.61,0,0.00,1272,97,7.63,1175,92.37,818,64.31,357,28.07,264500,281340.93,711,756.27,68309.00,72658.29,71042,75565.30,48611,51706.10,-999,-1062.61,-999.00,-1062.61,207923.08,500.00,412000.00,219000.00,10812000.00,52.00,221161.71,531.84,438232.38,232943.91,11500408.85,3.21,2082,324,15.56,1369,65.75,1492,60,4.02,3035,2631,86.7,51,1.7,0,0.0,101,3.3,0,0.0,0,0.0,24,0.8,228,7.5,6.99,-12.82,1.38,4.62,1372,1361,99.20,11,0.80,1024,75.20,337,24.80,261300.00,1086.00,266649.70,1108.23,73657.00,75165.01,74306.00,75827.30,,,,,,,,,,,86111.00,87873.99,56806.00,57969.01,331993.55,46000.00,880000.00,300000.00,51459000.00,155.00,338790.59,46941.78,898016.61,306142.02,52512541.49,4.07,2350,333,347,680,28.94
37063000402,1872.01,1471.32,78.60,385.45,20.59,11.43,0.61,0.64,0.03,782.97,36.20,4.62,746.77,95.38,251.46,32.12,495.31,63.26,60517.39,9659.09,66.65,417.61,4620.32,28947.83,1076.98,884.57,82.13,90.81,8.43,901.08,20.96,2.33,2174.91,1656.11,76.15,473.08,21.75,3.81,0.18,20.96,0.96,14.61,0.67,0.00,0.00,1230.65,88.90,7.22,1141.75,92.78,230.51,18.73,911.24,74.05,23243.00,67389.37,180.00,521.88,9059.00,26265.13,13115.67,38026.80,11500.00,33342.42,,,,,1287.17,862.34,67.00,269.24,20.92,1196.36,49.53,4.14,1440.09,1185.13,82.30,203.17,14.11,5.98,0.41,15.93,1.11,29.88,2.07,0.00,0.00,825.61,52.78,6.39,772.83,93.61,267.90,32.45,504.93,61.16,58600.00,108795.32,291.00,540.26,18576.00,34487.75,19166.67,35584.36,17916.67,33263.64,,,25000.00,46414.39,984.96,580.62,58.95,287.82,29.22,863.45,65.73,7.61,1461.00,1022.80,70.01,229.06,15.68,16.93,1.16,23.90,1.64,156.36,10.70,0.00,0.00,817.64,59.75,7.31,757.89,92.69,227.07,27.77,530.82,64.92,90300.00,128243.28,457.00,649.03,26781.00,38034.14,26591.00,37764.31,32135.00,45637.85,19792.00,28108.43,,,95491.38,25000.00,157000.00,93750.00,5538500.00,58.00,135616.04,35504.78,222970.05,133142.94,7865730.00,3.50,996.91,335.62,33.67,423.26,42.46,921.22,20.91,2.27,1963,1362,69.38,166,8.46,7,0.36,128,6.52,298,15.18,0,0.00,1141,70,6.13,1071,93.87,239,20.95,832,72.92,206800,219967.12,860,914.76,40000.00,42546.83,42368,45065.61,23958,25483.43,48906,52019.88,27019.00,28739.32,158633.33,50000.00,340000.00,140250.00,4759000.00,30.00,168733.64,53183.54,361648.08,149179.83,5062009.41,3.51,1430,202,14.13,1080,75.52,1207,104,8.62,2054,1541,75.0,82,4.0,0,0.0,190,9.3,0,0.0,22,1.1,54,2.6,165,8.0,4.99,-11.68,7.66,-2.70,1207,1064,88.20,143,11.80,308,28.90,756,71.10,260900.00,1099.00,266241.51,1121.50,44100.00,45002.88,47313.00,48281.66,,,,,28897.00,29488.62,,,,,,,49250.00,50258.32,305391.30,145000.00,656000.00,278500.00,14048000.00,46.00,311643.70,147968.65,669430.56,284201.85,14335610.54,6.32,1450,274,382,656,45.24
37063000500,4340.63,1834.38,42.26,2489.48,57.35,7.90,0.18,0.00,0.00,1635.93,88.70,5.42,1547.23,94.58,269.18,16.45,1278.04,78.12,59831.14,9549.56,54.36,340.60,3712.23,23258.32,2415.45,2081.98,86.19,221.03,9.15,1926.73,52.23,2.71,4101.45,1687.51,41.14,2291.71,55.88,4.93,0.12,56.19,1.37,47.31,1.15,0.99,0.02,1948.49,129.09,6.62,1819.40,93.38,233.74,12.00,1585.66,81.38,20099.11,58274.16,148.02,429.17,7460.80,21631.39,13427.57,38931.11,8182.32,23723.35,,,10937.50,31711.54,2268.84,1526.33,67.27,540.36,23.82,1917.22,135.00,7.04,3942.45,1419.23,36.00,2332.81,59.17,3.95,0.10,106.62,2.70,75.90,1.93,0.00,0.00,1988.49,192.18,9.66,1796.31,90.34,200.23,10.07,1596.08,80.27,43767.14,81257.00,302.03,560.73,14359.29,26659.11,14344.05,26630.81,14833.96,27540.37,9803.75,18201.40,8379.23,15556.68,2291.43,1141.39,49.81,706.35,30.83,2058.48,120.27,5.84,4212.90,1008.87,23.95,2385.29,56.62,17.75,0.42,224.96,5.34,562.22,13.35,0.00,0.00,1947.35,196.21,10.08,1751.14,89.92,252.43,12.96,1498.71,76.96,75866.11,107744.39,449.06,637.76,21152.10,30040.02,19279.41,27380.45,21518.11,30559.84,37547.84,53325.12,14466.31,20544.93,50873.56,1000.00,200000.00,48000.00,4171632.00,82.00,72250.19,1420.19,284038.28,68169.19,5924515.84,2.27,2237.33,1200.68,53.67,627.44,28.04,2040.09,149.82,7.34,4093,1024,25.02,1895,46.30,21,0.51,292,7.13,850,20.77,0,0.00,2004,326,16.27,1678,83.73,303,15.12,1375,68.61,124200,132107.92,541,575.45,22453.00,23882.60,32581,34655.46,20364,21660.59,33611,35751.04,2499.00,2658.11,90038.83,10000.00,426500.00,74000.00,4141786.00,46.00,95771.68,10636.71,453655.60,78711.64,4405496.89,3.30,1646,692,42.04,449,27.28,1362,206,15.12,3770,1226,32.5,1821,48.3,4,0.1,326,8.6,0,0.0,0,0.0,90,2.4,303,8.0,8.55,-8.32,3.26,-5.35,1704,1515,88.90,189,11.10,311,20.50,1204,79.50,140500.00,761.00,143376.51,776.58,26568.00,27111.94,30493.00,31117.30,24167.00,24661.78,,,,,,,,,,,30313.00,30933.61,228575.68,4000.00,585000.00,223250.00,16914600.00,74.00,233255.40,4081.89,596976.95,227820.69,17260899.63,8.40,2121,227,222,449,21.17
37063000600,4679.78,4544.75,97.11,95.79,2.05,30.11,0.64,0.00,0.00,1845.40,150.31,8.15,1695.09,91.85,856.88,46.43,838.21,45.42,162627.45,25956.73,119.20,746.83,8862.86,55528.76,2668.04,1074.36,40.27,1212.06,45.43,2094.75,32.79,1.57,4595.17,3593.75,78.21,889.59,19.36,6.07,0.13,54.84,1.19,31.71,0.69,1.01,0.02,2174.06,53.95,2.48,2120.12,97.52,945.32,43.48,1174.79,54.04,58678.63,170129.33,206.77,599.50,16364.43,47446.05,23301.34,67558.52,13600.12,39431.39,,,10937.50,31711.54,2981.73,785.99,26.36,1592.82,53.42,2656.47,85.03,3.20,4528.76,3015.81,66.59,1370.09,30.25,6.06,0.13,84.60,1.87,51.14,1.13,0.00,0.00,2301.63,153.88,6.69,2147.75,93.31,925.82,40.22,1221.93,53.09,102406.82,190125.98,351.01,651.67,29146.76,54113.15,39772.32,73840.31,19997.62,37127.09,34469.23,63994.73,26830.93,49813.65,3192.01,801.14,25.10,1864.27,58.40,2793.58,186.78,6.69,5162.71,2379.74,46.09,1840.77,35.66,24.26,0.47,100.39,1.94,782.34,15.15,0.00,0.00,2376.99,161.94,6.81,2215.05,93.19,945.61,39.78,1269.44,53.41,152388.58,216420.95,510.87,725.54,45582.13,64735.35,63723.33,90499.32,26024.11,36959.22,40550.82,57589.93,51173.16,72675.68,136254.32,10000.00,322000.00,122000.00,33654816.00,247.00,193507.21,14201.91,457301.63,173263.35,47796279.83,2.68,3416.14,994.99,29.13,1710.11,50.06,2909.27,97.25,3.34,5177,2222,42.92,1335,25.79,26,0.50,168,3.25,1411,27.26,0,0.00,2332,249,10.68,2083,89.32,957,41.04,1126,48.28,223000,237198.59,632,672.24,54875.00,58368.94,78674,83683.24,30692,32646.18,26857,28567.01,96250.00,102378.32,239234.38,45000.00,1050000.00,202500.00,15311000.00,64.00,254466.63,47865.19,1116854.36,215393.34,16285863.84,3.69,3838,1365,35.57,1760,45.86,3044,160,5.26,6017,2659,44.2,2106,35.0,0,0.0,338,5.6,0,0.0,0,0.0,267,4.4,647,10.8,-1.89,-0.66,3.66,-4.35,2474,2316,93.60,158,6.40,833,36.00,1483,64.00,309900.00,915.00,316244.71,933.73,41162.00,42004.73,56026.00,57173.04,30429.00,31051.99,,,,,,,,,,,35787.00,36519.68,319996.86,27000.00,1095000.00,278000.00,50879500.00,159.00,326548.29,27552.78,1117418.39,283691.61,51921177.14,6.75,4378,536,402,938,21.43
37063000700,2484.00,2177.00,87.64,299.00,12.04,7.00,0.28,0.00,0.00,917.00,43.00,4.69,874.00,95.31,595.00,64.89,279.00,30.43,154802.47,24707.79,67.79,424.75,9867.35,61822.18,1612.00,769.00,47.70,589.00,36.54,1072.00,15.00,1.40,2281.00,1751.00,76.76,471.00,20.65,12.00,0.53,18.00,0.79,29.00,1.27,0.00,0.00,1168.00,45.00,3.85,1123.00,96.15,628.00,53.77,495.00,42.38,58326.00,169106.94,103.00,298.63,15312.00,44394.70,30029.94,87067.02,9625.00,27906.15,,,,,1780.00,738.00,41.46,770.00,43.26,1128.00,41.00,3.63,2660.00,1734.00,65.19,873.00,32.82,10.00,0.38,14.00,0.53,24.00,0.90,0.00,0.00,1349.00,66.00,4.89,1283.00,95.11,678.00,50.26,605.00,44.85,109800.00,203851.98,254.00,471.57,35509.00,65925.14,43295.45,80381.28,20084.75,37288.85,2500.00,4641.44,,,1829.00,492.00,26.90,1007.00,55.06,1257.00,34.00,2.70,2854.00,1638.00,57.39,1087.00,38.09,18.00,0.63,21.00,0.74,83.00,2.91,0.00,0.00,1430.00,85.00,5.94,1345.00,94.06,760.00,53.15,585.00,40.91,160200.00,227514.66,394.00,559.56,40595.00,57652.67,56579.00,80353.01,20850.00,29610.99,101178.00,143692.12,,,165485.71,15000.00,550000.00,148000.00,28960000.00,175.00,235021.38,21302.87,781105.26,210188.33,41128742.58,3.65,2075.00,543.00,26.17,1158.00,55.81,1594.00,80.00,5.02,2830,1635,57.77,970,34.28,13,0.46,71,2.51,134,4.73,0,0.00,1542,145,9.40,1397,90.60,770,49.94,627,40.66,286200,304422.59,451,479.72,47417.00,50436.08,72443,77055.50,17736,18865.27,68750,73127.37,135313.00,143928.49,242717.66,10000.00,740000.00,210000.00,12864036.00,53.00,258171.69,10636.71,787116.40,223370.87,13683099.65,4.43,2199,538,24.47,1299,59.07,1633,72,4.41,3731,1988,53.3,1340,35.9,0,0.0,109,2.9,0,0.0,23,0.6,75,2.0,196,5.3,-4.09,-2.19,2.16,2.39,1829,1723,94.20,106,5.80,795,46.10,928,53.90,294900.00,848.00,300937.61,865.36,45350.00,46278.47,74432.00,75955.88,20608.00,21029.92,,,,,,,,,,,,,387845.13,5000.00,1100000.00,325000.00,43826500.00,113.00,395785.64,5102.37,1122520.76,331653.86,44723778.14,7.17,2636,316,344,660,25.04
