var|desc
pop|Total Population
nhwht|Total White Population
pnhwht|Percent White Population
nhblk|Total Black Population
pnhblk|Percent Black Population
ntv|Total Native Population
pntv|Percent Native Population
asian|Total Asian Population
pasian|Percent Asian Population
haw|Total Hawaiian Population
phaw|Percent Hawaiian Population
oth|Total Other Population
poth|Percent Other Populationn
twomr|Total Two or More Races Population 
ptwomr|Percent Two or More Races Population
hisp|Total Hispanic Population
phisp|Percent Hispanic Population
hu|Total Housing Units
ohu|Total Occupied Housing
pohu|Percent Occupied Housing
vac|Total Vacant Housing 
pvac|Percent Vacant Housing
own|Total Owner Occupied Housing
pown|Percent Owner Occupied Housing
rent|Total Rental Housing
prent|Percent Rental Housing
mhmval|Median Home Value
mrent|Median Rent
hinc|Median Household Income
hincw|Median Household Income for Whites
hincb|Median Household Income for Blacks
hincn|Median Household Income for Natives
hinca|Median Household Income for Asians
hincp|Median Household Income for Hawaiians
hinco|Median Household Income for Other
hincm|Median Household Income for Two or More Races
hinch|Median Household Income for Hispanics
meansp|Mean Sale Price of Single Family Homes
minsp|Minimum Sale Price of Single Family Homes
maxsp|Maximum Sale Price of Single Family Homes
mediansp|Median Sale Price of Single Family Homes
stddevsp|Standard Deviation of Sale Price for Single Family Homes
totsp|Total Sale Price of Single Family Homes
nums|Number of Homes Sold
pir|Price Income Ratio
cmeansp|Change in Mean Sale Price for Single Family Homes
cmediansp|Change in Median Sale Price for Single Family Homes
pcmeansp|Percent Change in Mean Sale Price for Single Family Homes
pcmediansp|Percent Change in Median Sale Price for Single Family Homes
ag25up|Age 25 and Older
hs|Number of High School Graduates
phs|Percent High School Graduates
col|Number of College Graduates
colm|Number of Male College Graduates
colf|Number of Female College Graduates
pcol|Percent College Graduates
clf|Civilian Labor Force
unemp|Number of Unemployed
punemp|Percent Unempolyment
pcnhwht|Percent Change in White&apos;s
pcnhblk|Percent Change in Black&apos;s
pcasian|Percent Change in Asian&apos;s
pchisp|Percent Change in Hispanic&apos;s
cmhmval|Change in Median Home Value
cmrent|Change in Median Rent
pcmhmval|Percent Change in Median Home Value
pcmrent|Percent Change in Median Rent
chinc|Change in Household Income
chincw|Change in Household Income for White&apos;s
chincb|Change in Household Income for Black&apos;s
chinca|Change in Household Income for Asian&apos;s
chinch|Change in Household Income for Hispanic&apos;s
pchinc|Percent Change in Household Income
pchincw|Percent Change in Household Income for White&apos;s
pchincb|Percent Change in Household Income for Black&apos;s
pchinca|Percent Change in Household Income for Asian&apos;s
pchinch|Percent Change in Household Income for Hispanic&apos;s
pccol|Percent Change in College Graduates

