id,meansp9800,minsp9800,maxsp9800,mediansp9800,totsp9800,nums9800,mhi99,pir9800,mgr_phi99,mmoc_phi99
370630015021,63800.00,45000.00,81000.00,65000.00,319000.00,5,23582.00,2.76,28.60,32.50
370630003012,72109.76,10000.00,235000.00,74000.00,2956500.00,41,30592.00,2.42,22.10,16.60
370630013011,55014.40,500.00,90000.00,62500.00,1100288.00,20,21419.00,2.92,37.30,16.70
370630002003,119020.46,45000.00,240000.00,113500.00,6189064.00,52,40208.00,2.82,28.20,15.00
370630011001,40259.62,6000.00,192000.00,35000.00,2093500.00,52,16328.00,2.14,27.90,10.00
370630017053,107262.71,36500.00,200000.00,101000.00,6328500.00,59,38854.00,2.60,21.60,20.70
370630005003,40907.41,1000.00,138000.00,35000.00,1104500.00,27,23343.00,1.50,25.80,20.60
370630010022,74051.62,25000.00,150000.00,81500.00,1925342.00,26,29327.00,2.78,23.50,13.00
370630021001,297026.72,27000.00,1575000.00,225000.00,38910500.00,131,77387.00,2.91,13.80,21.50
370630021003,172754.39,22500.00,395000.00,192000.00,9847000.00,57,60357.00,3.18,13.60,14.50
370630021002,156818.97,18500.00,380000.00,147250.00,9095500.00,58,57917.00,2.54,19.10,20.00
370630016034,207415.38,27000.00,466000.00,227000.00,26964000.00,130,62202.00,3.65,23.60,18.50
370630016011,180271.43,65000.00,332500.00,140000.00,6309500.00,35,52344.00,2.67,36.40,19.70
370630016033,114404.76,6000.00,163000.00,127000.00,4805000.00,42,56083.00,2.26,24.50,20.70
370630015011,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
370630016043,162902.44,20000.00,408000.00,141250.00,13358000.00,82,66591.00,2.12,24.00,16.30
370630002002,68903.85,7500.00,116000.00,73500.00,1791500.00,26,32760.00,2.24,25.30,17.50
370630016013,128965.75,21500.00,230000.00,127000.00,9414500.00,73,49352.00,2.57,27.80,16.30
370630016032,155596.39,32000.00,299000.00,143750.00,25829000.00,166,64973.00,2.21,42.50,19.30
370630016042,181337.58,22000.00,413000.00,180000.00,28470000.00,157,85631.00,2.10,17.50,16.00
370630008021,75717.39,4500.00,250000.00,69000.00,1741500.00,23,28068.00,2.46,23.50,18.50
370630018015,96289.47,18000.00,285000.00,48500.00,1829500.00,19,49583.00,0.98,21.70,17.90
370630016012,146278.64,18500.00,250000.00,145000.00,47248000.00,323,65263.00,2.22,27.20,19.00
370630016041,168737.14,36000.00,516000.00,154500.00,29529000.00,175,84376.00,1.83,21.00,14.80
370630016031,125752.75,28500.00,185000.00,130000.00,5533121.00,44,54453.00,2.39,45.00,15.90
370630017081,97458.33,10000.00,230000.00,100500.00,4678000.00,48,39833.00,2.52,26.00,19.30
370630017101,134039.06,78000.00,280000.00,130500.00,17157000.00,128,43750.00,2.98,28.60,20.50
370630017071,214091.89,32500.00,821000.00,177000.00,39607000.00,185,60963.00,2.90,33.40,17.10
370630017093,76390.24,13000.00,132000.00,80000.00,3132000.00,41,21955.00,3.64,28.10,30.70
370630017111,108038.46,80000.00,147500.00,105750.00,2809000.00,26,33854.00,3.12,28.30,14.20
