id,mean_sfno2001,tot_sfno2001,num_sfno2001,mean_sfoo2001,tot_sfoo2001,num_sfoo2001,prc_sfno2001
370630015021,57271.00,458168.00,8,67991.38,3807517.00,56,12.5
370630003012,60980.50,1829415.00,30,86699.23,5982247.00,69,30.3
370630013011,56261.70,1294019.00,23,68638.75,7550262.00,110,17.29
370630002003,88912.33,533474.00,6,122304.85,24583274.00,201,2.9
370630011001,44563.50,1693413.00,38,55917.46,3131378.00,56,40.43
370630017053,91839.63,1744953.00,19,106083.83,26520957.00,250,7.06
370630005003,47073.36,517807.00,11,63040.12,3152006.00,50,18.03
370630010022,60142.00,120284.00,2,78386.34,7446702.00,95,2.06
370630021001,369184.00,4799392.00,13,374871.73,143950744.00,384,3.27
370630021003,228794.60,4575892.00,20,215444.09,47828588.00,222,8.26
370630021002,185747.54,2414718.00,13,240819.97,56351874.00,234,5.26
370630016034,202007.77,2626101.00,13,220418.20,100290279.00,455,2.78
370630016011,129220.67,2713634.00,21,141008.18,28201635.00,200,9.5
370630016033,117996.25,2359925.00,20,132298.09,47495015.00,359,5.28
370630015011,NaN,NaN,NaN,NaN,NaN,NaN,NaN
370630016043,217083.58,2605003.00,12,174309.26,52118468.00,299,3.86
370630002002,62209.87,933148.00,15,76815.28,6759745.00,88,14.56
370630016013,121931.68,3414087.00,28,136821.61,72515451.00,530,5.02
370630016032,173252.94,3118553.00,18,143943.36,83631094.00,581,3.01
370630016042,191304.61,6313052.00,33,196269.95,165848105.00,845,3.76
370630008021,51765.10,517651.00,10,95319.15,5242553.00,55,15.38
370630018015,165058.50,1650585.00,10,160209.26,15059670.00,94,9.62
370630016012,134154.79,4427108.00,33,152122.96,138431898.00,910,3.5
370630016041,122560.43,2818890.00,23,157302.10,74089289.00,471,4.66
370630016031,128235.06,2051761.00,16,129603.34,27994321.00,216,6.9
370630017081,94628.10,2744215.00,29,107749.64,60124297.00,558,4.94
370630017101,121612.63,2310640.00,19,128911.63,50275534.00,390,4.65
370630017071,154964.63,5888656.00,38,219200.82,145330144.00,663,5.42
370630017093,50258.00,954902.00,19,92944.61,18774811.00,202,8.6
370630017111,95416.44,858748.00,9,110224.47,15100752.00,137,6.16
370630018041,102447.58,1229371.00,12,119189.35,37544646.00,315,3.67
370630018013,90546.50,1448744.00,16,92235.88,41967324.00,455,3.4
370630017113,67023.00,67023.00,1,88906.05,1867027.00,21,4.55
370630017072,175723.91,3865926.00,22,176339.69,142306129.00,807,2.65
370630017112,NaN,NaN,NaN,140753.45,3096576.00,22,NaN
370630017102,126759.60,633798.00,5,114854.60,20329264.00,177,2.75
370630018014,67755.31,1084085.00,16,86831.33,9811940.00,113,12.4
370630017091,54054.88,918933.00,17,75491.24,13437440.00,178,8.72
370630017051,116727.17,1400726.00,12,124149.17,66916400.00,539,2.18
370630019002,291056.50,582113.00,2,200467.77,17641164.00,88,2.22
370630017052,90932.47,1545852.00,17,207168.00,77687999.00,375,4.34
370630001021,97248.50,3500946.00,36,103453.16,74382825.00,719,4.77
370630018011,76116.70,761167.00,10,118517.49,38755220.00,327,2.97
370630017092,58496.86,409478.00,7,76010.48,13529865.00,178,3.78
370630001012,78213.26,1486052.00,19,78591.24,28764394.00,366,4.94
370630017073,114895.71,1608540.00,14,132508.57,23851542.00,180,7.22
370630018043,116118.21,4412492.00,38,123884.95,123265528.00,995,3.68
370630001011,NaN,NaN,NaN,NaN,NaN,NaN,NaN
370630017061,134006.96,3216167.00,24,181940.74,87513496.00,481,4.75
370630018044,84009.16,1596174.00,19,105844.19,27837022.00,263,6.74
370630004011,93737.95,1781021.00,19,107581.30,36039737.00,335,5.37
370630018023,71040.16,1349763.00,19,72619.62,13289390.00,183,9.41
370630004013,111870.13,894961.00,8,152811.36,24908251.00,163,4.68
370630003011,65174.53,1238316.00,19,82585.48,8836646.00,107,15.08
370630004021,70815.05,1345486.00,19,93331.40,19879589.00,213,8.19
370630020171,208240.87,6455467.00,31,236414.21,219628800.00,929,3.23
370630020152,274419.75,1097679.00,4,207415.93,14519115.00,70,5.41
370630004012,126976.88,1015815.00,8,147054.47,46322159.00,315,2.48
370630015022,93813.00,375252.00,4,67801.00,610209.00,9,30.77
370630018012,79381.74,1825780.00,23,103944.14,18190224.00,175,11.62
370630003021,119399.60,596998.00,5,144473.05,39441144.00,273,1.8
370630002001,88249.91,970749.00,11,102893.11,16154219.00,157,6.55
370630003013,79401.33,714612.00,9,111632.02,6474657.00,58,13.43
370630003022,100756.19,1612099.00,16,138442.35,22289218.00,161,9.04
370630003023,103082.83,1236994.00,12,178879.23,29336194.00,164,6.82
370630015031,NaN,NaN,NaN,NaN,NaN,NaN,NaN
370630005001,NaN,NaN,NaN,66482.29,465376.00,7,NaN
370630010021,67211.77,873753.00,13,76220.04,22256252.00,292,4.26
370630018021,81881.06,2702075.00,33,99795.25,67960563.00,681,4.62
370630005002,62160.76,1056733.00,17,78270.74,4461432.00,57,22.97
370630018042,137224.38,3979507.00,29,133765.90,108216613.00,809,3.46
370630009001,43711.93,611967.00,14,52758.14,3059972.00,58,19.44
370630009002,49267.73,1280961.00,26,53428.03,4701667.00,88,22.81
370630010024,51226.30,512263.00,10,61982.33,5516427.00,89,10.1
370630007001,58563.14,409942.00,7,135210.25,7436564.00,55,11.29
370630008011,NaN,NaN,NaN,NaN,NaN,NaN,NaN
370630006002,141002.20,2820044.00,20,214474.87,104878209.00,489,3.93
370630010011,63961.08,831494.00,13,65980.95,6993981.00,106,10.92
370630012011,52962.75,635553.00,12,55743.56,2508460.00,45,21.05
370630018054,146405.89,2635306.00,18,167983.52,98270360.00,585,2.99
370630019001,145526.90,1455269.00,10,144972.48,13627413.00,94,9.62
370630005004,52941.76,1111777.00,21,62071.16,4344981.00,70,23.08
370630018022,85603.50,1198449.00,14,92631.09,39090318.00,422,3.21
370630010023,57503.33,345020.00,6,67570.15,5338042.00,79,7.06
370630012021,38454.67,230728.00,6,73748.33,1327470.00,18,25.0
370630010012,58009.13,464073.00,8,64180.91,7124081.00,111,6.72
370630020172,127731.80,638659.00,5,223278.48,59168796.00,265,1.85
370630011002,57372.00,631092.00,11,58332.31,4724917.00,81,11.96
370630007002,165532.00,993192.00,6,190719.87,55118042.00,289,2.03
370630006001,93252.63,2797579.00,30,117184.75,48162932.00,411,6.8
370630010013,52103.82,1458907.00,28,65258.53,10767657.00,165,14.51
370630014002,54262.05,1085241.00,20,61022.35,9580509.00,157,11.3
370630007003,131912.78,1187215.00,9,166784.88,46532981.00,279,3.12
370630013012,55273.59,939651.00,17,65604.09,3017788.00,46,26.98
370630013031,64447.19,1997863.00,31,77320.91,14536332.00,188,14.16
370630020151,95118.22,856064.00,9,128612.16,36911691.00,287,3.04
370630020091,77813.19,2100956.00,27,91845.68,43994082.00,479,5.34
370630018053,89554.18,1970192.00,22,124570.38,31391737.00,252,8.03
370630013032,65841.82,724260.00,11,83182.63,11562385.00,139,7.33
370630014001,67805.86,474641.00,7,81403.22,8547338.00,105,6.25
370630020092,70939.64,1773491.00,25,86954.86,23043038.00,265,8.62
370630020141,102689.57,2875308.00,28,114617.46,52380180.00,457,5.77
370630013041,71516.34,2073974.00,29,78432.13,25647305.00,327,8.15
370630020093,82930.20,2073255.00,25,86570.66,43025619.00,497,4.79
370630020071,132574.33,1193169.00,9,152852.17,67560661.00,442,2.0
370630020161,169782.57,1188478.00,7,165416.56,12902492.00,78,8.24
370630018051,75542.81,1586399.00,21,101882.20,22210319.00,218,8.79
370630020072,230644.86,3229028.00,14,189431.03,68384603.00,361,3.73
370630020182,170190.52,8169145.00,48,202802.26,159808182.00,788,5.74
370630020073,124026.62,1612346.00,13,162383.49,39459189.00,243,5.08
370630020101,164533.65,3290673.00,20,137092.86,28241130.00,206,8.85
370630020081,534220.38,4273763.00,8,400352.09,108895769.00,272,2.86
370630020181,204597.42,2455169.00,12,289740.08,110680709.00,382,3.05
370630020103,110309.75,4853629.00,44,123809.08,87161590.00,704,5.88
370630020082,255622.39,4601203.00,18,280614.95,167527123.00,597,2.93
370630020102,140880.58,3381134.00,24,136195.74,96562783.00,709,3.27
370630020113,173339.67,3120114.00,18,176949.96,175888260.00,994,1.78
370630018052,135463.00,3792964.00,28,148368.02,55638006.00,375,6.95
370630020142,88992.25,355969.00,4,300994.60,3009946.00,10,28.57
370630020111,174205.00,1393640.00,8,182598.99,98238259.00,538,1.47
370630020143,151107.75,1208862.00,8,138860.80,18329626.00,132,5.71
370630020112,162849.00,325698.00,2,175151.38,35380578.00,202,0.98
370630020123,150206.92,5707863.00,38,169584.27,137532842.00,811,4.48
370630020122,99856.50,998565.00,10,161082.96,25612190.00,159,5.92
370630020121,160939.15,4345357.00,27,221295.85,122597900.00,554,4.65
370630020131,130896.00,916272.00,7,147988.60,55791702.00,377,1.82
370630020124,242246.61,5571672.00,23,217599.86,178214288.00,819,2.73
370630020132,114014.77,1482192.00,13,124635.28,32779078.00,263,4.71
370630020133,140076.00,2661444.00,19,149733.08,97476234.00,651,2.84
