id,mean_sfno011818,tot_sfno011818,num_sfno011818,mean_sfoo011818,tot_sfoo011818,num_sfoo011818,prc_sfno011818
370630001011,114821.52,2411252.00,21,131321.37,44255303.00,337,5.87
370630001012,94182.83,2166205.00,23,111159.80,47242914.00,425,5.13
370630001021,126377.45,1390152.00,11,145789.92,48256465.00,331,3.22
370630001022,124799.79,2995195.00,24,144828.32,57352016.00,396,5.71
370630002001,147285.20,1472852.00,10,194729.51,33493476.00,172,5.49
370630002002,149806.00,1947478.00,13,206901.24,30000680.00,145,8.23
370630002003,181789.73,2726846.00,15,288464.95,73847026.00,256,5.54
370630003011,105497.35,2426439.00,23,151314.75,16947252.00,112,17.04
370630003012,117893.20,1768398.00,15,174232.82,20907938.00,120,11.11
370630003013,212958.31,2768458.00,13,371764.95,38663555.00,104,11.11
370630003021,253532.25,2028258.00,8,321017.25,96947209.00,302,2.58
370630003022,249018.12,4233308.00,17,323317.69,58197184.00,180,8.63
370630003023,392608.88,3140871.00,8,487579.95,104342110.00,214,3.6
370630004011,190192.23,2472499.00,13,212625.43,67827513.00,319,3.92
370630004012,210417.00,841668.00,4,321606.70,104843784.00,326,1.21
370630004013,243749.10,2437491.00,10,342491.98,72950792.00,213,4.48
370630004021,179915.64,4497891.00,25,264739.49,64066956.00,242,9.36
370630005001,108724.00,217448.00,2,188815.67,566447.00,3,40.0
370630005002,171455.58,2057467.00,12,223780.99,17902479.00,80,13.04
370630005003,121472.83,1457674.00,12,161031.13,14492802.00,90,11.76
370630005004,102172.47,1532587.00,15,128687.66,16858083.00,131,10.27
370630006001,187008.52,8976409.00,48,226241.28,112441918.00,497,8.81
370630006002,202278.00,3236448.00,16,294832.77,93167156.00,316,4.82
370630006003,NaN,NaN,NaN,466558.86,93311771.00,200,NaN
370630007001,162314.57,1136202.00,7,293159.26,24039059.00,82,7.87
370630007002,199238.00,1992380.00,10,384248.33,135639659.00,353,2.75
370630007003,249538.43,1746769.00,7,311779.68,103510853.00,332,2.06
370630009001,56658.53,849878.00,15,76770.02,4682971.00,61,19.74
370630009002,113124.30,2601859.00,23,136220.62,14439386.00,106,17.83
370630010011,63406.20,634062.00,10,87365.13,11008007.00,126,7.35
370630010012,71196.45,1423929.00,20,79836.03,12454420.00,156,11.36
370630010013,58805.18,1646545.00,28,73896.91,15074969.00,204,12.07
370630010021,76994.44,2078850.00,27,91914.53,22427146.00,244,9.96
370630010022,72134.79,1009887.00,14,83928.44,8308916.00,99,12.39
370630010023,75259.20,1128888.00,15,76644.70,5671708.00,74,16.85
370630010024,61441.24,1044501.00,17,76032.24,7375127.00,97,14.91
370630011001,123887.56,1982201.00,16,184257.65,25611813.00,139,10.32
370630011002,80613.00,322452.00,4,84247.58,6402816.00,76,5.0
370630013011,57924.02,2606581.00,45,71616.74,10456044.00,146,23.56
370630013031,74982.37,2624383.00,35,90789.39,15071039.00,166,17.41
370630013032,78713.56,1259417.00,16,97604.80,12493415.00,128,11.11
370630013041,85824.09,2832195.00,33,97809.04,28853667.00,295,10.06
370630014001,61944.10,619441.00,10,75151.32,6312711.00,84,10.64
370630014002,57438.76,2412428.00,42,59641.42,6978046.00,117,26.42
370630015011,NaN,NaN,NaN,NaN,NaN,NaN,NaN
370630015021,115871.50,463486.00,4,107279.41,5471250.00,51,7.27
370630015022,NaN,NaN,NaN,NaN,NaN,NaN,NaN
370630015023,105884.00,211768.00,2,94981.00,94981.00,1,66.67
370630015024,NaN,NaN,NaN,NaN,NaN,NaN,NaN
370630015031,NaN,NaN,NaN,NaN,NaN,NaN,NaN
370630016011,159779.33,2396690.00,15,232778.13,88921246.00,382,3.78
370630016012,141817.40,4963609.00,35,178631.54,176487964.00,988,3.42
370630016013,134045.52,3619229.00,27,156518.88,89372281.00,571,4.52
370630016031,160858.60,1608586.00,10,161098.70,37535996.00,233,4.12
370630016032,162995.82,1792954.00,11,202109.07,208576557.00,1032,1.05
370630016033,190076.70,1900767.00,10,150036.40,57463941.00,383,2.54
370630016034,227595.14,1593166.00,7,263140.76,142622290.00,542,1.28
370630016041,164236.24,2792016.00,17,225325.76,152996191.00,679,2.44
370630016042,215037.60,4300752.00,20,248835.11,241867731.00,972,2.02
370630016043,185948.40,929742.00,5,233131.61,114700752.00,492,1.01
370630017051,124905.91,2872836.00,23,145395.99,79677000.00,548,4.03
370630017052,140078.25,2241252.00,16,300484.36,123499070.00,411,3.75
370630017053,99448.28,1790069.00,18,122587.68,31137270.00,254,6.62
370630017061,174559.80,872799.00,5,295072.75,97078935.00,329,1.5
370630017062,139582.40,1395824.00,10,233220.15,54340295.00,233,4.12
370630017071,197431.82,2171750.00,11,241738.30,96695320.00,400,2.68
370630017072,183191.85,3663837.00,20,219366.22,109683109.00,500,3.85
370630017073,199572.20,997861.00,5,251033.34,58239736.00,232,2.11
370630017074,175415.17,4209964.00,24,226934.28,147507285.00,650,3.56
370630017075,863310.60,4316553.00,5,645408.23,192977060.00,299,1.64
370630017081,130686.94,6665034.00,51,141751.95,140617938.00,992,4.89
370630017091,77907.83,1791880.00,23,85057.78,14544880.00,171,11.86
370630017092,72145.27,1082179.00,15,80891.56,13508891.00,167,8.24
370630017093,74583.56,1864589.00,25,118386.59,27347303.00,231,9.77
370630017101,130718.78,1176469.00,9,154726.56,92217032.00,596,1.49
370630017102,128582.75,1028662.00,8,130513.97,29626672.00,227,3.4
