geoid00,mgr_phi99,mmoc_phi99,mhi99,mhi99_ah,mfh99,mnhi99,mhi99_w,mhi99_b,mhi99_n,mhi99_a,mhi99_h,mhi99_o,mhi_99_t,mhi99_wnh,mfi99_w,mfi99_b,mfi99_n,mfi99_a,mfi99_h,mfi99_o,mfi99_t,mfi99_wnh,mnfh99
370630001011,25.5,20.8,35385,35385,37083,30625,35577,34500,0,0,16250,0,0,35962,36250,39583,0,0,16250,0,0,37250,31736
370630001012,21.8,24.3,29167,29167,31635,22202,42171,25393,28750,39000,45208,46250,0,42917,43750,25347,3750,39000,24327,46250,0,53750,20865
370630001021,23.7,19.9,33942,33942,40354,26692,33630,31506,68750,61563,53214,45000,50500,33162,43553,32500,63750,68750,33533,24583,52000,44211,25966
370630002001,27.2,20.0,36250,36250,51250,29205,49167,26793,0,0,40250,41250,37656,49167,66250,28000,0,0,13750,0,0,66250,45833
370630002002,25.3,17.5,32760,32760,33750,24643,47708,31645,0,53750,30795,31591,13393,49479,48542,38125,0,53750,30682,27500,18750,49688,36071
370630002003,28.2,15.0,40208,40208,55682,27083,34000,46625,0,161431,17000,30875,43750,40208,66875,53036,0,200000,16000,23750,13750,71477,26333
370630003011,25.4,21.5,28083,28083,27308,25163,34342,22778,0,0,35139,35972,26250,34737,36635,21771,0,0,35972,35972,4792,36635,33224
370630003012,22.1,16.6,30592,30592,33250,27578,60104,30658,0,0,28125,22143,0,56250,81250,33750,0,0,21607,21071,0,100992,29821
370630003013,25.0,22.2,27708,27708,36827,23646,30531,24833,0,0,23750,0,0,30531,35714,55750,0,0,0,0,0,35714,25781
370630003021,27.9,15.3,56010,56010,57426,44167,55433,92153,0,41250,46250,0,0,55433,56176,96105,0,41250,21250,0,0,56691,43542
370630003022,31.4,19.8,29917,29917,25677,30350,35119,24097,0,2500,35893,36250,53750,35119,28393,22115,0,0,14750,0,53750,28393,35655
370630003023,30.7,18.8,31961,31961,65893,20795,36215,22457,0,90098,22500,13750,0,36293,76665,36875,0,90957,21250,14531,0,87066,23056
370630004011,41.3,16.4,45132,45132,53068,26000,45577,45625,0,0,17813,17813,0,45577,54028,20250,0,0,2500,2500,0,54028,22188
370630004012,27.2,16.2,50263,50263,82033,35909,52105,33393,0,48750,2500,0,0,52105,83292,0,0,48750,0,0,0,83292,36932
370630004013,21.8,17.8,46625,46625,60469,33393,51797,40972,75487,11250,0,0,0,51797,62857,44444,51250,11250,0,0,0,62857,32946
370630004021,29.6,22.5,26781,26781,27857,22944,26761,32135,16250,0,19792,22778,9375,26591,32841,31324,0,0,18958,22778,25568,32955,23306
370630005001,50.0,10.0,11151,11151,11750,11061,9883,10050,75487,11346,15357,37778,15139,14028,27656,3750,75487,11250,6250,0,0,28594,9844
370630005002,27.0,21.0,26688,26688,21923,28047,26518,23875,0,41250,21250,27292,9821,27578,26875,19500,0,41250,2500,41250,36250,41719,26375
370630005003,25.8,20.6,23343,23343,24145,20921,54063,22109,41250,0,62375,26875,40625,25000,28917,21776,0,0,71125,70750,2500,28000,22083
370630005004,26.8,29.8,22847,22847,22946,18158,39063,22069,0,0,38654,38462,0,38438,25417,22198,0,0,32500,38462,0,35000,38438
370630006001,25.7,18.2,45536,45536,47130,41086,50536,26949,0,57614,40580,40938,46111,51964,70417,25924,0,45938,40402,41473,45694,71750,45089
370630006002,24.8,13.6,47000,47000,64327,32798,83369,25550,0,71250,40625,60066,37500,90090,102580,25125,0,71250,27237,31711,26250,110523,47788
370630007001,28.7,25.0,11197,11197,16607,9801,11792,10610,26250,0,0,80488,6250,11792,14375,16429,0,0,0,80488,0,14375,11292
370630007002,32.5,16.3,65238,65238,87627,35667,73750,21806,26136,0,100263,6250,0,72875,92614,22083,102264,0,100263,6250,0,90922,44375
370630007003,24.6,18.1,55833,55833,74844,36875,73077,44375,18750,0,98750,26250,0,73077,88075,50139,0,0,127308,0,0,87026,39583
370630008011,22.5,0.0,73750,73750,0,73750,0,73750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
370630008021,23.5,18.5,28068,28068,25982,30139,50000,21141,0,80488,28750,18906,19792,53594,83112,24250,0,0,17813,8958,51500,83112,46442
370630009001,25.4,24.0,20086,20086,17179,20216,15455,17208,0,0,30455,70694,0,22708,12308,16771,0,0,30357,42250,0,16250,23750
370630009002,29.9,35.3,18036,18036,21500,11923,0,17292,0,0,29464,29464,0,0,0,21400,0,0,27857,27857,0,0,0
