geoid10,meansp1517,minsp1517,maxsp1517,mediansp1517,stddevsp1517,totsp1517,nums1517
370630001011,158945.0,30000.0,451000.0,148000.0,76303.09200156963,14623000.0,92.0
370630001012,126586.0,17000.0,631000.0,115000.0,79452.78034782672,13165036.0,104.0
370630001021,156743.0,20000.0,435000.0,150500.0,74020.94481293792,12853000.0,82.0
370630001022,165581.0,35000.0,451000.0,163500.0,73175.00619747155,14240000.0,86.0
370630002001,210000.0,27000.0,451000.0,215000.0,100605.04460512902,6930000.0,33.0
370630002002,265333.0,45000.0,650000.0,258000.0,151649.01126944416,15124000.0,57.0
370630002003,316615.0,60000.0,620000.0,312500.0,131193.00313660025,16464000.0,52.0
370630003011,178858.0,28000.0,633000.0,124500.0,140627.2578165414,6975500.0,39.0
370630003012,220812.0,65500.0,520000.0,220750.0,107040.60713579683,5299500.0,24.0
370630003013,405389.0,155000.0,1070000.0,323000.0,251484.98716822045,7702400.0,19.0
370630003021,302646.0,5000.0,680000.0,300000.0,117205.40606559068,19672000.0,65.0
370630003022,266551.0,7500.0,535000.0,280000.0,143085.03620574725,7730000.0,29.0
370630003023,581525.0,77500.0,1425000.0,566250.0,359326.8368171239,11630500.0,20.0
370630004011,260519.0,46000.0,800000.0,242500.0,143579.73128196056,20320500.0,78.0
370630004012,349153.0,115000.0,767500.0,337250.0,141516.2478869476,18156000.0,52.0
370630004013,384893.0,190000.0,880000.0,345500.0,148323.9674024397,18090000.0,47.0
370630004021,268955.0,65000.0,656000.0,257000.0,123141.93392991682,15868382.0,59.0
370630005001,nan,nan,nan,nan,nan,nan,nan
370630005002,284343.0,23500.0,585000.0,307500.0,175828.1091236552,4549500.0,16.0
370630005003,206581.0,4000.0,509000.0,208000.0,142573.49525770912,8883000.0,43.0
370630005004,141690.0,24000.0,360000.0,95250.0,106553.79235860167,5667600.0,40.0
370630006001,245498.0,47000.0,660000.0,230000.0,117720.86563137395,27986801.0,114.0
370630006002,352456.0,27000.0,950000.0,321000.0,191399.80918485785,16213000.0,46.0
370630006003,578861.0,330000.0,1095000.0,482500.0,216300.29544593784,10419500.0,18.0
370630007001,256750.0,20500.0,523000.0,280250.0,153261.1429586769,4621500.0,18.0
370630007002,397303.0,34000.0,1100000.0,355000.0,221374.2550162507,20262500.0,51.0
370630007003,331398.0,5000.0,850000.0,285000.0,184809.5581240321,22535090.0,68.0
370630009001,85181.0,20000.0,217000.0,60000.0,61469.22733368299,2811000.0,33.0
370630009002,142487.0,22000.0,1095000.0,92000.0,138789.26602587104,14391278.0,101.0
370630010011,99490.0,14000.0,339000.0,69750.0,77564.61508316791,5173500.0,52.0
370630010012,99880.0,6500.0,399000.0,74750.0,79541.45733515322,9988065.0,100.0
370630010013,107338.0,5000.0,800000.0,69500.0,141825.05922790937,10304528.0,96.0
370630010021,79830.0,15500.0,180000.0,75000.0,38573.028141435825,5188950.0,65.0
370630010022,117567.0,5000.0,675000.0,81000.0,128848.63455621095,3409453.0,29.0
370630010023,74405.0,25000.0,190000.0,74000.0,38210.554693696875,2157750.0,29.0
370630010024,86925.0,11500.0,245000.0,67000.0,59641.29384914449,4085481.0,47.0
370630011001,196186.0,12000.0,549000.0,144250.0,135280.29287741802,15302550.0,78.0
370630011002,169196.0,24500.0,1250000.0,113000.0,266259.6630565734,3214736.0,19.0
370630013011,118455.0,10000.0,1095000.0,67750.0,186622.5417118736,11845550.0,100.0
370630013031,96495.0,500.0,838000.0,74985.0,119862.9470520394,5017770.0,52.0
