geoid10,mhi,mhi_ah,mnhi,mgr_phi,msmoc_phi
370630001011,36809,36809,33750,37.8,17.9
370630001012,48458,48458,49265,22.2,19.2
370630001021,35387,35387,36875,41.7,14.1
370630001022,51956,51956,50867,21.0,16.5
370630002001,28375,28375,19041,35.7,30.6
370630002002,38824,38824,,27.4,17.7
370630002003,56359,56359,51071,23.8,15.9
370630003011,26250,26250,21750,32.2,21.8
370630003012,34250,34250,35714,31.0,12.1
370630003013,52031,52031,31755,27.0,13.3
370630003021,74554,74554,56607,21.7,22.1
370630003022,59583,59583,52143,30.0,17.1
370630003023,34805,34805,33683,28.3,16.5
370630004011,64453,64453,54500,27.8,14.6
370630004012,70441,70441,63021,28.8,17.2
370630004013,85598,85598,61875,36.4,17.8
370630004021,44100,44100,36250,33.8,19.7
370630005001,13125,13125,13125,50.0,
370630005002,28125,28125,24943,38.9,11.6
370630005003,24667,24667,21799,40.9,22.7
370630005004,34554,34554,,38.7,23.0
370630006001,41591,41591,35670,30.1,17.6
370630006002,32184,32184,31298,41.4,14.1
370630006003,110326,110326,,,21.3
370630007001,22105,22105,18893,25.7,17.5
370630007002,59097,59097,39125,23.9,15.5
370630007003,76071,76071,38182,50.0,13.2
370630009001,23281,23281,19712,43.6,15.0
370630009002,26444,26444,25395,42.2,31.6
370630010011,41316,41316,,19.9,10.0
370630010012,26203,26203,23026,32.9,26.0
370630010013,37865,37865,19375,29.5,12.2
370630010021,29665,29665,25043,30.8,19.2
370630010022,24063,24063,,31.4,15.6
370630010023,19920,19920,30743,43.9,27.9
370630010024,30385,30385,,34.6,21.6
370630011001,20441,20441,20863,28.1,24.6
370630011002,20591,20591,15000,29.8,31.4
370630013011,23587,23587,22243,33.7,35.8
370630013031,20977,20977,14522,37.3,27.0
370630013032,35521,35521,28375,30.2,32.5
370630013041,21229,21229,17863,32.4,13.3
370630014001,35781,35781,31313,16.3,14.1
370630014002,16974,16974,14750,31.4,19.5
370630015011,10536,10536,,50.0,
370630015021,26691,26691,27730,32.4,
370630015022,29545,29545,24167,46.6,
370630015023,24444,24444,24792,31.6,
370630015024,,,,27.5,
370630015031,,,,,
370630016011,91597,91597,,,18.2
370630016012,78638,78638,52500,50.0,16.4
370630016013,75104,75104,44226,25.1,14.7
370630016031,67917,67917,,,13.8
370630016032,67533,67533,,31.2,20.5
370630016033,54912,54912,53158,16.1,16.1
370630016034,109083,109083,91538,,14.3
370630016041,74132,74132,39813,23.5,14.5
370630016042,105673,105673,63869,23.3,16.0
370630016043,91979,91979,,27.9,19.7
370630017051,64030,64030,29333,21.9,16.3
370630017052,50522,50522,28182,39.0,13.8
370630017053,57936,57936,44773,23.6,25.4
370630017061,39196,39196,31607,25.4,14.3
370630017062,54125,54125,45873,19.2,14.8
370630017071,77411,77411,,27.3,19.6
370630017072,59129,59129,32984,26.3,16.7
370630017073,70625,70625,56250,,14.8
370630017074,63190,63190,29942,25.3,19.6
370630017075,71923,71923,54236,38.8,11.7
370630017081,55563,55563,30156,27.7,21.2
370630017091,42171,42171,,,17.5
370630017092,27961,27961,40475,30.2,29.2
370630017093,23307,23307,21406,39.2,28.6
370630017101,49643,49643,28810,35.4,19.9
370630017102,40313,40313,34958,32.1,17.6
370630017111,50000,50000,37000,19.6,16.3
370630017112,29706,29706,30583,34.5,13.3
370630017113,38267,38267,37839,31.5,17.5
370630018011,87229,87229,85395,,15.3
