geoid00,gr,mgr,agr,agr_us,agr_mir,b_gr,gr_phi,mgr_phi,ah_gr_phi,hi_gr_phi,algr
370630001011,289,740,212300,202200,212300,289,289,37.8,289,289,289
370630001012,221,646,139500,271900,139500,221,221,22.2,221,221,221
370630001021,844,715,608800,196300,608800,844,844,41.7,844,844,844
370630001022,325,903,274100,220500,274100,325,325,21.0,325,325,325
370630002001,365,672,255500,200700,255500,365,365,35.7,365,365,365
370630002002,185,695,139300,500100,139300,185,185,27.4,185,185,185
370630002003,214,829,202200,83400,202200,214,214,23.8,214,214,214
370630003011,366,805,271900,137600,271900,366,366,32.2,366,366,366
370630003012,255,710,196300,172200,196300,255,255,31.0,255,255,255
370630003013,242,798,220500,289200,220500,242,242,27.0,242,242,242
370630003021,94,1097,84700,311900,84700,94,94,21.7,94,94,94
370630003022,231,831,200700,222200,200700,231,231,30.0,231,231,231
370630003023,579,729,500100,218000,500100,579,579,28.3,579,579,579
370630004011,72,1121,83400,238000,83400,72,72,27.8,72,72,72
370630004012,121,928,137600,394300,137600,121,121,28.8,121,121,121
370630004013,144,1186,172200,502000,172200,144,144,36.4,144,144,144
370630004021,756,1099,890500,91600,890500,756,756,33.8,756,756,756
370630005001,131,1083,170800,-,170800,131,131,50.0+,131,131,131
370630005002,256,826,215100,64000,215100,256,256,38.9,256,256,256
370630005003,428,675,301000,55900,301000,428,428,40.9,428,428,428
370630005004,389,769,289200,-,289200,389,389,38.7,389,389,389
370630006001,814,953,754200,150200,754200,814,814,30.1,814,814,814
370630006002,631,765,569500,39400,569500,631,631,41.4,631,631,631
370630006003,38,-,311900,58600,311900,38,38,-,38,38,38
370630007001,466,450,185700,249300,185700,466,466,25.7,466,466,466
370630007002,243,859,222200,404400,222200,243,243,23.9,243,243,243
370630007003,219,961,218000,750000,218000,219,219,50.0+,219,219,219
370630009001,279,797,274300,475600,274300,279,279,43.6,279,279,279
370630009002,299,988,238000,46700,238000,299,299,42.2,299,299,299
370630010011,282,930,242700,-,272700,282,282,19.9,282,282,282
370630010012,343,675,272700,154900,578200,343,343,32.9,343,343,343
370630010013,337,869,578200,181000,95000,337,337,29.5,337,337,337
370630010021,780,741,95000,1303000,168800,780,780,30.8,780,780,780
370630010022,163,638,168800,-,268700,163,163,31.4,163,163,163
370630010023,256,632,268700,178600,204700,256,256,43.9,256,256,256
370630010024,378,731,394300,112100,334200,378,378,34.6,378,378,378
370630011001,670,559,204700,84300,277200,670,670,28.1,670,670,670
370630011002,428,479,334200,231000,104600,428,428,29.8,428,428,428
370630013011,390,809,277200,334500,91600,390,390,33.7,390,390,390
370630013031,361,816,104600,169000,294900,361,361,37.3,361,361,361
370630013032,132,924,502000,59100,31900,132,132,30.2,132,132,132
370630013041,925,599,91600,45600,1076200,925,925,32.4,925,925,925
370630014001,138,413,294900,75700,126600,138,138,16.3,138,138,138
370630014002,569,399,31900,43800,-,569,569,31.4,569,569,569
370630015011,30,1053,1076200,185200,64000,30,30,50.0+,30,30,30
370630015021,1155,789,742100,189100,55900,1155,1155,32.4,1155,1155,1155
370630015022,588,1293,873400,168600,119300,588,588,46.6,588,588,588
370630015023,1056,793,126600,453500,-,1056,1056,31.6,1056,1056,1056
370630015024,270,223,-,238000,150200,270,270,27.5,270,270,270
370630015031,0,-,64000,2027500,39400,0,0,-,0,0,0
370630016011,32,-,166000,1255400,58600,32,32,-,32,32,32
370630016012,75,-,55900,963800,249300,75,75,50.0+,75,75,75
370630016013,132,1298,119300,455500,543100,132,132,25.1,132,132,132
370630016031,53,-,-,104800,404400,53,53,-,53,53,53
370630016032,44,-,150200,271900,750000,44,44,31.2,44,44,44
370630016033,121,1030,39400,146300,475600,121,121,16.1,121,121,121
370630016034,0,-,58600,279500,46700,0,0,-,0,0,0
370630016041,116,1574,249300,68500,254600,116,116,23.5,116,116,116
370630016042,36,1150,543100,778900,-,36,36,23.3,36,36,36
370630016043,57,1243,404400,-,154900,57,57,27.9,57,57,57
370630017051,218,1213,750000,,807300,218,218,21.9,218,218,218
370630017052,485,996,475600,,181000,485,485,39.0,485,485,485
370630017053,429,1047,46700,,1303000,429,429,23.6,429,429,429
370630017061,917,779,254600,,328900,917,917,25.4,917,917,917
370630017062,576,771,-,,326800,576,576,19.2,576,576,576
370630017071,43,1152,154900,,255900,43,43,27.3,43,43,43
370630017072,211,1079,807300,,607200,211,211,26.3,211,211,211
370630017073,0,-,436600,,517700,0,0,-,0,0,0
370630017074,153,1020,181000,,-,153,153,25.3,153,153,153
370630017075,470,1350,1303000,,79100,470,470,38.8,470,470,470
370630017081,553,857,328900,,178600,553,553,27.7,553,553,553
370630017091,59,-,326800,,149800,59,59,-,59,59,59
370630017092,183,884,255900,,179300,183,183,30.2,183,183,183
370630017093,1743,876,607200,,296600,1743,1743,39.2,1743,1743,1743
370630017101,384,821,517700,,218900,384,384,35.4,384,384,384
370630017102,347,874,-,,112100,347,347,32.1,347,347,347
370630017111,310,853,79100,,84300,310,310,19.6,310,310,310
370630017112,739,827,178600,,231000,739,739,34.5,739,739,739
370630017113,626,862,149800,,311900,626,626,31.5,626,626,626
370630018011,0,-,179300,,334500,0,0,-,0,0,0
370630018012,101,833,296600,,169000,101,101,29.2,101,101,101
370630018013,176,975,218900,,59100,176,176,25.4,176,176,176
370630018014,174,848,112100,,507400,174,174,50.0+,174,174,174
370630018015,40,-,84300,,1048300,40,40,-,40,40,40
370630018021,234,890,231000,,325500,234,234,26.8,234,234,234
370630018022,406,599,311900,,56200,406,406,35.3,406,406,406
370630018023,227,1083,334500,,45600,227,227,37.5,227,227,227
370630018024,107,1098,169000,,159600,107,107,13.6,107,107,107
370630018061,152,946,59100,,333600,152,152,50.0+,152,152,152
370630018062,177,1315,507400,,75700,177,177,50.0+,177,177,177
370630018071,383,877,1048300,,43800,383,383,30.4,383,383,383
370630018072,247,1435,325500,,185200,247,247,32.9,247,247,247
370630018073,120,1545,56200,,157600,120,120,22.5,120,120,120
370630018081,49,1219,45600,,189100,49,49,22.5,49,49,49
370630018082,361,1400,159600,,124100,361,361,23.6,361,361,361
370630018091,1075,980,333600,,156500,1075,1075,23.9,1075,1075,1075
370630018092,327,950,75700,,168600,327,327,35.3,327,327,327
370630019001,48,1184,43800,,595600,48,48,41.7,48,48,48
370630019002,40,1438,185200,,800800,40,40,18.2,40,40,40
370630020071,173,1208,157600,,453500,173,173,40.9,173,173,173
370630020072,316,1052,189100,,1088000,316,316,18.0,316,316,316
370630020073,17,-,124100,,1028400,17,17,-,17,17,17
370630020081,49,1678,156500,,238000,49,49,45.2,49,49,49
370630020082,37,1574,168600,,2027500,37,37,23.9,37,37,37
370630020091,216,939,595600,,591100,216,216,36.3,216,216,216
370630020092,184,681,800800,,1222100,184,184,39.1,184,184,184
370630020093,219,900,453500,,204300,219,219,31.4,219,219,219
370630020131,115,1168,1088000,,581100,115,115,33.2,115,115,115
370630020132,157,1204,1028400,,595500,157,157,25.5,157,157,157
370630020133,152,1097,238000,,177200,152,152,24.1,152,152,152
370630020151,753,797,176700,,1255400,753,753,32.7,753,753,753
370630020152,900,930,2027500,,517900,900,900,32.8,900,900,900
370630020153,379,1073,591100,,391200,379,379,25.2,379,379,379
370630020161,1327,798,1222100,,348400,1327,1327,29.6,1327,1327,1327
370630020162,1059,941,204300,,455500,1059,1059,31.4,1059,1059,1059
370630020171,153,1639,581100,,156700,153,153,36.7,153,153,153
370630020172,134,1261,595500,,219500,134,134,32.7,134,134,134
370630020173,1281,1219,126700,,104800,1281,1281,47.1,1281,1281,1281
370630020181,387,1427,177200,,271900,387,387,27.4,387,387,387
370630020182,1010,1093,1255400,,146300,1010,1010,30.9,1010,1010,1010
370630020183,124,1557,399800,,318400,124,124,21.2,124,124,124
370630020191,568,978,963800,,1054700,568,568,21.9,568,568,568
370630020192,479,1223,517900,,161700,479,479,25.0,479,479,479
370630020193,95,1515,391200,,1877000,95,95,16.6,95,95,95
370630020201,131,2078,348400,,859800,131,131,27.2,131,131,131
370630020202,16,-,455500,,279500,16,16,-,16,16,16
370630020211,1081,1131,156700,,725100,1081,1081,21.3,1081,1081,1081
370630020212,333,982,219500,,1454600,333,333,50.0+,333,333,333
370630020221,961,1006,104800,,68500,961,961,22.5,961,961,961
370630020222,504,925,271900,,778900,504,504,27.3,504,504,504
370630020231,425,875,146300,,98900,425,425,21.7,425,425,425
370630020232,339,1093,318400,,94000,339,339,24.7,339,339,339
370630020241,361,1401,1054700,,-,361,361,26.1,361,361,361
370630020242,178,799,161700,,,178,178,21.5,178,178,178
370630020243,236,959,1877000,,,236,236,37.3,236,236,236
370630020251,132,1542,859800,,,132,132,24.4,132,132,132
370630020252,325,981,279500,,,325,325,50.0+,325,325,325
370630020253,174,876,725100,,,174,174,19.4,174,174,174
370630020261,453,773,1454600,,,453,453,43.5,453,453,453
370630020262,1118,939,68500,,,1118,1118,30.8,1118,1118,1118
370630020271,183,957,778900,,,183,183,32.2,183,183,183
370630020272,1757,1015,98900,,,1757,1757,31.8,1757,1757,1757
370630020273,962,905,94000,,,962,962,25.7,962,962,962
370630020281,196,1390,-,,,196,196,22.0,196,196,196
370630020282,739,949,,,,739,739,23.0,739,739,739
370630020283,1264,1135,,,,1264,1264,21.6,1264,1264,1264
370630021001,87,-,,,,87,87,32.8,87,87,87
370630021002,128,-,,,,128,128,-,128,128,128
370630021003,68,-,,,,68,68,-,68,68,68
370630022001,624,1220,,,,624,624,23.1,624,624,624
370630023001,161,603,,,,161,161,29.9,161,161,161
370630023002,102,944,,,,102,102,50.0+,102,102,102
370639801001,0,-,,,,0,0,-,0,0,0
