geoid10,pop_00,ptwhnl_00,ptblknl_00,ptnanl_00,ptasnl_00,ptpanl_00,ptothnl_00,pt2mnl_00,ptlat_00
370630001011,1089,59.87,34.16,0.00,0.00,0.00,0.00,0.00,5.97
370630001012,2062,20.08,65.33,0.34,2.43,0.00,0.00,0.29,11.54
370630001021,4462,47.33,31.06,0.47,0.83,0.00,0.00,1.23,19.07
370630002001,772,38.99,52.20,0.00,0.00,0.00,0.00,1.94,6.87
370630002002,1405,19.00,62.13,0.29,0.50,0.00,0.00,1.92,16.16
370630002003,939,52.18,26.41,0.00,5.00,0.00,0.00,0.00,16.40
370630003011,1027,30.96,48.78,0.00,0.00,0.68,1.17,4.28,14.12
370630003012,735,12.79,62.18,0.00,0.00,0.00,0.00,0.00,25.03
370630003013,592,44.93,51.52,0.00,0.84,0.00,0.00,0.00,2.70
370630003021,743,75.24,18.71,0.00,2.69,0.00,0.00,0.00,3.36
370630003022,1084,47.05,42.34,0.00,0.55,0.00,0.00,0.00,10.05
370630003023,1700,59.35,20.65,0.00,3.00,0.00,0.00,0.00,17.00
370630004011,1062,71.00,22.60,0.75,0.38,0.00,0.00,0.00,5.27
370630004012,963,92.52,3.95,0.00,3.22,0.00,0.00,0.00,0.31
370630004013,668,80.99,12.57,0.75,2.54,0.00,0.00,3.14,0.00
370630004021,1433,67.97,15.70,0.42,0.00,0.00,0.49,4.26,11.16
370630005001,1226,60.20,20.96,0.98,12.72,0.00,0.00,2.37,2.77
370630005002,734,27.93,54.22,0.00,4.77,0.00,1.09,1.77,10.22
370630005003,1080,2.41,75.83,0.83,0.00,0.00,0.74,1.94,18.24
370630005004,1233,3.16,75.34,0.00,0.00,0.00,0.00,0.00,21.49
370630006001,2355,50.70,31.55,0.00,5.18,0.00,0.00,2.33,10.23
370630006002,2745,43.46,34.24,0.00,1.17,0.55,0.00,0.95,19.64
370630007001,764,43.19,53.27,0.78,0.00,0.00,1.96,0.78,0.00
370630007002,1017,78.07,13.67,2.66,0.00,0.00,0.00,0.00,5.61
370630007003,1121,48.80,47.01,0.53,0.00,0.00,0.62,0.80,2.23
370630008011,218,12.84,87.16,0.00,0.00,0.00,0.00,0.00,0.00
370630008021,1001,25.97,52.45,0.00,1.40,0.00,0.00,3.50,16.68
370630009001,900,1.56,55.56,0.00,0.00,0.00,0.67,1.44,40.78
370630009002,1218,2.05,90.56,0.00,0.00,0.00,0.00,0.00,7.39
370630010011,1300,6.39,71.46,0.00,0.00,0.00,0.00,6.00,16.15
370630010012,1995,4.41,68.62,1.30,0.00,0.00,0.00,0.65,25.01
370630010013,1612,15.14,79.96,0.81,0.00,0.00,0.00,1.74,2.36
370630010021,2830,7.81,73.64,0.00,0.00,0.00,0.35,1.98,16.22
370630010022,825,21.94,72.00,0.00,0.00,0.00,0.00,0.00,6.06
370630010023,883,13.14,73.61,0.00,0.00,0.00,0.00,1.59,11.67
370630010024,1592,8.17,41.27,0.00,0.00,0.00,0.00,0.88,49.69
370630011001,2133,5.81,66.81,0.00,2.67,0.00,0.00,0.00,24.71
370630011002,1594,4.71,70.89,0.00,0.00,0.00,0.00,0.00,24.40
370630012011,1459,4.18,86.91,0.00,0.00,0.00,0.00,1.17,7.75
370630012021,979,2.04,92.14,2.96,0.00,0.00,0.00,2.86,0.00
370630013011,862,1.51,98.49,0.00,0.00,0.00,0.00,0.00,0.00
370630013012,544,0.00,95.77,0.00,0.00,0.00,0.00,0.00,4.23
370630013031,2968,0.00,98.69,0.24,0.00,0.81,0.00,0.27,0.00
370630013032,644,0.00,93.79,0.00,0.00,0.00,0.00,6.21,0.00
370630013041,2912,0.21,82.66,0.00,0.00,0.00,0.00,0.00,17.14
370630014001,1252,0.00,99.04,0.00,0.00,0.00,0.00,0.96,0.00
370630014002,2157,0.33,92.91,0.00,0.00,0.00,0.00,0.23,6.54
370630015011,2981,72.63,8.02,0.30,13.82,0.00,0.00,1.95,3.29
370630015021,3366,23.41,42.25,0.30,6.95,0.00,0.27,2.53,24.30
370630015022,2759,23.52,37.22,0.62,17.11,0.51,0.00,2.46,18.56
370630015031,1721,67.87,6.68,0.00,15.69,0.00,0.00,3.37,6.39
370630016011,878,78.25,15.60,0.00,0.00,0.00,0.00,0.23,5.92
370630016012,2733,63.26,27.77,0.00,5.60,0.00,0.00,1.13,2.23
370630016013,1905,81.99,11.86,2.89,0.42,0.00,0.68,1.05,1.10
370630016031,715,78.18,21.82,0.00,0.00,0.00,0.00,0.00,0.00
370630016032,1839,81.13,13.92,4.95,0.00,0.00,0.00,0.00,0.00
370630016033,1243,87.53,7.72,0.00,3.30,0.00,0.00,0.00,1.45
370630016034,1752,92.92,5.14,0.00,1.54,0.00,0.00,0.40,0.00
370630016041,1327,92.99,1.66,0.00,0.00,0.00,0.75,1.58,3.01
370630016042,2684,84.17,13.71,0.34,1.60,0.00,0.00,0.19,0.00
370630016043,1339,73.86,22.70,0.00,1.34,0.00,0.00,0.00,2.09
370630017051,1583,71.38,21.73,0.00,4.55,0.00,0.00,0.76,1.58
370630017052,1604,92.14,6.61,0.00,1.25,0.00,0.00,0.00,0.00
370630017053,887,54.00,39.57,0.00,0.45,0.00,0.00,0.00,5.97
370630017061,3847,66.94,19.24,0.00,6.47,0.00,0.00,3.33,4.03
370630017071,2854,88.96,5.89,0.00,3.15,0.00,0.00,2.00,0.00
370630017072,2464,90.91,5.36,0.28,1.62,0.00,0.00,0.85,0.97
370630017073,585,86.67,12.14,0.00,0.00,0.00,0.00,0.00,1.20
370630017081,2720,14.08,81.36,0.00,0.22,0.00,0.00,3.31,1.03
370630017091,960,1.98,97.19,0.00,0.00,0.00,0.00,0.83,0.00
370630017092,966,0.00,98.34,0.00,0.00,0.00,0.00,1.66,0.00
370630017093,2583,19.36,72.78,0.50,0.00,0.00,0.00,0.50,6.85
370630017101,1743,58.46,37.92,0.52,1.21,0.00,0.00,0.00,1.89
370630017102,1427,36.79,47.58,1.47,5.33,0.00,0.28,4.21,4.35
370630017111,902,59.65,34.81,0.00,2.44,0.00,0.00,0.00,3.10
370630017112,1401,34.48,45.04,2.28,3.00,0.00,0.29,1.86,13.06
370630017113,1493,40.39,45.55,0.00,1.27,0.00,0.00,11.32,1.47
