id,meansp,minsp,maxsp,mediansp,totsp,nums,mhi,pir,mgr_phi,mmoc_phi
370630001011,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
370630001012,127050.51,30000.00,435000.00,117000.00,12578000.00,99,48458.00,2.41,22.20,19.20
370630001021,168465.91,41000.00,435000.00,160000.00,14825000.00,88,35387.00,4.52,41.70,14.10
370630001022,166182.80,35000.00,451000.00,166500.00,15455000.00,93,51956.00,3.20,21.00,16.50
370630002001,217621.62,50000.00,451000.00,215000.00,8052000.00,37,28375.00,7.58,35.70,30.60
370630002002,294358.49,25000.00,650000.00,310000.00,15601000.00,53,38824.00,7.98,27.40,17.70
370630002003,346656.25,70000.00,600000.00,347500.00,16639500.00,48,56359.00,6.17,23.80,15.90
370630003011,177288.89,28000.00,633000.00,134000.00,7978000.00,45,26250.00,5.10,32.20,21.80
370630003012,226229.17,50000.00,520000.00,229500.00,5429500.00,24,34250.00,6.70,31.00,12.10
370630003013,444666.67,200000.00,1070000.00,387500.00,8004000.00,18,52031.00,7.45,27.00,13.30
370630003021,304233.33,5000.00,680000.00,293000.00,22817500.00,75,74554.00,3.93,21.70,22.10
370630003022,291359.38,63500.00,535000.00,297500.00,9323500.00,32,59583.00,4.99,30.00,17.10
370630003023,557540.00,77500.00,1425000.00,550000.00,13938500.00,25,34805.00,15.80,28.30,16.50
370630004011,262664.63,46000.00,800000.00,247500.00,21538500.00,82,64453.00,3.84,27.80,14.60
370630004012,358923.08,122000.00,767500.00,345250.00,18664000.00,52,70441.00,4.90,28.80,17.20
370630004013,383617.65,176500.00,880000.00,345000.00,19564500.00,51,85598.00,4.03,36.40,17.80
370630004021,307245.28,145000.00,656000.00,282000.00,16284000.00,53,44100.00,6.39,33.80,19.70
370630005001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
370630005002,297500.00,23500.00,585000.00,307500.00,4760000.00,16,28125.00,10.93,38.90,11.60
370630005003,244700.00,4000.00,509000.00,245000.00,8564500.00,35,24667.00,9.93,40.90,22.70
370630005004,167448.65,24000.00,360000.00,141000.00,6195600.00,37,34554.00,4.08,38.70,23.00
370630006001,253195.12,55000.00,660000.00,240000.00,31143000.00,123,41591.00,5.77,30.10,17.60
370630006002,352355.77,27000.00,950000.00,321000.00,18322500.00,52,32184.00,9.97,41.40,14.10
370630006003,543380.00,330000.00,1095000.00,489000.00,13584500.00,25,110326.00,4.43,,21.30
370630007001,319441.18,52000.00,523000.00,307000.00,5430500.00,17,22105.00,13.89,25.70,17.50
370630007002,434955.36,177000.00,1100000.00,397500.00,24357500.00,56,59097.00,6.73,23.90,15.50
370630007003,355592.86,5000.00,850000.00,298000.00,24891500.00,70,76071.00,3.92,50.00,13.20
370630009001,85161.76,9000.00,209000.00,61250.00,2895500.00,34,23281.00,2.63,43.60,15.00
370630009002,173707.10,16275.00,1095000.00,117000.00,14070275.00,81,26444.00,4.42,42.20,31.60
370630010011,116960.87,9200.00,339000.00,100000.00,5380200.00,46,41316.00,2.42,19.90,10.00
370630010012,115889.61,30500.00,399000.00,90000.00,8923500.00,77,26203.00,3.43,32.90,26.00
370630010013,114854.84,2500.00,800000.00,75000.00,10681500.00,93,37865.00,1.98,29.50,12.20
370630010021,85151.00,28500.00,180000.00,85500.00,5109060.00,60,29665.00,2.88,30.80,19.20
370630010022,133600.00,35000.00,675000.00,109000.00,3340000.00,25,24063.00,4.53,31.40,15.60
370630010023,81214.29,16500.00,210000.00,79000.00,2274000.00,28,19920.00,3.97,43.90,27.90
370630010024,102302.63,30000.00,245000.00,84000.00,3887500.00,38,30385.00,2.76,34.60,21.60
370630011001,232580.88,21000.00,556500.00,256750.00,15815500.00,68,20441.00,12.56,28.10,24.60
370630011002,166125.00,40000.00,1250000.00,115000.00,3322500.00,20,20591.00,5.58,29.80,31.40
370630013011,135644.74,1000.00,1095000.00,72750.00,10309000.00,76,23587.00,3.08,33.70,35.80
370630013031,109943.18,500.00,838000.00,80000.00,4837500.00,44,20977.00,3.81,37.30,27.00
370630013032,132969.70,21000.00,838000.00,85000.00,4388000.00,33,35521.00,2.39,30.20,32.50
370630013041,133916.67,11000.00,838000.00,84500.00,6428000.00,48,21229.00,3.98,32.40,13.30
370630014001,73166.67,40000.00,137000.00,62250.00,1756000.00,24,35781.00,1.74,16.30,14.10
370630014002,56138.30,1000.00,135000.00,53000.00,2638500.00,47,16974.00,3.12,31.40,19.50
370630015011,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
370630015021,117944.44,56000.00,225000.00,112000.00,1061500.00,9,26691.00,4.20,32.40,
370630015022,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
370630015023,149875.00,140000.00,175000.00,142250.00,599500.00,4,24444.00,5.82,31.60,
370630015024,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
370630015031,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
370630016011,249379.31,18000.00,605000.00,225000.00,21696000.00,87,91597.00,2.46,,18.20
370630016012,193542.41,37000.00,800000.00,180500.00,32515125.00,168,78638.00,2.30,50.00,16.40
370630016013,184538.20,60500.00,800000.00,170000.00,16423900.00,89,75104.00,2.26,25.10,14.70
370630016031,165071.43,15500.00,266000.00,169500.00,6933000.00,42,67917.00,2.50,,13.80
370630016032,213932.58,27000.00,359000.00,219500.00,38080000.00,178,67533.00,3.25,31.20,20.50
370630016033,158562.50,16000.00,239000.00,165000.00,8879500.00,56,54912.00,3.00,16.10,16.10
370630016034,261795.18,32000.00,519000.00,266500.00,21729000.00,83,109083.00,2.44,,14.30
370630016041,225465.69,500.00,490000.00,219000.00,22997500.00,102,74132.00,2.95,23.50,14.50
370630016042,238623.13,20000.00,400000.00,237250.00,31975500.00,134,105673.00,2.25,23.30,16.00
370630016043,233224.36,60000.00,412000.00,229500.00,18191500.00,78,91979.00,2.50,27.90,19.70
370630017051,159168.42,21000.00,275500.00,164500.00,15121000.00,95,64030.00,2.57,21.90,16.30
