id,mean_sfno100517,tot_sfno100517,num_sfno100517,mean_sfoo100517,tot_sfoo100517,num_sfoo100517,prc_sfno100517
1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10,NaN,NaN,NaN,NaN,NaN,NaN,NaN
100,212381.80,3185727.00,15,259342.85,45644341.00,176,7.85
101,114772.89,1032956.00,9,116214.05,10807907.00,93,8.82
102,141127.50,282255.00,2,151580.06,20614888.00,136,1.45
103,447658.00,895316.00,2,452804.27,64751011.00,143,1.38
104,163818.38,1310547.00,8,174347.17,21096007.00,121,6.2
105,99051.50,594309.00,6,108292.59,5847800.00,54,10.0
106,162092.00,162092.00,1,140519.84,29930725.00,213,0.47
107,173851.78,1564666.00,9,273459.59,46214671.00,169,5.06
108,147220.00,147220.00,1,139867.31,4475754.00,32,3.03
109,275221.00,1376105.00,5,307247.26,56226248.00,183,2.66
11,229086.50,458173.00,2,226273.48,66524402.00,294,0.68
110,254165.83,1524995.00,6,254547.85,63382415.00,249,2.35
111,NaN,NaN,NaN,NaN,NaN,NaN,NaN
112,91461.00,1920681.00,21,132379.67,29388286.00,222,8.64
113,131101.07,3801931.00,29,149638.54,100706736.00,673,4.13
114,128752.67,772516.00,6,153487.89,13046471.00,85,6.59
115,NaN,NaN,NaN,345957.00,14530194.00,42,NaN
116,NaN,NaN,NaN,316059.39,17699326.00,56,NaN
117,66346.26,3051928.00,46,84765.02,23395146.00,276,14.29
118,120508.93,1687125.00,14,125782.11,47545638.00,378,3.57
119,165084.67,990508.00,6,149708.28,2694749.00,18,25.0
12,154755.17,928531.00,6,157049.70,28740096.00,183,3.17
120,166949.77,5008493.00,30,234119.49,81941822.00,350,7.89
121,171305.55,3768722.00,22,264138.83,59959514.00,227,8.84
122,119831.92,1557815.00,13,142826.28,36420702.00,255,4.85
123,174671.00,698684.00,4,179903.53,8815273.00,49,7.55
124,NaN,NaN,NaN,NaN,NaN,NaN,NaN
125,NaN,NaN,NaN,NaN,NaN,NaN,NaN
126,NaN,NaN,NaN,283020.46,15849146.00,56,NaN
